time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,33.334,282.141,404.583,45.536,93.761,0,1.929,-9999,145.72917,34.8125,511.75,364.356,37.946,2.929,-9999,7.58333,7.10546,116.067,39.065,24.025,0.057687084,0.89016528,4263.8249,0.0038407044,317618.18
2012-01-02,2,32.709,269.083,428.375,37.277,93.886,0,3.001,-9999,149.75,32.270833,515.33333,361.842,39.506,2.896,-9999,4.85417,13.938,110.782,38,27.15,0.11175433,0.89291381,2840.1282,0.0081638266,327797.86
2012-01-03,3,29.954,268.542,420.479,25.43,93.722,6.6,2.004,-9999,159.9375,30.979167,498.35417,360.586,37.465,3.162,-9999,3.74736,33.6514,96.5474,37.7,24.615,0.25846168,0.89657103,1883.7597,0.011302026,332874.59
2012-01-04,4,28.29,258.188,416.646,21.083,94.14,3.8,2.048,-9999,168.04167,28.8125,478,379.037,32.909,4.433,-9999,1.2538,38.025,88.9444,37.715,22.595,0.29948161,0.89960819,1623.8235,0.011558498,331843.44
2012-01-05,5,27.857,218.667,419.417,18.545,94.222,8.4,2.112,0.2725,145.35417,22.166667,470.625,365.949,30.646,5.631,-9999,-1.85795,48.0361,64.1911,36.005,22.425,0.42802547,0.9079586,1399.5511,0.012605932,334026.87
2012-01-06,6,31.225,301.063,423.188,30.037,93.906,1.2,1.835,-9999,199.1875,32.479167,492.52083,368.612,33.03,7.75,-9999,5.79167,40.4919,106.896,38.03,23.83,0.27473015,0.90262351,2210.5465,0.010333716,331731.17
2012-01-07,7,30.266,256.417,427.542,24.684,93.947,0,2.233,-9999,166.33333,27.8125,490.02083,362.243,33.401,6.521,-9999,-1,45.1882,89.4268,36.92,24.3,0.33568473,0.90214774,1755.8133,0.012290318,335658.88
2012-01-08,8,27.427,276,409.75,14.959,94.159,3.4,2.304,0.401,181.5625,29.770833,474.41667,366.496,32.828,5.712,-9999,-4.55417,53.4614,101.959,32.775,23.02,0.3439793,0.90263678,1085.9975,0.014396632,338071.47
2012-01-09,9,26.627,274.646,419.167,12.61,94.35,24.8,2.718,0.47102564,202.375,27.583333,463.8125,371.696,29.727,11.975,-9999,-4.54167,79.5525,83.0248,32.04,20.96,0.48932108,0.90873377,924.94823,0.014816195,338316.37
2012-01-10,10,22.8,150.229,400.708,12.035,94.592,4.8,2.617,0.45617647,102.58333,14.104167,434.35417,380.989,25.333,13.21,-9999,-22.9167,88.0858,29.2383,27.255,19.505,0.75079033,0.91417334,1131.8362,0.010396719,323421.55
2012-01-11,11,25.199,278.917,391.542,20.26,94.563,0,2.617,0.42520833,170.21277,29.333333,455.29167,362.346,26.999,10.475,-9999,6.125,77.2708,72.375,32.035,19.14,0.51635796,0.90483925,1974.073,0.0077933653,319324.16
2012-01-12,12,28.249,338.729,385.188,29.699,94.476,0,2.815,0.45604167,205.97917,38.395833,479.5,363.25,31.486,8.146,-9999,9.33333,70.2292,108.042,33.85,21.965,0.39394585,0.898188,2917.9639,0.0057239969,317215.99
2012-01-13,13,27.968,368.521,360.042,32.092,94.378,0,2.943,0.44833333,205.125,42.520833,480.9375,366.06,32.957,6.727,-9999,5.08333,56.3542,118.688,35.335,19.745,0.32194636,0.89655351,3631.5562,0.0037304114,311949.62
2012-01-14,14,27.865,322.75,376.979,31.335,94.294,0,3.085,0.47416667,182.5625,37.479167,479.79167,364.008,33.286,5.792,-9999,1.20833,48.2292,118.396,33.505,22.65,0.28944721,0.89595743,3464.5815,0.0040854415,312733.68
2012-01-15,15,27.267,230.479,395.167,28.108,94.171,0,3.073,0.47583333,127.72917,26.729167,471.04167,364.727,31.773,5.306,-9999,-2.45833,41.0625,82.6875,31.795,22.255,0.33181818,0.89607963,2912.3097,0.0053769625,315361.49
2012-01-16,16,30.464,344.854,393.688,36.314,93.985,0,2.232,0.32043478,199.79167,39.75,498.97917,364.475,35.172,4.892,-9999,10.9375,43.0077,116.327,36.215,23.79,0.26992049,0.89664694,3501.7862,0.0048375398,317225.92
2012-01-17,17,30.165,264.104,406.896,30.968,93.913,0,2.218,0.2890625,150.125,30.520833,490.35417,369.446,34.701,4.608,-9999,1.4375,35.818,81.3593,36.24,22.965,0.30567354,0.8964078,2579.1361,0.0079143789,324617.52
2012-01-18,18,31.713,336.12,384.333,37.672,94.077,0,2.631,0.39333333,183.83333,40.020833,501.5625,367.781,35.956,4.402,-9999,5.91667,37.2324,108.883,38.28,24.32,0.25481503,0.89360147,3252.5725,0.0060728216,321569.37
2012-01-19,19,32.065,295.688,396.875,40.781,94.019,0,2.605,0.37,156.35417,34.75,501.625,365.617,35.829,4.2,-9999,5.14583,30.0681,97.2738,37.835,23.895,0.23612103,0.89483655,3775.9447,0.0046352646,318329.24
