time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,32.431,377.813,388.333,43.916,100.034,0,2.275,0.430625,192.79167,63.4375,508.14583,383.621,36.549,-9999,-9999,22.4375,60.4479,96.4688,41.715,18.745,0.38522286,0.85623246,4446.6239,0.0030220919,314664.13
2012-01-02,2,34.188,373.854,401.375,47.956,99.959,0,2.854,0.53152174,192.72917,62.875,517.91667,381.331,38.08,-9999,-9999,20.7083,63.9293,106.362,42.975,23.865,0.37541143,0.856032,4343.4409,0.0036596736,318023.87
2012-01-03,3,27.228,122.604,409.958,19.683,100.172,0.2,1.581,0.32020833,49.1875,20.375,462,379.676,30.86,-9999,-9999,-12.2917,50.3752,6.89501,34.525,22.585,0.87960564,0.85749656,1596.0676,0.010282157,327585.28
2012-01-04,4,24.336,373.5,359.208,19.078,100.652,0,3.704,0.67208333,211.5,61.9375,457.66667,378.138,33.354,-9999,-9999,4.97917,52.6896,140.542,30.475,18.555,0.2726759,0.857758,1935.0425,0.0070518622,316603.09
2012-01-05,5,22.17,382.979,329.688,18.992,100.599,0,2.556,0.466875,199.39583,64.229167,447.1875,380.031,32.212,-9999,-9999,4.875,49.5417,125.979,30.685,12.815,0.2822556,0.85637747,2365.4275,0.0047820174,308751.64
2012-01-06,6,23.146,372.313,342.25,21.671,100.3,0,2.223,0.39895833,197.64583,62.479167,452.85417,379.579,32.036,-9999,-9999,8.77083,45.6458,117.635,32.25,13.745,0.279554,0.85630108,2743.6721,0.0041427849,308134.44
2012-01-07,7,25.364,126.125,406.708,17.766,99.511,19.4,3.24,0.56468085,61.041667,21.0625,449.52083,379.167,28.104,-9999,-9999,-12.1042,50.3744,9.15245,32,20.825,0.84624669,0.85690021,1592.4212,0.0091786002,322953.07
2012-01-08,8,21.82,294.979,374.396,10.894,99.691,1.2,3.721,0.58520833,191.22917,45.270833,431.9375,379.936,26.125,-9999,-9999,-17.3958,93.5383,73.8016,26.145,16.975,0.55897189,0.86694826,1067.1722,0.0095672807,320363.05
2012-01-09,9,18.917,276.354,343.083,11.576,100.38,0,2.665,0.42958333,153.45833,45.0625,419.39583,380.054,24.792,-9999,-9999,-1.6875,66.125,81.9792,24.555,12.035,0.4464762,0.85980029,1443.5259,0.0063887823,309499.29
2012-01-10,10,19.217,252.646,350.938,11.125,100.444,0,3.077,0.48854167,138.58333,41.395833,422.29167,379.935,25.396,-9999,-9999,-2.6875,47.7399,78.3772,26.22,12.54,0.3785363,0.85921788,1332.6624,0.0069239934,311138.82
2012-01-11,11,18.631,318.458,334.583,12.153,100.618,0,4.109,0.70645833,178.0625,52.875,420.60417,378.3,25.905,-9999,-9999,-1.91667,46.9363,108.854,24.405,12.94,0.30127871,0.85760759,1587.0229,0.0057730667,307672.57
2012-01-12,12,18.866,380.917,321.229,13.956,101.006,0,2.304,0.41958333,210.39583,63.375,426.95833,378.794,27.541,-9999,-9999,8.16667,47.8857,133.363,26.485,9.185,0.26419886,0.85735732,1927.5322,0.0048303436,305551.94
2012-01-13,13,20.733,285.396,351.792,14.059,100.829,0,2.656,0.49145833,156.47917,46.270833,433.16667,376.462,27.847,-9999,-9999,3.04167,42.0833,95.6667,27.735,14.115,0.3055049,0.86049002,1648.7659,0.0064366137,311443.95
2012-01-14,14,20.889,382.021,326.771,16.474,100.671,0,2.615,0.473125,205.64583,64.145833,437.3125,379.471,29.427,-9999,-9999,5.35417,50.0294,142.779,29.15,11.995,0.25947728,0.85622904,2093.2019,0.0050910377,308236.79
2012-01-15,15,21.718,381.896,330.833,19.083,100.479,0,1.913,0.321875,201.58333,64.291667,445.125,379.079,30.147,-9999,-9999,6.72917,46.4375,137.75,31.34,12.78,0.2521208,0.85590891,2505.9887,0.0042785945,307038.83
2012-01-16,16,27.04,375.271,361.479,30.215,100.16,0,2.117,0.36895833,196.9375,63.208333,474.875,380.629,32.012,-9999,-9999,17.8542,50.25,112.917,37.53,12.295,0.30796668,0.85584649,3552.1776,0.0034397706,310290.38
2012-01-17,17,31.856,343.417,403.917,37.832,100.105,0,2.977,0.54729167,187.75,57.75,500.72917,381.319,35.327,-9999,-9999,21.0417,52.7014,110.986,39.81,24.335,0.32196369,0.85604499,3227.202,0.0058445961,321142.52
2012-01-18,18,28.041,334.458,393.979,24.769,100.267,0,3.066,0.564375,193.70833,54.791667,478.72917,379.146,35.49,-9999,-9999,6.29167,44.9044,124.25,34.91,20.115,0.26546398,0.85923773,2128.1758,0.0081866426,323163.56
2012-01-19,19,26.573,359.083,371.333,25.636,100.381,0,2.481,0.46916667,197.58333,59.645833,471.45833,378.075,34.421,-9999,-9999,10.2917,45.8333,121.625,36.045,16.995,0.27369978,0.85755499,2612.9113,0.0056811466,315424.48
2012-01-20,20,25.486,239.229,378.771,22.074,100.243,0,2.329,0.45895833,118.89583,40.25,457.33333,377.075,31.698,-9999,-9999,-1.29167,40.7917,62.125,34.605,16.975,0.39635647,0.85598202,2218.8283,0.0065603143,316529.97
2012-01-21,21,25.467,364.167,357.604,23.671,100.218,0,2.291,0.42854167,193.8125,61.395833,464.875,377.012,33.308,-9999,-9999,8.875,44.8558,131.94,34.835,16.705,0.2537153,0.85573027,2522.594,0.0055404596,313961.23
2012-01-22,22,28.329,304.333,392.188,26.506,100.231,0.2,2.259,0.40425532,165.16667,50.916667,479.0625,379.4,33.81,-9999,-9999,8.58333,52.5493,91.8828,37.495,18.06,0.36383394,0.85667357,2327.2499,0.0075033579,321744.79
2012-01-23,23,29.757,351.938,392.396,30.21,100.234,0,2.682,0.45911111,196.97917,57.208333,488.5,376.331,35.183,-9999,-9999,15.1458,53.5829,109.749,36.44,21.72,0.32806145,0.86017635,2565.4436,0.0072650038,322584.04
2012-01-24,24,28.635,343.458,388.479,28.984,100.113,0,1.706,0.35361702,187.47917,56.645833,486.27083,375.054,35.728,-9999,-9999,9.47917,47.9896,122.604,37.01,17.795,0.2813095,0.85842217,2661.862,0.0063932855,319277.14
2012-01-25,25,28.649,342.188,386.313,28.127,99.994,0,2.809,0.51604167,185.39583,57.291667,484.41667,375.748,35.944,-9999,-9999,9.02083,44.6708,121.665,38.005,18.94,0.26855794,0.85658427,2510.8485,0.0069583657,320703.91
2012-01-26,26,28.709,361.938,372.896,30.945,100.057,0,3.546,0.61125,189.97917,61.416667,481.625,376.76,35.458,-9999,-9999,8.75,45.125,118.542,36.61,19.755,0.27571227,0.85492857,3018.4779,0.0052749716,316555.72
2012-01-27,27,26.846,300.667,399.854,20.433,99.886,1.8,2.802,0.47955556,178.9375,50,470.52083,379.51,34.667,-9999,-9999,-0.916667,33.386,103.781,36.785,20.895,0.24339674,0.85741458,1738.7536,0.0093334316,324829.56
2012-01-28,28,25.164,254.313,406.729,9.641,99.65,1,2.788,0.45883721,165.33333,40.020833,454.89583,393.541,30.756,-9999,-9999,-6.79167,57.2584,62.3716,32.635,20.585,0.47862911,0.86402911,735.70792,0.014066414,334971.61
2012-01-29,29,22.687,117.25,416.896,3.328,99.087,3.6,2.579,0.51270833,83.083333,16.020833,434.4375,388.282,26.054,-9999,-9999,-13.3958,39.2199,23.6355,24.245,21.65,0.62397026,0.8797874,262.84636,0.015351255,335694.32
2012-01-30,30,22.918,242.646,381.063,10.782,99.121,0,4.596,0.76541667,145.625,38,439.10417,383.99,26.987,-9999,-9999,-9.10417,64.5208,77.6021,28.825,15.87,0.45397892,0.86459811,975.72015,0.010841671,324652.52
2012-01-31,31,19.048,347.146,321.083,13.416,100.359,0,3.34,0.59458333,186.64583,57.1875,422.60417,380.092,25.962,-9999,-9999,-1.91667,42.75,122.146,25.545,11.93,0.25925432,0.85856354,1779.0658,0.0053536047,307043
2012-02-01,32,19.642,340.125,322.604,15.23,100.292,0,3.062,0.55458333,176.29167,56.4375,428,380.669,27.394,-9999,-9999,2.39583,36.3418,122.542,26.695,11.57,0.22873194,0.85768322,2069.1884,0.0047432202,306114.01
2012-02-02,33,23.091,352.604,341.521,19.587,99.764,0,2.898,0.529375,186.27083,57.8125,448.27083,380.269,29.577,-9999,-9999,8.625,38.5493,123.267,32.025,14.25,0.23822878,0.859137,2275.4122,0.0054129327,311254.54
2012-02-03,34,23.711,350.5,355.25,19.726,99.533,0,1.975,0.386875,192.10417,56.416667,455.66667,377.419,31.311,-9999,-9999,8.70833,32.1249,142.339,33.1,13.265,0.18413494,0.86135572,2167.2341,0.0060161685,313385.73
2012-02-04,35,25.089,269.516,387.917,22.94,99.125,0,1.875,0.34020833,151.83333,43.645833,460.52083,378.546,31.197,-9999,-9999,8.41667,29.252,97.9282,34.625,13.285,0.23000436,0.8606285,2474.1361,0.0056055363,313744.04
2012-02-05,36,22.763,252.5,370.375,17.147,99.061,0,5.266,0.844,137.77083,41.833333,442.22917,379.424,29.666,-9999,-9999,-10.375,27.8017,118.71,28.585,16.35,0.18975754,0.85787089,1877.276,0.0066431889,314000.54
2012-02-06,37,18.174,268.104,338.104,12.854,99.964,0,2.53,0.464375,140.27083,44.583333,419.72917,378.506,26.574,-9999,-9999,-4.08333,25.5625,103.479,25.265,8.185,0.19809519,0.85741881,1801.166,0.00499211,305260.89
2012-02-07,38,18.492,205.958,360.646,11.128,100.226,0,2.474,0.47229167,112.35417,33.979167,418.79167,375.975,26.032,-9999,-9999,-5,26.375,82.3542,23.935,11.675,0.24257513,0.85838306,1412.8477,0.0063202065,308900.73
2012-02-08,39,18.355,354.979,315.667,13.575,100.409,0,2.356,0.44479167,185.89583,59.020833,422.75,377.238,27.174,-9999,-9999,3.75,28.1667,140.479,25.69,9.155,0.16701701,0.85743754,1933.9444,0.0046691831,304635.48
2012-02-09,40,18.588,276.625,334.396,13.419,100.284,0,2.178,0.42625,141.20833,45.25,422.27083,377.85,26.772,-9999,-9999,0.0833333,24.9569,101.229,25.58,10.255,0.19777883,0.85941748,1856.5365,0.0049659681,305611.61
2012-02-10,41,18.798,310.938,335.792,11.152,100.302,0,3.226,0.6,169.5,52.104167,423.60417,374.279,27.277,-9999,-9999,3.02083,18.0417,134.875,25.12,10.91,0.11798384,0.85647902,1382.5098,0.0065575832,309801.7
2012-02-11,42,20.111,261.104,346.313,11.969,100.418,0,2.941,0.55395833,134.54167,43.354167,427.02083,370.304,26.892,-9999,-9999,-0.666667,24.1621,100.829,26.395,13.585,0.19331056,0.85760222,1374.7499,0.0071927497,312709.18
2012-02-12,43,20.45,341.229,331.958,14.758,100.641,0,2.013,0.39666667,179.64583,56.645833,434.9375,374.219,28.354,-9999,-9999,7.64583,28.7533,121.5,28.635,11.64,0.19136551,0.85762901,1821.2045,0.0057499688,309442.92
2012-02-13,44,23.567,337.625,345.458,21.211,100.661,0,1.902,0.34583333,172.25,56.270833,452.60417,375.419,29.927,-9999,-9999,9.10417,25.4559,125.531,32.33,13.325,0.16859675,0.85714286,2507.7802,0.0048672269,310368.65
2012-02-14,45,26.193,330.714,362.839,28.723,100.507,0,1.981,0.34195652,156.97872,53.276596,467.93617,379.232,31.358,-9999,-9999,11.4639,18.6484,113.612,36.135,14.785,0.14099761,0.86125547,3524.7351,0.0032728895,309021.94
2012-02-15,46,28.485,182.063,408.396,32.659,100.227,0,2.029,0.41541667,83.666667,30.1875,475.52083,380.881,31.186,-9999,-9999,6.77083,22.998,52.9302,37.11,19.645,0.30289142,0.85777419,3526.3313,0.003878358,312839.07
2012-02-16,47,24.281,263.021,376,16.943,100.333,0,2.434,0.509375,143,41.791667,452.8125,368.162,31.012,-9999,-9999,2.70833,26.5011,99.5819,32.45,18.095,0.21018773,0.86289393,1620.428,0.0083476283,319787.23
2012-02-17,48,23.744,284.771,368.292,18.136,100.381,0,1.666,0.33479167,152.83333,45.979167,452.5625,366.619,30.852,-9999,-9999,6.375,23.1748,102.896,33.5,14.64,0.18382369,0.8609852,1881.0373,0.0069946041,315864.98
2012-02-18,49,27.849,303.875,384.042,28.056,100.193,0,1.646,0.28510638,159,50.5,476.66667,375.561,32.642,-9999,-9999,11.5625,22.1771,103.063,38.275,16.765,0.17707667,0.85749559,2716.8867,0.0058700962,317179.24
2012-02-19,50,28.467,195.896,414.583,28.975,100.151,0,2.36,0.364375,101.41667,32.020833,475.8125,379.77,32.345,-9999,-9999,3.54167,24.337,54.8567,37.95,20.735,0.3073098,0.8595065,2708.3491,0.0061578484,318519.71
2012-02-20,51,24.296,255.854,381.625,15.895,100.187,0.2,2.923,0.53083333,142.79167,41.416667,451.79167,366.286,30.784,-9999,-9999,-0.708333,30.5835,89.8685,32.21,18.64,0.25390612,0.86067691,1475.9946,0.0090345304,321519.56
2012-02-21,52,23.408,251.5,367.25,15.62,100.236,0,2.589,0.48604167,128.875,42.291667,446.10417,365.123,30.045,-9999,-9999,0.354167,26.125,86.2708,30.06,17.275,0.23243751,0.85604879,1543.9844,0.0082113697,318569.21
2012-02-22,53,23.773,322.167,351.979,20.083,100.411,0,1.772,0.360625,165.08333,53.729167,453.4375,365.535,30.654,-9999,-9999,6.27083,29.9107,127.649,33.035,13.125,0.18983725,0.85706381,2222.2885,0.0058090923,312930.35
