time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,28.982,305.917,429.521,13.529,99.841,0.2,1.352,0.268125,216.39583,38.666667,480.33333,370.413,32.222,5.3,-9999,21.4159,114.536,51.1356,35.035,24.3,0.6913436,0.88778729,866.94,0.016678699,345339.41
2012-01-02,2,28.742,295.792,420.438,14.796,99.901,0.2,1.049,0.198125,203.125,36.291667,476.8125,364.899,31.89,4.6,-9999,9.69073,111.083,46.167,34.85,23.24,0.70641017,0.89071529,982.07786,0.01551289,342183.68
2012-01-03,3,29.211,281.708,428.896,13.407,99.933,0.4,1.179,0.2023913,196.1875,35.541667,478.77083,370.648,31.856,4.2,-9999,7.70438,112.948,47.0534,34.375,25.57,0.70591882,0.88796941,845.37444,0.017080132,346573.13
2012-01-04,4,29.034,261.042,433.708,12.654,99.961,0,1.144,0.23229167,183.5,31.895833,479.29167,366.541,31.967,4,-9999,8.36489,114.202,46.8661,34.37,25.69,0.70902929,0.8911174,797.70787,0.01729095,346922.29
2012-01-05,5,29.292,302.521,427.417,15.754,99.987,0,1.172,0.21666667,211.77083,37.229167,480.89583,371.985,33.304,3.9,-9999,14.6927,94.1447,53.0476,34.175,24.405,0.63960343,0.89042193,1024.6292,0.015702436,343210.3
2012-01-06,6,29.325,277.917,424.896,14.935,99.955,0,1.005,0.175625,188.16667,34.291667,480.10417,370.577,33.291,3.8,-9999,7.1392,89.7553,55.0208,34.665,24.725,0.61995937,0.89016427,956.92184,0.016276492,344678.6
2012-01-07,7,29.236,305.708,424.021,14.933,99.936,0,1.243,0.261875,210.25,37.6875,481.5,373.281,33.083,3.8,-9999,11.9684,97.5625,68.6458,34.78,24.21,0.58698934,0.89025045,962.22935,0.016147841,344267.53
2012-01-08,8,29.187,272,423.646,14.707,99.855,0,1.225,0.21854167,181.1875,33.729167,480.64583,371.281,32.298,3.7,-9999,1.28077,89.4167,48.6295,35.2,24.485,0.64773025,0.88967632,947.30443,0.016231577,344427.63
2012-01-09,9,29.492,299.5,421.667,16.303,99.843,0,1.544,0.28125,200.85417,38.020833,482.1875,373.929,32.766,3.7,-9999,7.12374,107.87,60.3792,34.605,24.69,0.64113232,0.88735263,1055.763,0.015677488,343348.93
2012-01-10,10,30.136,334.021,424.542,19.334,99.847,0,1.53,0.29708333,229,41.3125,488.10417,373,34.291,3.7,-9999,19.4042,104.741,78.5355,35.735,24.395,0.57149171,0.88993122,1259.6284,0.014742278,341658.12
2012-01-11,11,29.623,284.833,434.563,14.921,99.882,0,1.284,0.25458333,198.77083,35.625,484.9375,365.412,32.783,3.6,-9999,8.68836,91.4869,61.2758,34.89,25.495,0.59888245,0.88883099,937.85371,0.016747659,346156.01
2012-01-12,12,30.697,306.667,430.208,20.873,99.779,0,1.445,0.2775,206.8125,37.6875,492.125,366.781,35.005,3.6,-9999,12.5623,101.772,60.3333,37.375,24.405,0.62781414,0.8905561,1341.8357,0.014663537,342025.08
2012-01-13,13,30.582,321.021,432.083,19.168,99.676,0,1.469,0.30645833,219.25,39.895833,493.83333,366.976,33.919,3.6,-9999,18.0715,105.308,80.44,39.115,24.945,0.56694016,0.88945976,1208.2123,0.01557814,344196.01
2012-01-14,14,29.901,285,430.625,18.164,99.619,0,1.119,0.203125,192.47917,35.645833,487.3125,366.527,33.5,3.6,-9999,1.218,100.375,67.4375,36.47,23.995,0.5981378,0.88883114,1179.5725,0.015154983,342453.71
2012-01-15,15,27.827,264.583,429.375,12.235,99.563,31.8,1.267,0.25204545,184.97917,33.583333,475.47917,377.642,31.692,6.1,-9999,9.39571,82.951,76.6548,36.02,23.69,0.51972422,0.88736712,825.96167,0.015892028,342211.95
2012-01-16,16,28.298,288.292,423.854,11.705,99.561,0.2,1.117,0.21895833,202.91667,35.375,473.85417,374.365,31.513,10.2,-9999,14.4269,112.79,38.4046,34.26,23.535,0.74599225,0.89070557,761.09324,0.016894645,345191.85
2012-01-17,17,28.29,287.25,430.417,11.703,99.62,0.4,1.428,0.26744681,205.95833,36.5,475.1875,375.13,31.27,8.6,-9999,21.9879,111.554,48.6965,34.89,24.685,0.69612263,0.88725869,761.31363,0.01687439,345133.17
2012-01-18,18,28.865,320.354,428.667,14.906,99.658,0.6,1.322,0.27531915,232.6875,37.916667,478.29167,365.102,33.224,7.6,-9999,25.2506,115.664,50.231,34.985,23.24,0.69721209,0.89416754,983.28124,0.015660967,342677.49
2012-01-19,19,27.333,240.021,435.438,8.012,99.615,27.4,1.534,0.27304348,178,30.0625,467.25,371.965,30.346,8.7,-9999,16.9675,93.2231,49.475,32.485,23.18,0.65328901,0.88869183,522.1992,0.017894842,346722.52
2012-01-20,20,27.168,274.75,436.563,8.572,99.54,0.2,1.124,0.231875,212.0625,31.395833,467.83333,375.659,31.467,10.7,-9999,18.8496,113.34,50.0687,34.3,23.745,0.69359832,0.89744811,568.86593,0.017327302,345137.84
2012-01-21,21,27.507,228.417,430.208,10.504,99.459,21.2,1.1,0.22531915,163.04167,27.166667,468.33333,369.846,31.645,9.5,-9999,-7.66256,98.3306,34.5852,32.815,23.64,0.73979617,0.89370734,703.66851,0.016569976,343585.23
2012-01-22,22,26.28,259.771,426.625,7.672,99.54,3,1.021,0.21553191,194.72917,30.270833,461.45833,377.569,30.262,11.2,-9999,6.86583,114.827,38.975,32.915,23.295,0.74658977,0.89563287,529.10619,0.016730338,342753
2012-01-23,23,27.203,225.083,436.083,8.429,99.303,1.2,1.479,0.305625,168.10417,27.729167,465.33333,382.494,30.048,9.6,-9999,0.27932,106.905,28.4951,33.38,23.715,0.7895489,0.89031712,557.02006,0.017507968,345624.69
2012-01-24,24,26.419,144.396,433.083,5.307,99.019,49.2,1.619,0.31958333,99.666667,18.145833,459.625,385.225,28.66,10.7,-9999,-5.7713,68.1124,18.4442,30.65,24.29,0.78691169,0.88836207,350.32868,0.018517815,347361.38
2012-01-25,25,24.572,87.333,438.979,3.103,98.738,47.8,3.187,0.73783784,68.958333,9.6875,447.52083,380.337,28.431,12.9,-9999,-18.6498,40.5139,2.37829,26.215,23.555,0.94455191,0.90014997,219.68708,0.017682454,343416.75
2012-01-26,26,24.669,108.667,427.979,5.633,99.055,69,2.392,-9999,77.854167,12.645833,446.16667,374.955,28.607,13.4,-9999,-20.6552,51.3065,3.09437,28.51,21.395,0.94311911,0.89575849,413.01716,0.016119049,339605.72
2012-01-27,27,28.545,249.917,431.313,12.849,99.395,0,1.692,0.36416667,178.91667,30.75,471.54167,363.352,32.979,9.9,-9999,4.55856,108.786,16.6488,33.595,24.665,0.86727128,0.89043956,837.38922,0.016548279,344574.17
2012-01-28,28,25.838,90.083,437.396,4.286,99.465,12,1.374,0.26978723,61.604167,10.895833,454.875,372.477,28.659,10.7,-9999,-22.5534,39.6969,1.72056,27.715,24.465,0.9584581,0.89209785,287.94685,0.018341944,346337.8
2012-01-29,29,25.615,120.417,437.5,3.886,99.492,64.2,2.009,0.38114286,88.958333,14.708333,454.3125,367.435,28.416,12.7,-9999,-14.1083,50.2918,4.90036,29.975,23.725,0.91121275,0.89115044,262.77423,0.018312738,346040.67
2012-01-30,30,25.801,159.75,434.854,5.09,99.669,11.6,1.751,0.36465116,118.9375,19.604167,456.125,362.363,28.493,11.8,-9999,-7.64627,66.0814,17.4917,28.54,24.04,0.79070179,0.89069578,346.79894,0.017744627,344807.32
2012-01-31,31,27.958,216.229,438.958,9.688,99.555,0.2,1.637,0.37020833,158.52083,26.104167,470.66667,356.412,30.878,10.1,-9999,-1.23142,101.42,20.8281,32.935,24.58,0.82962435,0.89227984,623.85418,0.017700619,346865.09
2012-02-01,32,28.036,295.146,431.583,11.755,99.413,7.6,1.439,0.30041667,219.72917,35.5,471.41667,356.586,32.172,10.5,-9999,16.12,127.671,36.8274,34.26,22.215,0.77612305,0.89263442,777.37197,0.0165158,343981.43
