time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,29.41,309.042,434.667,10.544,100.064,0.25,1.601,0.33479167,223.1875,44.291667,-9999,367.467,31.013,17.7,-9999,10.5417,183.259,20.9792,34.41,24.92,0.89728072,0.87464634,630.72845,0.019174823,352009.86
2012-01-02,2,28.976,315.896,434.313,11.187,100.106,11.68,1.407,0.29319149,212.89362,45.1875,-9999,365.425,31.655,17.8,-9999,4.35417,165.706,25.1148,34.235,23.145,0.86838542,0.87485582,692.80773,0.01811134,348914.98
2012-01-03,3,28.111,279.688,428.563,9.665,100.164,29.47,1.405,0.35030303,206.41304,41.5,-9999,369.771,30.719,18.5,-9999,-2.52083,168.83,10.9971,32.02,23.115,0.93884626,0.87079218,616.54071,0.017821042,347319.91
2012-01-04,4,28.666,263.625,427.271,9.638,100.181,0,1.531,0.33958333,182.45833,38.708333,-9999,370.971,31.079,16.7,-9999,1.83333,155.603,20.7509,31.935,25.55,0.88233376,0.87196803,594.80664,0.018628119,349895.38
2012-01-05,5,28.469,287.833,426.25,10.062,100.199,0,1.555,0.35333333,207.75,41.145833,-9999,366.747,31.273,15.8,-9999,3.1875,159.576,26.1748,31.99,25.6,0.85908647,0.87492863,632.00875,0.018071594,348306.08
2012-01-06,6,28.517,288.417,425.938,11.528,100.178,0,1.623,0.36541667,202.35417,42.395833,-9999,362.954,31.273,14.9,-9999,1.22917,168.81,24.5521,32.48,24.875,0.87302527,0.87184344,737.64802,0.017214467,346211.5
2012-01-07,7,28.133,210.833,430.042,7.574,100.184,18.28,1.349,0.23954545,127.83333,31.291667,-9999,363.667,30.481,16,-9999,-4.29167,96.7437,20.1453,30.605,25.81,0.82765444,0.87076217,468.47548,0.019176028,350729.48
2012-01-08,8,29.251,288.333,433.042,10.649,100.091,0,1.608,0.32375,203.72917,42.354167,-9999,367.546,31.054,17.2,-9999,3.75,163.509,21.1042,32.775,26.135,0.88568423,0.87192074,643.92491,0.018864099,351073.25
2012-01-09,9,28.925,318.292,421.271,10.992,100.082,0,1.746,0.41625,223.3125,46.1875,-9999,371.7,31.641,15.8,-9999,3.95833,190.912,33.1875,32.09,25.69,0.8519073,0.8732782,680.9198,0.018164566,348996.79
2012-01-10,10,28.822,340.896,417.563,10.971,100.081,0,1.912,0.41229167,235.33333,49.479167,-9999,369.54,31.843,14.8,-9999,4.375,168.188,40.5417,32.36,24.6,0.80576938,0.87325227,683.61426,0.01802713,348549.69
2012-01-11,11,29.004,286.146,426.604,11.019,100.111,0,1.19,0.256875,202.45833,40.208333,-9999,366.821,31.769,13.9,-9999,2.04167,154.312,32.7393,34.06,24.925,0.82497155,0.87679547,679.63878,0.018258398,349310.77
2012-01-12,12,28.25,317.188,429.521,11.663,100.053,4.81,1.518,0.31869565,230.25,44.4375,-9999,371.098,31.583,13.3,-9999,0.541667,179.653,29.1199,34.545,22.46,0.86051877,0.87711735,760.1119,0.016769211,344830.03
2012-01-13,13,28.224,247.604,437.583,9.396,99.998,10.16,1.866,0.40957447,171,36.625,-9999,374.72,31.47,12.8,-9999,-3.10417,141.596,21.9203,33.44,22.46,0.86594425,0.87114263,593.08554,0.018181851,348335.5
2012-01-14,14,27.959,313.479,428.792,10.12,99.874,0.25,1.239,0.29041667,234.3125,43.833333,-9999,370.791,31.35,14.1,-9999,4.16667,176.683,31.5712,34.16,22.605,0.84840066,0.87732488,655.82462,0.017370079,346039.74
2012-01-15,15,28.335,199.667,428.542,7.96,99.826,0.51,1.21,0.25,126.35417,30.125,-9999,374.234,31.168,13.7,-9999,-4.02083,95.7281,22.866,31.325,25.64,0.80719108,0.86890318,489.27978,0.019287161,351210.33
2012-01-16,16,27.754,227.688,429.75,7.912,99.82,14.22,1.35,0.31113636,155.875,32.770833,-9999,379.854,30.955,13.4,-9999,-2.97917,121.114,20.922,33.37,22.945,0.85269932,0.87418037,502.51494,0.018499588,348657.49
2012-01-17,17,27.205,215.792,438.458,7.761,99.875,3.3,1.181,0.242,148.08333,31.354167,-9999,381.956,30.274,16.7,-9999,-2.58333,121.463,13.1086,34.295,23.435,0.90259015,0.87313513,507.73922,0.017834306,346442.54
2012-01-18,18,26.769,187.438,430.958,6.875,99.897,25.91,1.139,0.25676471,126.6875,28.875,-9999,381.888,29.438,18.8,-9999,-4.875,91.1971,11.3441,32.16,22.46,0.88937032,0.86651288,455.25427,0.017812761,345950.5
2012-01-19,19,26.61,185.458,434.458,5.197,99.856,37.59,1.066,0.23457143,131.3913,26.833333,-9999,394.168,29.553,18.7,-9999,-1.01913,90.0634,19.334,31.16,24.185,0.82326819,0.87360137,338.87153,0.01867975,347958.17
2012-01-20,20,26.819,193.042,432.771,5.14,99.768,53.59,0.947,0.22025,135.6087,28.458333,-9999,392.699,29.313,19,-9999,-5.3125,100.872,16.0183,32.05,24.245,0.86296297,0.87152013,330.99478,0.019008207,348989.36
2012-01-21,21,26.376,205.792,433.896,4.873,99.677,18.53,0.828,-9999,223.46667,30.1875,-9999,380.706,29.226,19.2,-9999,0.5625,99.3002,17.8509,31.3,22.84,0.84762499,0.87207575,320.4356,0.018615377,347562.07
