time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,27.001,369.396,377.333,27.321,100.028,0,1.443,0.16479167,203.33333,66.0625,477.08333,412.887,26.047,12.16,-9999,9.83333,44,100.042,36.36,14.475,0.30546646,0.84829209,2830.2378,0.0052021792,314657.2
2012-01-02,2,30.819,362.979,395.688,35.48,99.958,0,2.553,0.25104167,197.33333,65.395833,495.54167,388.236,27.107,11.571,-9999,10.1146,44.4035,94.9597,38.205,24.045,0.31861711,0.84733969,3167.3938,0.0056303833,319564.8
2012-01-03,3,31.817,307.297,406.76,37.98,99.832,0,2.951,0.28708333,159,55.458333,499.375,384.148,27.626,10.958,-9999,9.35417,29.9792,73.2292,38.935,23.775,0.29047248,0.84711918,3271.6257,0.0057022897,320747.56
2012-01-04,4,22.187,342.99,360.083,14.501,100.062,1.4,4.223,0.37854167,194.39583,64.104167,442.85417,378.208,26.763,10.385,-9999,-2.47917,32.1151,116.604,25.4,15.135,0.21594469,0.84253234,1529.658,0.0076379204,315908.49
2012-01-05,5,18.798,368.151,318.417,14.001,100.153,6.4,4.09,0.36541667,173.23404,69.416667,432.125,369.373,25.417,9.969,-9999,-1.77083,27.4948,108.497,26.425,12.065,0.20217984,0.84135787,1950.3987,0.0047857788,305372.19
2012-01-06,6,20.52,386.604,319.208,17.88,100.04,0,2.697,0.27270833,187.16667,72.708333,443.89583,371.177,25.433,9.648,-9999,3.10417,28.9271,99.4562,29.44,12.3,0.22531825,0.84170176,2525.591,0.00389718,304881.3
2012-01-07,7,23.793,282.464,375.042,20.419,99.495,0.2,3.164,0.27340426,149.20833,52.770833,454.1875,382.635,25.316,9.333,-9999,5.41667,49.5742,76.4613,32.57,12.09,0.39333521,0.84258547,2283.7916,0.0056735652,312611.63
2012-01-08,8,22.01,179.917,389.229,9.349,99.035,0.8,3.302,0.29911111,107.14583,30.645833,430.60417,383.89,24.1,13.796,-9999,-10.6875,60.8679,29.1906,27.55,17.635,0.67587068,0.85445754,870.00144,0.010807483,323654.51
2012-01-09,9,18.256,303.918,327.917,12.484,99.632,14.4,2.17,0.2225,88.243902,56.833333,417.5625,375.624,21.839,15.398,-9999,-10.5833,54.8957,87.1083,22.725,12.425,0.38657855,0.84245842,1708.0409,0.005308889,306135.25
2012-01-10,10,18.352,321.766,338.875,12.606,99.641,0,2.679,0.27375,128.95349,56.770833,420.8125,382.233,21.4,15.119,-9999,-5.39583,51.265,99.3585,22.8,12.045,0.34035194,0.8500256,1719.0504,0.0053113584,306237.91
2012-01-11,11,15.087,315.827,323.688,8.618,99.727,0,4.529,0.35210526,119.35714,59.1875,400.47917,378.923,20.692,14.615,-9999,-11.6458,45.9629,113.041,18.475,11.155,0.28906775,0.84217277,1303.1267,0.0053300265,303003.25
2012-01-12,12,15.922,369.264,319.896,8.814,100.482,0,3.616,0.30770833,170.72727,67.541667,412.1875,377.75,21.05,14.213,-9999,-0.729167,26.1667,132.646,21.435,9.51,0.16476453,0.84537365,1256.4183,0.0057552178,304905.4
2012-01-13,13,17.509,377.729,335.833,10.114,100.317,0,5.025,0.42208333,219.45833,68.541667,423.79167,377.046,22.348,13.798,-9999,5.28482,32.7917,142.396,20.785,14.855,0.18718038,0.84641234,1337.6511,0.0061508351,307489.38
2012-01-14,14,18.182,394.453,312.063,12.453,100.192,0,5.034,0.3975,202.79167,72.729167,428.5,375.198,23.076,13.106,-9999,6.67014,32.6875,121.542,24.535,12.405,0.21194065,0.84432375,1712.8055,0.0052377573,305883.05
2012-01-15,15,21.841,340.667,363.5,16.635,100.249,0,2.255,0.23395833,188.64583,60.770833,453.72917,378.527,24.317,12.448,-9999,10.4583,20.7434,93.625,29.61,12.07,0.18137353,0.84861708,1943.7545,0.0059391869,311313.92
2012-01-16,16,25.478,361.005,367.833,21.395,100.428,0,3.977,0.33895833,195.4375,65.3125,466.1875,378.458,25.37,11.798,-9999,7.72917,26.3958,114.688,31.11,19.56,0.18709306,0.84679845,2105.3863,0.0069624955,317527.38
2012-01-17,17,26.96,360.38,378.604,24.096,100.314,0,3.798,0.330625,196.95833,65.604167,474.77083,378.615,26.253,11.067,-9999,8.8125,24.5625,115.333,32.63,21.2,0.17557748,0.84599388,2244.2231,0.0071483372,319481.39
2012-01-18,18,24.677,179.464,394.604,17.359,100.087,0,2.958,0.263125,80.363636,37.625,448.10417,381.587,24.716,10.454,-9999,-1.14583,37.4822,44.1389,29.345,20.7795,0.45922194,0.82668399,1626.3766,0.0085644414,320727.24
2012-01-19,19,24.703,369.964,367.792,19.238,100.093,0,2.817,0.28666667,196.0625,67.145833,472.20833,379.212,26.628,10.492,-9999,10.1667,29.4554,108.438,33.27,16.72,0.21360993,0.84638682,1898.4496,0.0074152515,317880.39
2012-01-20,20,23.54,369.49,355.5,17.038,99.909,0,2.682,0.28770833,188.70833,68.541667,465.6875,380.467,27.181,10.067,-9999,8.90104,21.3778,105.729,32.025,15.205,0.1681877,0.84352349,1737.4561,0.0074918741,316903.14
2012-01-21,21,25.394,355.745,375.313,19.693,99.944,0,2.687,0.27510638,186.125,65.916667,477.08333,381.347,27.966,9.66,-9999,10.75,24.4883,97.6994,32.98,17.54,0.20041543,0.84367404,1855.0859,0.0079632262,319944.79
2012-01-22,22,26.625,347.786,379.333,22.657,100.438,0,2.025,0.21875,183.89583,64.666667,476.8125,384.983,28.233,9.304,-9999,7,17.3238,88.8958,33.525,18.715,0.16309419,0.84321433,2085.5864,0.0076043691,320284.8
2012-01-23,23,25.49,369.865,357.958,23.513,100.444,0,2.067,0.21083333,187.95833,69.083333,469.27083,384.408,28.082,8.944,-9999,5.22917,19.8125,106.271,32.36,17.605,0.15713793,0.84261625,2484.9326,0.0056542518,314268.83
2012-01-24,24,26.576,359.979,366.104,25.218,100.11,0,2.594,0.245,179.72917,67.6875,476.79167,376.808,28.301,8.66,-9999,8.60417,19.3241,101.292,33.635,19.45,0.16021161,0.84172831,2531.2246,0.0059619833,316129.59
2012-01-25,25,27.483,367.688,374.458,25.821,99.8,0,2.973,0.31020833,186.66667,69.479167,484.875,379.987,29.303,8.452,-9999,9.71717,18.2561,93.5179,35.79,17.94,0.16333047,0.84106957,2411.4021,0.0067982635,319131.82
2012-01-26,26,24.93,363.063,365.771,19.592,99.931,0,3.721,0.30666667,190.29167,69.520833,467.875,377.892,29.269,8.238,-9999,4.70833,11.3333,115.438,32.5,18.31,0.089399572,0.83928934,1915.7339,0.0074719371,318250.24
2012-01-27,27,27.054,351.889,394.479,23.748,99.941,0,2.167,0.23479167,173.69565,66.604167,485.25,383.821,29.252,8.115,-9999,10.8958,16.722,102.103,33.96,16.91,0.14072796,0.84084766,2169.7885,0.0075174671,320498.69
2012-01-28,28,27.718,338.396,405.917,22.211,99.751,0,2.72,0.27583333,188.14583,62.583333,492.875,375.527,30.451,8.033,-9999,11.9167,13.6846,103.552,33.66,22.65,0.11672635,0.84392379,1837.8751,0.0093948491,325859.46
2012-01-29,29,25.656,278.453,413.167,18.576,99.133,0.4,2.674,0.24333333,160.16667,53,477.72917,389.391,29.82,8.002,-9999,4.02083,18.3683,88.2641,33.485,20.5245,0.17225815,0.84009799,1660.8862,0.0090595486,322948.9
