time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,24.211,328.076,353.443,22.821,94.875,0,2.774,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.91024,75.7762,-9999,-9999,0.024589105,-9999,2695.2435,0.0048606034,310999.31
2012-01-02,2,24.863,307.608,359.68,22.59,94.85,0,2.289,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.42361,76.8841,-9999,-9999,0.04263115,-9999,2461.4375,0.0058084306,314024.14
2012-01-03,3,25.37,324.722,362.435,23.014,94.967,0,2.069,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.14586,74.778,-9999,-9999,0.027895896,-9999,2417.7055,0.006157706,315406.87
2012-01-04,4,25.529,321.133,366.298,22.635,95.035,0,2.076,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.91024,75.7762,-9999,-9999,0.024589105,-9999,2309.071,0.006606219,316687.94
2012-01-05,5,25.322,319.144,369.913,22.385,94.971,0,2.313,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.42361,76.8841,-9999,-9999,0.04263115,-9999,2310.607,0.0065116012,316243.36
2012-01-06,6,25.687,317.185,373.276,22.818,94.906,0,2.577,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.14586,74.778,-9999,-9999,0.027895896,-9999,2306.2139,0.0066980189,317076.23
2012-01-07,7,26.022,322.314,365.496,25.667,94.853,0,3.08,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.91024,75.7762,-9999,-9999,0.024589105,-9999,2783.7452,0.0052572707,313811.04
2012-01-08,8,29.358,314.993,380.59,31.756,94.604,0,2.108,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.42361,76.8841,-9999,-9999,0.04263115,-9999,2957.0806,0.006042622,319127.09
2012-01-09,9,29.727,300.303,394.424,28.681,94.573,0,1.426,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,2.14586,74.778,-9999,-9999,0.027895896,-9999,2341.6495,0.0086695165,326065.18
2012-01-10,10,27.032,250.534,404.311,20.425,94.618,13.144,1.855,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.91024,75.7762,-9999,-9999,0.024589105,-9999,1711.728,0.010120216,326983.45
2012-01-11,11,26.649,273.719,396.338,17.62,94.654,6.573,1.427,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.42361,76.8841,-9999,-9999,0.04263115,-9999,1425.7313,0.011453523,329931.8
