time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,28.652,368.845,381.325,30.842,99.885,0,1.755,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.1839,93.358,-9999,-9999,0.15545146,-9999,3017.1162,0.0052670187,316478.56
2012-01-02,2,30.94,366.652,392.962,36.597,99.809,0,2.648,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.7556,101.851,-9999,-9999,0.162455,-9999,3350.7189,0.0051318428,318440.06
2012-01-03,3,32.671,356.013,401.478,41.778,99.697,0,3.57,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.7156,114.663,-9999,-9999,0.13382526,-9999,3691.1739,0.0047896264,319324.17
2012-01-04,4,27.823,309.041,383.381,27.721,99.798,0.318,4.856,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.1839,93.358,-9999,-9999,0.15545146,-9999,2660.8939,0.0060680015,317647.87
2012-01-05,5,23.351,366.767,335.28,21.979,99.944,0,4.237,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.7556,101.851,-9999,-9999,0.162455,-9999,2757.4746,0.0041859926,308448.49
2012-01-06,6,22.425,390.994,322.843,20.674,99.886,0,3.293,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.7156,114.663,-9999,-9999,0.13382526,-9999,2710.736,0.0040248801,307115.08
2012-01-07,7,27.435,322.642,382.946,30.076,99.352,0,3.685,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.1839,93.358,-9999,-9999,0.15545146,-9999,3321.6778,0.00408254,312294.28
2012-01-08,8,23.026,96.457,395.815,10.439,99.085,8.074,4.415,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,19.7556,101.851,-9999,-9999,0.162455,-9999,930.41022,0.011180572,325608.31
2012-01-09,9,20.293,378.061,320.762,16.43,99.548,0,4.57,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.7156,114.663,-9999,-9999,0.13382526,-9999,2211.4467,0.0046161083,306450.49
2012-01-10,10,20.842,362.996,334.236,16.812,99.575,0,4.954,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,17.1839,93.358,-9999,-9999,0.15545146,-9999,2178.1304,0.0048899951,307686.95
