time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,9.789,2.305,339.636,0.901,99.043,2.1,6.225,0.40446587,-9999,-9999,-9999,5.648,38.344,37.728,-2.95301,0.129956,-22.6378,8.694,8.4825,0,-9999,143.57854,0.0070628973,302010.94
2012-01-02,2,8.206,19.874,313.287,1.005,98.973,5.4,4.234,0.29596294,-9999,-9999,-9999,5.485,38.627,37.957,-4.12699,1.376,-21.8612,8.454,8.095,0,-9999,177.49774,0.0062253254,298326.09
2012-01-03,3,8.464,2.297,330.317,1.041,99.14,4.5,8.448,0.55753422,-9999,-9999,-9999,5.577,38.592,37.922,-3.56203,4.29752,-32.3673,8.74,8.244,0,-9999,181.17815,0.0063134183,298805.62
2012-01-04,4,8.587,39.567,305.811,1.965,99.387,0.2,6.639,0.44974071,11.555172,11.431034,337.87241,5.699,38.137,37.526,-3.25106,6.14363,-13.6842,9.3275,6.421,0,0.77585343,353.61868,0.0057735127,297579.47
2012-01-05,5,9.184,20.11,322.963,1.837,97.906,16.9,7.998,0.65282706,-1.08125,2.8083333,341.30208,6.224,39.825,38.848,-1.43246,2.88949,-11.2315,12.267,5.1615,0,0.87746346,316.09067,0.0062369243,299337.98
2012-01-06,6,6.486,30.729,296.683,1.314,99.854,4.9,4.364,0.28866606,-7.4208333,5.0166667,329.44167,4.412,39.733,38.913,-9.24858,1.4697,-13.1701,8.265,4.7405,0,0.85965665,263.01512,0.0052196201,294083.23
2012-01-07,7,8.874,28.688,320.341,1.488,99.808,3.5,5.332,0.34988444,13.233333,6.1666667,341.56389,5.552,38.988,38.235,0.0679137,4.86945,-16.793,10.8785,6.022,0,0.82307486,257.26267,0.006185777,298898.56
2012-01-08,8,7.31,19.689,309.211,1.032,100.291,0.2,3.257,0.21568378,-9999,-9999,-9999,5.731,38.334,37.797,-1.06692,0.952942,-9.76312,8.047,7.5105,0,-9999,193.1533,0.0057239643,296172.21
2012-01-09,9,9.002,18.765,324.268,1.071,100.792,0.4,3.164,0.19891585,-9999,-9999,-9999,6.396,37.634,37.235,1.59699,1.0453,-9.49529,11.501,7.2215,0,-9999,180.44098,0.0064458734,299677.44
2012-01-10,10,10.739,21.39,340.213,0.92,101.16,0.5,2.249,0.13498632,8.2833333,2.91875,350.41458,7.483,37.527,37.133,5.21863,2.31526,-6.42006,11.646,10.1285,0,0.87993007,138.41954,0.0073944649,303794.61
2012-01-11,11,10.602,39,319.765,1.829,101.173,0.1,3.329,0.19107814,3.55625,6.8229167,348.26042,7.602,36.869,36.835,2.45833,5.54156,-9.19217,11.7795,9.6155,0,0.85110252,287.2179,0.0067572394,302063.86
2012-01-12,12,9.452,26.171,313.894,1.345,100.538,0,4.941,0.31390535,-7.64375,4.6375,342.61042,6.706,36.508,36.64,-2.87373,1.5457,-14.1723,11.3105,6.4,0,0.84947336,222.79956,0.006511605,300294.02
2012-01-13,13,5.736,41.444,270.535,1.107,100.788,0,2.221,0.15178059,-22.225,8.9375,324.50208,4.203,36.365,36.512,-12.5867,2.43453,-6.42471,8.393,3.8855,0,0.82260354,230.2162,0.0049966507,292772.06
2012-01-14,14,4.727,41.06,274.619,1.632,100.735,0,1.119,-9999,-14.735417,8.3125,321.6125,3.334,36.198,36.433,-11.4409,4.75407,-2.45888,7.4595,2.364,1.2,0.83163704,374.23507,0.0042870363,289983.98
2012-01-15,15,2.968,66.256,253.381,0.938,100.404,0,2.049,-9999,-8.6083333,14.558333,312.35208,1.464,35.929,36.321,-15.7825,1.35221,-5.13186,6.001,0.963,0,0.81985456,231.98778,0.0041133511,287781.97
2012-01-16,16,2.361,61.379,225.671,1.553,100.448,0,1.826,-9999,-38.108333,14.26875,309.625,0.643,35.548,36.227,-14.7397,2.85534,-4.11513,5.5765,0.4835,0,0.81137906,418.07621,0.0035305204,285714.86
2012-01-17,17,2.709,58.748,230.769,1.916,100.8,0,1.306,-9999,-34.008333,13.066667,309.46875,0.409,35.148,36.087,-12.1413,1.3061,-6.02334,6.9415,-0.303,0,0.81805017,516.91168,0.0034056197,285752.34
2012-01-18,18,3.443,25.871,280.646,0.971,100.646,0.1,4.538,0.28585286,-13.7125,4.95625,314.65,0.345,35.106,35.973,-9.90825,0.034645,-18.0882,6.07,0.751,0,0.83922504,233.12602,0.0042433264,288584.28
2012-01-19,19,9.975,9.081,335.769,0.539,99.712,8.1,5.803,0.44439417,-3.9729167,1.4854167,347.15417,5.552,39.369,37.773,14.7338,3.86305,-20.2693,12.882,6.559,0,0.85942096,83.760606,0.0073385943,302887.11
2012-01-20,20,6.761,16.731,303.088,1.338,99.571,1.8,4.857,0.31999182,-13.145833,2.6395833,330.05833,3.995,39.123,38.26,-4.41094,1.91597,-15.1654,8.9935,5.764,0,0.86373238,263.36299,0.0053354526,294649.19
2012-01-21,21,9.763,10.862,332.192,1.207,98.99,2.8,5.577,0.36696326,-2.5375,1.6020833,343.89583,5.783,39.635,38.521,6.88285,5.7278,-19.2865,12.22,5.852,0,0.87146401,194.98313,0.0068594314,301476.14
2012-01-22,22,8.633,21.558,300.548,2.314,99.092,0.4,5.437,0.33849905,-17.516667,4.01875,335.16042,4.697,38.613,38.027,-3.11806,5.02979,-27.496,11.39,6.2385,0,0.84287488,422.01228,0.0055921712,297172.34
2012-01-23,23,7.264,47.529,298.458,1.655,99.546,0,3.786,0.24551,4.34375,8.5395833,332.71667,5.02,37.46,37.244,-2.16427,5.34798,-6.14178,8.9305,5.8035,0,0.84769397,320.22295,0.0053548254,295203.13
2012-01-24,24,4.87,30.617,295.515,0.659,99.96,0.2,2.394,0.14972176,-3.4854167,5.8020833,323.30833,3.136,37.292,36.944,-9.66085,1.05306,-7.2027,6.714,3.0425,0,0.84068563,141.49119,0.0049829441,291867.46
2012-01-25,25,6.426,22.402,330.54,0.614,99.733,0.7,3.415,0.21707415,16.970833,3.50625,332.45625,4.079,37.721,37.081,-1.47256,1.52325,-5.88935,7.679,4.928,0,0.86466666,119.13646,0.0056404017,295074.88
2012-01-26,26,8.209,27.09,331.197,0.908,99.324,0.4,4.22,0.26489381,13.663043,4.1282609,338.05435,5.421,37.335,36.938,2.29126,3.23046,-7.64997,9.908,5.908,0,0.86776134,159.65655,0.0062658466,298430.41
2012-01-27,27,5.851,71.819,299.575,1.05,100.002,0.5,2.995,0.179556,31.854167,13.81875,324.83125,3.948,37.515,37.021,-6.87998,4.92279,-5.70428,9.183,3.566,0,0.83863717,216.07594,0.0051176353,293190.09
2012-01-28,28,5.596,40.987,292.115,1.057,100.454,0.1,2.544,-9999,-0.55416667,7.00625,326.1375,3.485,37.033,36.871,-6.07652,3.60207,-3.95127,7.7865,3.527,0,0.85401593,221.24343,0.0049892504,292612.86
2012-01-29,29,1.392,14.119,294.165,1.025,100.725,0,3.604,0.24076545,-5.2152174,2.6304348,312.11304,0.904,36.582,36.689,-18.0234,1.68273,11.8175,2.699,0.1805,0.12464454,0.84295382,283.94028,0.0035477489,284784.08
2012-01-30,30,0.381,23.773,299.425,0.669,100.377,0.8,1.311,-9999,6.2145833,8.01875,308.82917,0.453,36.371,36.523,-12.6591,1.68842,8.1455,1.3265,-0.1285,0.17169349,0.74777261,193.30351,0.003486207,283614.17
2012-01-31,31,-0.974,45.21,277.544,0.723,100.254,0,3.166,-9999,0.68333333,22.314583,299.25417,0.211,36.302,36.521,-12.8907,1.84847,0.0588973,0.3925,-3.699,0.96912115,0.66953394,230.30871,0.0030894843,281260.59
2012-02-01,32,-3.959,86.058,204.397,1.016,100.716,0,5.519,0.38283282,-34.491429,53,284.10857,-0.955,34.887,36.397,-14.3934,3.90289,-4.99139,-1.9895,-6.812,0,0.61886407,413.96445,0.0021941305,276022.28
2012-02-02,33,-4.55,86.263,203.401,1.347,100.991,2.9,5.245,0.35057878,-9999,-9999,-9999,-2.098,35.066,36.426,-21.3928,4.98984,-3.21991,-2.384,-7.0175,1.2,-9999,599.71512,0.0018613359,274596.34
2012-02-03,34,-7.135,59.094,219.831,1.117,101.419,0,2.353,-9999,-14.204167,18.4625,273.82708,-2.235,34.781,36.354,-22.1009,4.28548,0.426394,-2.9145,-9.6215,0.90950649,0.76194774,593.72768,0.0015152372,271133.17
2012-02-04,35,-10.427,87.142,219.723,0.494,101.625,0.2,1.613,-9999,-12.131707,59.995122,254.44634,-1.69,35.594,36.507,-9.12988,2.96874,-0.341773,-4.586,-14.324,1.1301017,0.59225027,306.43333,0.0013957496,267525.99
