time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,9.607,10.646,359.129,0,95.452,3.2,5.025,0.80882809,6.5416667,-9999,-9999,4.23,36.353,21.643,1.13709,10.8267,-128.171,10.19,8.65,0,-9999,0,0.0078257342,303735.12
2012-01-02,2,5.208,13.708,308.627,0.205,95.344,10.7,3.873,0.64990292,-0.64583333,-9999,-9999,4.2,36.323,21.58,0.435885,11.0806,-51.9739,9.96,2.175,0,-9999,42.065065,0.0056583039,293895.55
2012-01-03,3,4.605,9.438,306.638,0.383,95.535,4.8,6.618,1.0853267,-5.6666667,-9999,-9999,4.271,36.137,21.568,0.672361,7.94602,-44.1656,8.14,1.87,0,-9999,82.387869,0.0052914996,292372.52
2012-01-04,4,3.54,18.708,283.587,1.17,95.731,2.3,6.522,1.182474,0.6875,-9999,-9999,4.269,35.95,21.643,-1.19136,10.635,-30.2601,5.06,2.635,0,-9999,282.63066,0.0043668495,288990.57
2012-01-05,5,3.806,7.521,321.767,0.291,94.24,25.4,6.719,-9999,2,-9999,-9999,4.439,36.515,21.58,-3.62121,8.63648,-47.8296,6.935,0.525,0,-9999,65.513296,0.0051184887,291137
2012-01-06,6,1.747,18.917,273.915,0.089,96.033,6.8,4.947,-9999,9.0833333,-9999,-9999,3.494,36.821,21.568,-5.39896,10.801,-37.6131,3.015,0.455,0,-9999,22.563515,0.0044440353,287381.57
2012-01-07,7,3.717,9.104,303.265,0.399,96.104,4.8,5.051,0.82704483,2.5,-9999,-9999,3.851,36.554,21.643,2.04127,10.5237,-55.6065,5.835,1.245,0,-9999,90.899639,0.0049159735,290541.27
2012-01-08,8,3.279,16.083,295.258,0.343,96.452,1.9,4.479,0.7825131,5.5833333,-9999,-9999,4.045,35.958,21.58,0.634354,11.3594,-41.2277,3.74,2.355,0,-9999,80.098787,0.0047772106,289754.17
2012-01-09,9,4.654,11.125,316.395,0.01,96.998,1.3,3.582,0.61065119,6.0208333,-9999,-9999,4.347,35.775,21.568,3.03246,8.2768,-39.2155,6.15,3.02,0,-9999,2.102509,0.0054709615,292870.42
2012-01-10,10,5.71,15.417,308.283,0.349,97.45,0.2,2.437,0.41633806,5.5208333,-9999,-9999,4.894,35.7,21.643,3.237,10.662,-34.487,6.165,5.23,0,-9999,69.911379,0.0056447267,294366.12
2012-01-11,11,5.603,25.917,315.32,0.683,97.504,0,3.38,0.538975,11.395833,-9999,-9999,5.006,35.59,21.58,1.92673,12.3318,-17.6017,6.265,5.04,0,-9999,140.10206,0.0053836175,293605.81
2012-01-12,12,4.997,18.292,308.007,0.369,96.854,2.8,4.942,-9999,7.4166667,-9999,-9999,5.106,35.483,21.568,0.684292,9.94949,-21.1001,6.105,2.72,0,-9999,77.377884,0.0053803486,292988.61
2012-01-13,13,1.507,19.771,261.882,0.501,96.971,0.2,3.519,0.5169431,-0.83333333,-9999,-9999,4.328,35.5,21.643,-5.55363,15.4088,-16.591,2.39,0.345,0,-9999,132.61056,0.0040591549,286178.17
2012-01-14,14,0.712,41.646,246.67,1.239,96.94,0.1,2.264,0.37941214,7.875,-9999,-9999,3.627,35.492,21.58,-5.01356,13.1276,39.4719,2.16,-0.655,0.24957652,-9999,366.09562,0.003340778,283583.25
2012-01-15,15,-0.569,57.916,251.652,1.222,96.642,0,2.859,-9999,22.354167,-9999,-9999,2.684,35.4,21.568,-7.58181,12.9918,30.812,2.32,-2.125,0.29659071,-9999,395.42558,0.0029932159,281426.94
2012-01-16,16,-0.362,67.146,224.621,2.848,96.715,0,3.496,0.41034268,2.4583333,-9999,-9999,1.945,35.381,21.643,-6.71923,13.7718,21.4366,3.19,-2.36,0.39115098,-9999,1078.116,0.0019995285,279150.76
2012-01-17,17,1.695,61.583,230.149,3.183,97.067,0,1.419,-9999,-0.79166667,-9999,-9999,1.437,35.3,21.58,-4.75965,9.05557,31.1485,6.175,-1.735,0.22524013,-9999,1042.4419,0.0023892029,282192.23
2012-01-18,18,0.263,28.021,273.803,1.071,97.008,2.3,3.85,0.64688412,-5.375,-9999,-9999,1.266,35.242,21.568,-2.58785,7.83462,25.1747,1.59,-1.04,0.2373457,-9999,322.21056,0.0033143006,283065.82
2012-01-19,19,5.259,5.521,334.211,0.01,96.131,16.3,5.01,0.74920536,1.7916667,-9999,-9999,2.788,36.41,21.643,10.8143,9.74832,-89.5197,8.57,1.78,0,-9999,2.0254889,0.0057593515,294199.42
2012-01-20,20,1.466,9.833,301.321,0.231,95.871,3.6,5.338,1.0076603,1.4583333,-9999,-9999,2.755,36.429,21.58,-1.91115,6.88262,-24.8938,4.475,0.475,0,-9999,60.190156,0.00426887,286661.26
2012-01-21,21,4.476,8.354,327.487,0.106,95.383,7.9,4.917,-9999,3,-9999,-9999,3.251,37.171,21.568,5.7466,8.53792,-61.9514,7.02,0.81,0,-9999,22.648241,0.0054317595,292593.53
2012-01-22,22,3.728,11.042,287.321,0.81,95.419,1.5,6.812,1.2306953,-0.83333333,-9999,-9999,3.446,36.265,21.643,1.34219,7.61537,-62.1346,5.8,2.35,0,-9999,188.943,0.0046859334,289977.22
2012-01-23,23,2.358,18.667,281.57,0.283,95.844,1.3,3.799,-9999,6.9375,-9999,-9999,3.389,35.952,21.58,-0.865188,5.58581,-10.4624,3.34,0.81,0,-9999,69.853182,0.0045278067,288205.06
2012-01-24,24,0.815,26.417,275.247,0.1,96.275,1.3,1.746,-9999,11.020833,-9999,-9999,2.829,35.981,21.568,-3.02321,6.71509,6.05142,1.39,0.23,0.52599262,-9999,26.932712,0.0041342642,285670.49
2012-01-25,25,1.384,24.833,291.581,0.067,96.208,0.1,1.891,-9999,14.8125,-9999,-9999,2.94,35.896,21.643,0.652375,5.98863,0.569159,2.465,0.21,0.9132087,-9999,17.359324,0.0043345694,286743.09
2012-01-26,26,2.098,30.896,307.58,0.012,95.854,1.8,2.52,0.63345069,20.666667,-9999,-9999,3.242,35.742,21.58,1.79665,7.74245,2.12001,3.015,1.22,0.78504247,-9999,2.9606882,0.004617437,288167.83
2012-01-27,27,1.457,39.042,259.944,0.122,96.421,0,2.098,0.29543148,10.8125,-9999,-9999,3.011,35.7,21.568,-1.89719,9.42222,-2.28444,3.04,-0.13,1.2,-9999,31.576893,0.0043122956,286760.77
2012-01-28,28,-0.314,24.896,242.876,0.08,96.798,0,1.691,-9999,14.1875,-9999,-9999,2.717,35.629,21.643,-1.86267,8.5348,18.9596,0.19,-1.265,0.31041958,-9999,23.145164,0.0037961604,283690.58
2012-01-29,29,-2.835,13.979,260.44,0.474,96.84,0,3.205,-9999,4.0833333,-9999,-9999,2.23,35.554,21.58,-4.15219,8.31004,81.3449,-1.095,-3.955,0.092689148,-9999,167.9482,0.0028886295,278888.15
