time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-5.4103958,-2.4293542,0.35557146,6.0254375,0.41996171,-9999,98.779167,288.93568,285.36138,14.029841,11.805427,-9999,11.123324,-1.9860208,2.4354167,5.5125,-2.709,-10.61,-1.3498818,-9999,0.84145119,149.00492,0.0023418221,274932.86
2012-01-02,2,-19.889375,-3.1938958,0.35539563,12.092083,0.71326854,-9999,100.19792,229.71821,187.47487,43.275466,32.601659,-9999,-9999,-2.9728333,2.4708333,5.4375,-10.75,-25.9,-31.569533,-9999,0.753352,469.11952,0.00056647978,255943.13
2012-01-03,3,-23.48,-4.9247083,0.26415625,5.821375,0.40127719,-9999,100.29375,216.12148,193.94832,34.191437,24.334646,-9999,-19.315551,-3.4150417,2.4,5.2,-13.62,-30.040001,-12.31637,-9999,0.71171758,463.56846,0.00042011788,251968.64
2012-01-04,4,-11.957937,-4.1461667,0.54993917,7.2813333,0.47871765,-9999,99.116668,258.25292,231.82899,20.285057,16.038583,-9999,-18.346692,-2.72625,2.4,5.2895833,-6.318,-19.76,-22.177462,-9999,0.79065999,389.87998,0.0011963841,265488.98
2012-01-05,5,-22.110625,-3.8298542,0.24202167,3.3460833,-9999,-9999,-9999,216.79302,184.67025,44.883371,29.331431,-9999,-9999,-2.0350208,2.4,5.3916667,-20.1,-25.74,-16.570824,-9999,0.65350329,369.4842,-9999,-9999
2012-01-06,6,-17.530625,-4.2548958,0.32119958,4.7342917,-9999,-9999,-9999,242.03238,239.76062,22.196018,17.067808,-9999,-9999,-2.1958958,2.4,5.4,-15.51,-20.27,2.8564425,-9999,0.7689581,339.89034,-9999,-9999
2012-01-07,7,-19.928333,-3.5289583,0.29842958,3.2386667,-9999,-9999,100.55208,222.66713,192.49263,41.084404,32.079093,-9999,-9999,-2.0078542,2.4,5.4,-16.620001,-28,-21.16919,-9999,0.78080951,385.28076,0.0006060269,256002.84
2012-01-08,8,-18.895,-4.3751667,0.30226396,3.6301875,-9999,-9999,100.68542,227.4634,195.7212,40.626558,31.492781,-9999,-9999,-2.0499375,2.4,5.4,-12.88,-27.15,-22.60842,-9999,0.77517719,357.03906,0.00067941977,257224.82
2012-01-09,9,-8.9560417,-3.8621042,0.48494833,8.1584167,-9999,-9999,98.691667,272.10699,255.20863,24.713034,19.951651,-9999,-9999,-2.1481667,2.4,5.4,-1.262,-21.09,-12.136972,-9999,0.80733314,268.1827,0.0016376046,269608.94
2012-01-10,10,-26.742292,-3.6602083,0.16944542,2.6287917,-9999,-9999,-9999,192.17682,145.80378,53.803752,35.391825,-9999,-9999,-1.6979167,2.4,5.4395833,-21.76,-30.66,-27.961105,-9999,0.65779474,378.70079,-9999,-9999
