time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-5.1374375,-1.2090833,0.38278562,5.0018333,-9999,-9999,98.766667,291.12047,287.29366,10.657271,10.269521,-9999,-9999,-3.3980417,1.96875,7.35,-2.361,-10.41,-3.4390629,-9999,0.9636164,157.84171,0.0023795186,275301.42
2012-01-02,2,-19.678958,-2.1579583,0.36322688,9.6757083,-9999,-9999,100.18958,231.69197,189.95912,46.340729,26.160729,-9999,-9999,-10.1025,1.8958333,7.3125,-10.55,-25.75,-21.552853,-9999,0.56452993,472.02815,0.00057569518,256177.63
2012-01-03,3,-23.242708,-4.1426875,0.26933375,4.9913542,-9999,-9999,100.275,218.23232,195.20892,34.161646,21.032604,-9999,-9999,-15.153125,1.675,6.5166667,-13.44,-29.83,-9.8943542,-9999,0.61567889,463.66206,0.00042901556,252229.37
2012-01-04,4,-11.725583,-2.2750833,0.56703542,5.819375,-9999,-9999,99.089585,260.2405,233.74987,19.498792,14.003271,-9999,-9999,-7.2155833,1.8083333,6.4708333,-5.998,-19.58,-20.995103,-9999,0.71816095,395.95527,0.0012151858,265769.5
2012-01-05,5,-21.828958,-3.007125,0.24993562,2.8519583,-9999,-9999,99.822916,219.81794,184.22576,46.767375,24.520583,-9999,-9999,-10.919167,1.76875,6.4520833,-19.879999,-25.450001,-13.345393,-9999,0.52430959,373.561,0.00051617026,253868.07
2012-01-06,6,-17.307708,-2.722125,0.33329833,4.0547917,-9999,-9999,99.431252,244.3279,241.17851,21.677854,15.303729,-9999,-9999,-8.6000208,1.8,6.41875,-15.22,-20.07,3.2247268,-9999,0.70596143,347.53102,0.00078189854,259076.25
2012-01-07,7,-19.808542,-2.6480625,0.30841583,2.7167708,-9999,-9999,100.53542,224.91039,194.69395,44.218812,26.394604,-9999,-9999,-8.8542917,1.7958333,6.475,-16.42,-27.98,-12.392228,-9999,0.59690893,395.70269,0.00060884671,256130.28
2012-01-08,8,-18.735417,-3.3917917,0.31638979,3.193625,-9999,-9999,100.66875,230.39431,197.8165,43.59025,26.065792,-9999,-9999,-11.127292,1.7208333,6.3104167,-12.79,-28.15,-15.053355,-9999,0.59797298,370.64595,0.00068356307,257395.56
2012-01-09,9,-8.7237292,-2.0813125,0.50282938,6.7389583,-9999,-9999,98.685417,274.42099,257.08072,23.246104,16.772854,-9999,-9999,-5.6813333,1.8458333,6.35625,-0.926,-20.950001,-10.867021,-9999,0.72153398,274.00592,0.0016628685,269905.57
2012-01-10,10,-26.698333,-3.5759167,0.169585,2.2530833,-9999,-9999,100.64583,194.15441,146.33451,60.48998,29.303333,-9999,-9999,-13.229104,1.725,6.26875,-21.620001,-31.43,-16.633249,-9999,0.48443285,377.47511,0.0003264683,248500.1
2012-01-11,11,-25.185208,-4.5654375,0.18430292,3.144375,-9999,-9999,100.86875,209.45251,182.49929,60.437729,29.655417,-9999,-9999,-14.635625,1.6125,6.0166667,-20.26,-31.809999,3.8290838,-9999,0.49067722,359.87018,0.00038106785,250157.29
2012-01-12,12,-18.73,-3.39075,0.53255979,4.5191458,-9999,-9999,100.20833,234.43372,214.8847,34.175375,22.465104,-9999,-9999,-9.9490208,1.6979167,6.0125,-15.78,-23.440001,-7.8387497,-9999,0.6573477,684.28775,0.00054636354,257058.01
2012-01-13,13,-25.700833,-4.0803542,0.21361979,3.7576458,-9999,-9999,100.26458,202.56795,149.64852,61.972292,32.987542,-9999,-9999,-13.501042,1.6291667,5.9416667,-21.68,-29.02,-23.934686,-9999,0.53229501,447.52682,0.00034367865,249545.61
2012-01-14,14,-22.420209,-4.2767083,0.30683125,2.9347292,-9999,-9999,100.77292,209.4603,159.48503,60.173125,33.067146,-9999,-9999,-13.138333,1.6,5.8104167,-17.26,-25.530001,-22.869292,-9999,0.54953348,499.82704,0.00045161657,253112.48
2012-01-15,15,-20.602917,-4.41275,0.37755937,2.5231042,-9999,-9999,100.91875,219.82402,189.38512,61.253167,32.719521,-9999,-9999,-13.268333,1.6,5.7791667,-13.05,-28.860001,-1.9052495,-9999,0.53416865,538.26719,0.00053659844,255151.31
