time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,1.4763344,2.5843354,0.44860754,1.5455832,0.23197747,0.044625,100.46854,322.13754,295.13244,16.244577,2.3414804,5.4109695,-12.663028,-9999,27.949333,34.559771,3.845,0.2136,-13.102007,0,0.1441392,118.55313,0.0039613648,285902.88
2012-01-02,2,4.903885,3.6412375,0.88690941,1.1908189,0.20167466,0.170625,99.451667,335.20933,308.25781,19.144848,3.4524315,14.588882,-31.45297,-9999,28.711562,34.781354,7.7425,0.93258,-11.259104,0,0.18033214,192.41229,0.0049584793,291840.35
2012-01-03,3,5.7058521,5.1409687,0.058354522,2.5355148,0.59340594,1.561875,100.03956,341.46402,339.26777,4.5559995,1.193554,6.4207502,-45.993331,-9999,32.364583,39.008833,6.794,4.5813,1.1661955,0,0.26197414,11.52667,0.0056829662,294457.55
2012-01-04,4,7.1565688,6.79865,0.23230413,1.6692637,0.40799304,1.50675,99.335896,349.14881,339.9866,8.6797029,1.7870695,13.436317,-41.250296,-9999,33.098042,40.151729,8.3169,4.0283,-2.269575,0,0.20589064,42.320311,0.0062095582,297232
2012-01-05,5,3.1303985,4.5558312,0.34700289,0.95672746,0.15866632,0.063,100.34506,328.41423,282.41563,26.272683,4.4786815,11.648921,-30.487013,-9999,29.955083,36.491708,6.2947,0.61783,-24.204602,0,0.17046913,81.828153,0.004562749,289068.67
2012-01-06,6,1.765599,3.5620979,0.04612674,1.1502786,0.19211821,0.03675,100.67083,323.59938,309.5604,16.948377,2.8524448,3.9567272,-8.4847291,-9999,28.892271,35.400458,2.9235,0.10148,0.056953333,0,0.16830194,11.648133,0.0042755604,286979.08
2012-01-07,7,2.7238583,3.8546417,0,1.6021586,0.37799075,0.0945,100.88354,328.05104,322.87552,10.099188,1.7098691,0.454638,-9.19587,-9999,28.575333,34.826625,4.1212,1.4731,3.213798,0,0.16930758,-1.110223e-13,0.0045947094,288740
2012-01-08,8,4.9442708,4.9915188,-9999,1.8803839,0.4502755,0.275625,100.5075,339.02846,338.22335,6.6236127,0.83768479,0.073481798,-8.5065148,-9999,31.232083,37.028833,6.084,4.0648,4.9808237,0,0.12646947,-9999,0.0053940622,292969.9
2012-01-09,9,6.0324158,5.5502938,1.6572822,2.0841668,0.49988887,0.08925,100.40881,341.72246,286.89319,26.995579,4.2812996,23.906332,-48.845415,-9999,30.280083,36.805354,10.239,0.3425,-32.114991,0,0.15859262,348.20356,0.0049129991,292860.83
2012-01-10,10,0.14148729,2.0770063,1.6972914,1.8215958,0.22860215,0.0105,101.43604,311.82923,207.87029,79.034458,10.527544,12.010284,-3.7115038,-9999,28.798063,35.381625,4.0545,-3.3142,-35.452023,1.2,0.13320195,544.35635,0.0028471713,281775.87
