time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,1.715625,1.330275,-9999,4.4090396,-9999,-9999,97.764,322.01458,312.86938,13.448195,2.6727346,-9999,-9999,-2.2573,21.629896,21.629896,3.744,0.215,1.6302529,-9999,0.19874299,88.830824,0.0041936774,286724.15
2012-01-02,2,-4.3684583,1.3286854,-9999,4.7834542,1.064862,-9999,98.002583,294.87896,269.44958,64.733254,11.636896,11.902463,49.130153,-2.231375,22.122396,22.122396,0.479,-12.49,27.666984,0.19501807,0.17976689,329.5262,0.0023036021,275884.45
2012-01-03,3,-17.044583,1.3445,-9999,2.5203435,0.4354681,-9999,99.447229,242.25188,196.35667,105.77297,21.80304,3.8650164,50.2169,-2.2100792,20.723187,20.723187,-12.64,-19.99,38.074717,0.071465966,0.20613055,325.86161,0.00081104053,259413.55
2012-01-04,4,-7.1751458,1.2403646,-9999,3.2401438,0.47608942,-9999,98.657854,283.15104,270.26771,30.874719,7.0079977,2.39848,-22.843348,-2.5571125,20.004812,20.004812,-1.771,-16.56,10.983389,0,0.22698175,305.21602,0.0018666626,271971.38
2012-01-05,5,-2.1066042,1.2458854,-9999,2.539825,0.44725361,-9999,98.358063,304.42417,292.37354,12.987234,2.8802925,1.8130096,-21.953684,-2.1359583,19.517021,19.517021,-0.907,-3.42,-1.9436835,0,0.22177875,255.97753,0.002851296,279526.85
2012-01-06,6,1.6328333,1.2857729,-9999,3.0142356,0.35562669,-9999,97.603709,322.27167,288.05521,43.317891,8.7017417,1.2236727,-22.156267,-1.9938396,19.266687,19.266687,5.843,-1.658,0.39969229,0,0.20088101,400.83845,0.0034844779,284867.94
2012-01-07,7,1.7614792,1.3032438,-9999,3.3646969,0.64017383,-9999,98.244292,322.56604,290.47958,64.000577,10.976154,9.2957409,4.1376061,-2.0777667,19.586833,19.586833,5.77,-1.6,20.937963,0.69198993,0.17150086,423.75088,0.0034480654,284906.2
2012-01-08,8,-4.0744167,1.3023167,-9999,2.224104,0.46162292,-9999,99.770708,296.27646,256.49958,87.534195,15.173846,12.006224,46.200824,-2.08355,19.918833,19.918833,-0.897,-8.9,32.583474,0.20626753,0.17334764,384.76824,0.0022373548,276014.35
2012-01-09,9,0.617125,1.2949745,-9999,3.963575,0.69817891,-9999,98.920396,314.75125,273.82104,55.778475,11.893453,3.0837517,-13.54665,-2.05555,19.654875,19.654875,3.296,-3.248,2.9548135,0,0.21322656,487.22561,0.0030295734,282709.89
2012-01-10,10,1.2647292,1.3056396,-9999,2.6835237,0.51171734,-9999,98.625292,319.66646,304.79396,32.554343,6.1116365,7.4383051,-8.1987705,-2.059475,19.5895,19.5895,2.738,-0.392,11.570206,0,0.18773644,409.59196,0.003338524,284133.11
