time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-3.338,7.638,294.583,0.255,95.712,3.889,3.653,0.43893617,3.0978958,1.5642917,297.5591,-0.34,41.037,-9999,-3.98671,0.417177,-7.43965,-1.0515,-7.369,0,0.83001064,91.563253,0.0029465923,278527.54
2012-01-02,2,-15.645,33.438,210.61,0.433,96.654,1.602,6.412,1.0317234,-8.0484583,5.7274375,246.37048,-0.269,40.444,-9999,-4.4531,6.77685,8.25402,-8.1645,-22.437,0.45086213,0.85376296,404.82989,0.00089090693,261019.79
2012-01-03,3,-20.893,68.93,178.967,0.356,97.603,1.132,3.627,0.50331915,10.478375,11.840417,225.57902,-0.473,40.356,-9999,-4.03404,2.71129,7.7388,-13.2785,-25.478,0.25945135,0.85340652,515.83112,0.00051504741,254805.9
2012-01-04,4,-8.464,8.875,268.749,0.372,96.38,1.53,3.745,-9999,0.5889375,1.9731875,275.06231,-0.403,40.047,-9999,-3.59092,0.624404,-7.36942,-5.952,-12.257,0,0.81810902,194.77132,0.0018495433,270633.29
2012-01-05,5,-13.103,42.438,226.798,0.39,96.59,2.207,2.612,0.37360465,0.97495833,13.748396,257.00058,-0.303,-9999,-9999,-3.85681,2.89888,10.1995,-8.2165,-17.8225,0.22131592,0.75530739,292.37138,0.0011905422,264323.59
2012-01-06,6,-6.829,9.178,290.392,0.221,95.569,1.227,1.872,0.1996383,13.384708,1.8314375,284.35502,-0.262,40.004,-9999,-3.53837,0.348996,-0.131894,-3.221,-10.269,1.2,0.8336484,100.70121,0.0022483003,273273.36
2012-01-07,7,-12.575,34.945,254.84,0.314,96.76,0,3.028,0.51570455,21.790271,8.1467917,259.8485,-0.221,39.853,-9999,-3.75785,5.56251,16.6739,-8.0775,-15.686,0.25015324,0.81094331,222.01266,0.0013002171,265128.42
2012-01-08,8,-13.658,23.95,247.264,0.274,97.847,0.551,1.993,0.20614894,11.481687,4.9762292,254.7559,-0.303,39.697,-9999,-3.47592,1.15669,0.987864,-8.3325,-17.4815,0.53936156,0.82796827,208.86952,0.0011862785,263755.16
2012-01-09,9,-3.246,19.527,267.81,0.547,96.292,12.73,5.259,0.7378125,-11.885646,3.3523125,295.87115,-0.232,39.65,-9999,-3.20119,3.75275,-29.1421,0.1135,-7.705,0,0.85347844,200.91581,0.0027608752,278155.71
2012-01-10,10,-11.153,21.12,260.485,0.375,97.003,0,3.111,0.46179167,12.774396,2.9039583,265.92765,-0.179,39.61,-9999,-3.47185,4.46,18.2782,-5.787,-13.463,0.19614569,0.8791224,240.54543,0.0014389322,266904.32
2012-01-11,11,-9.686,8.02,273.03,0.231,96.645,1.44,2.834,-9999,7.0571042,1.93425,272.05842,-0.197,39.636,-9999,-3.17863,0.788117,-2.76004,-8.5405,-11.3215,0,0.80568601,129.4109,0.0017450484,269143.94
2012-01-12,12,-9.665,17.028,268.096,0.277,96.002,3.611,2.974,-9999,10.240063,3.6218542,271.26319,-0.177,39.438,-9999,-3.26602,1.9794,-4.86184,-7.2695,-15.4135,0,0.82460631,156.10877,0.0017300389,269127.52
2012-01-13,13,-19.323,46.508,196.764,0.349,96.385,2.99,4.358,-9999,3.5776875,9.7979792,229.89683,-0.229,39.093,-9999,-3.37667,2.83223,11.7355,-15.062,-24.1735,0.19441807,0.82598688,436.42765,0.00063503449,256683.72
2012-01-14,14,-20.802,66.387,174.626,0.334,97.64,0,2.357,0.16151724,4.5085833,13.852375,222.6516,-0.296,38.784,-9999,-3.2039,2.3095,11.8049,-16.3175,-25.3805,0.16362722,0.82736188,474.51295,0.00053475904,254946.64
2012-01-15,15,-12.914,84.826,193.922,0.67,98.108,0,3.812,0.38159574,15.213917,16.084271,250.38485,-0.312,-9999,-9999,-2.93721,5.57274,2.61146,-6.651,-18.949,0.68091444,0.84060819,529.81523,0.0010162628,264077.84
2012-01-16,16,-4.281,8.99,282.39,0.68,96.722,0.372,4.563,0.66406383,-1.7741667,1.4482292,291.7069,-0.234,38.544,-9999,-2.83931,5.05976,-10.882,-3.082,-8.2335,0,0.8612572,272.84176,0.0024312413,276291.45
2012-01-17,17,-14.219,21.99,240.705,0.405,96.9,2.667,4.441,0.64953191,7.5909583,3.529375,251.57425,-0.19,38.668,-9999,-3.23548,3.19883,25.6463,-6.335,-18.973,0.11089671,0.86169822,333.50244,0.0010521275,262855.97
2012-01-18,18,-20.123,35.505,196.682,0.253,97.212,0.673,2.704,0.29389362,-2.4722917,5.3016875,229.3585,-0.267,38.6,-9999,-3.09723,1.09668,1.13633,-10.4845,-25.164,0.49112185,0.87007797,325.71559,0.00063441504,255878.17
2012-01-19,19,-14.921,30.655,215.58,0.422,96.081,1.101,4.923,0.6387234,-7.1173333,5.58225,247.7705,-0.273,38.586,-9999,-3.1836,5.22653,4.46634,-6.592,-25.675,0.53921388,0.84595271,369.97366,0.00097592095,261959.95
2012-01-20,20,-20.686,81.291,176.477,0.292,97.433,0.971,2.641,0.21661702,20.647646,13.47175,223.64831,-0.328,38.152,-9999,-2.90652,3.07356,12.8989,-13.9595,-28.4585,0.19242872,0.85783707,402.14006,0.00057030219,255152.08
2012-01-21,21,-16.963,85.921,183.549,0.481,97.811,0,2.003,0.19121277,18.679958,14.549417,236.24152,-0.333,38.108,-9999,-3.16377,4.78617,26.4081,-15.0405,-19.639,0.15343106,0.85518706,512.80224,0.00072949533,259291.67
2012-01-22,22,-8.719,16.174,263.648,0.59,97.479,1.244,4.048,0.40785106,5.8883958,2.6519583,271.28265,-0.322,38.12,-9999,-2.72083,1.84773,-10.3092,-4.2765,-15.0705,0,0.85913289,326.01806,0.0016485522,269874.54
2012-01-23,23,-1.352,10.825,309.981,0.259,95.692,9.502,3.135,0.42691176,11.653979,1.7446383,307.38419,-0.161,37.956,-9999,-2.62742,2.75793,-2.78647,2.273,-4.3485,0,0.86120219,81.374757,0.0034383963,281752.98
2012-01-24,24,-11.317,33.195,250.539,0.491,96.73,0,4.746,0.65945833,14.804875,4.2538542,264.67558,-0.086,38.04,-9999,-3.12754,3.75634,34.4729,1.9245,-16.2145,0.098258297,0.88640896,326.46702,0.0013463734,266508.1
2012-01-25,25,-11.276,76.975,216.461,0.511,98.025,0,2.504,0.20941667,23.850896,8.486125,261.09954,-0.108,37.948,-9999,-2.76333,4.08354,13.9576,-4.5285,-17.3905,0.22634601,0.90070193,340.05482,0.0013212411,266486.47
2012-01-26,26,-3.09,18.519,291.057,0.581,96.809,0.533,4.813,0.66077083,9.9112083,2.4033125,297.26179,-0.077,37.985,-9999,-2.60182,2.31741,2.46956,-0.637,-5.9245,0.4841079,0.8851316,211.80087,0.0027604619,278311.45
2012-01-27,27,-2.629,29.23,268.557,0.637,95.925,1.067,3.768,0.47316667,-5.6348333,4.77075,298.65196,-0.069,37.981,-9999,-2.70181,6.63444,-8.9301,-0.8345,-5.126,0,0.85968692,226.04552,0.0028599296,279023.43
2012-01-28,28,-4.158,37.552,262.187,0.806,95.923,1.747,3.241,0.42825,3.0580625,4.54775,292.1335,-0.071,37.927,-9999,-2.60237,6.88506,-1.94491,-3.0205,-7.944,1.2,0.89197679,325.1807,0.0023964838,276328.17
2012-01-29,29,-13.589,81.318,187.468,0.641,96.686,0.598,3.655,0.41441667,7.6422917,10.868917,250.27583,-0.111,37.979,-9999,-2.84157,4.9359,28.2459,-9.741,-16.4825,0.14875323,0.88209914,533.31417,0.0009718858,263288.52
2012-01-30,30,-14.79,75.867,185.891,0.514,97.404,0,2.908,0.23883333,7.6663333,9.546375,244.54477,-0.167,37.906,-9999,-2.5639,3.56391,21.4106,-9.045,-20.8685,0.1427019,0.88823325,457.65178,0.00091720689,261944.82
2012-01-31,31,-7.278,27.28,275.345,0.327,96.687,5.175,2.769,0.30566667,18.614833,3.70875,280.30133,-0.158,37.803,-9999,-2.47185,1.18067,3.08298,-3.879,-10.6955,0.27691532,0.88031947,156.01034,0.0020734821,272385.07
2012-02-01,32,-7.131,45.288,266.781,0.404,97.06,3.011,2.503,0.35933333,21.584375,9.5113958,280.97312,-0.138,37.73,-9999,-2.47577,6.06946,12.9105,-6.128,-7.925,0.31978255,0.82643247,192.71718,0.0020419886,272454.07
2012-02-02,33,-6.756,34.596,269.619,0.375,98.032,0.724,2.121,0.282625,15.847625,6.4388958,281.92852,-0.118,37.709,-9999,-2.37746,2.79584,3.58385,-3.2835,-9.1135,0.43824073,0.84308731,173.41081,0.0021068983,272993.22
2012-02-03,34,-6.599,49.484,262.076,0.408,98.506,0.583,2.589,0.34410638,20.550958,9.6053542,281.40427,-0.098,37.694,-9999,-2.56183,5.83569,19.7008,-2.415,-10.644,0.22852358,0.83744358,187.35291,0.0021041727,273144.19
2012-02-04,35,-6.125,17.143,281.871,0.279,98.052,0.205,1.784,0.20119149,10.428812,2.793875,285.79127,-0.096,37.639,-9999,-2.24579,0.324162,-0.482263,-3.5185,-9.7895,0,0.85986395,121.84823,0.0022837447,274069.49
2012-02-05,36,-4.186,53.234,267.641,0.564,97.412,0.123,4.365,0.63538298,18.402062,9.5508333,292.92304,-0.079,37.619,-9999,-2.35129,6.63994,1.44416,-0.734,-7.618,0.82135797,0.84787993,221.84372,0.0025087298,276580.64
