time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,3.894,17.17,301.258,1.18,98.244,3.533,3.509,0.63816667,-20.330833,-9999,-9999,2.676,12.929,-9999,-1.04675,9.5426,-36.9479,6.929,0.125,0,-9999,278.48417,0.0043749443,289366.58
2012-01-02,2,-2.531,41.858,267.755,1.096,98.45,1.981,3.36,0.66408333,9.2090208,-9999,-9999,1.157,12.617,-9999,-5.1026,12.901,3.59377,0.279,-7.028,0.7821267,-9999,404.75585,0.0025188179,278269.14
2012-01-03,3,-12.541,73.388,201.782,0.671,99.619,0.216,1.961,0.27039583,7.1296875,-9999,-9999,0.246,12.202,-9999,-5.11102,4.12992,8.72896,-8.0295,-16.885,0.32117261,-9999,513.9732,0.0010436674,264521.21
2012-01-04,4,-2.836,79.27,238.618,1.364,98.992,0,2.44,0.45425,6.8367917,-9999,-9999,-0.174,11.694,-9999,-4.07246,5.4541,-0.857063,-0.186,-13.095,1.1864381,-9999,531.17097,0.0022645448,277326.93
2012-01-05,5,0.578,43.851,272.772,1.462,98.675,0.216,1.888,0.362375,4.2512708,-9999,-9999,-0.118,11.5,-9999,-3.30202,3.21625,-2.67512,2.7235,-1.146,1.2,-9999,444.43403,0.0031016071,282850.66
2012-01-06,6,5.457,94.218,274.383,2.076,98.025,0,2.858,0.51745833,17.636688,-9999,-9999,0.646,11.777,-9999,0.349083,3.22215,-4.79644,7.9415,3.6505,0,-9999,464.94089,0.0044072492,291018.16
2012-01-07,7,4.317,94.075,270.342,2.068,98.525,0,2.223,0.42675,20.152708,-9999,-9999,1.681,12.369,-9999,-0.141042,6.89471,6.61553,7.5845,0.956,0.51033216,-9999,501.93076,0.0039533134,288737.62
2012-01-08,8,-0.748,55.13,240.663,2.015,99.985,0,1.401,0.23947917,4.7406458,-9999,-9999,0.826,12.21,-9999,-3.76165,5.82457,7.09178,1.8485,-3.729,0.45094551,-9999,715.29951,0.0023505833,279640.47
2012-01-09,9,1.454,84.518,243.414,1.746,99.344,0,2.138,0.35689583,8.5701875,-9999,-9999,-0.112,11.852,-9999,-3.58048,4.0835,7.32835,3.907,-2.0005,0.3578298,-9999,509.72321,0.0031628301,283884.1
2012-01-10,10,1.492,89.573,247.019,1.562,98.912,0,1.402,0.25327083,12.362104,-9999,-9999,0.029,11.689,-9999,-2.29502,2.89327,9.61004,6.4135,-3.9515,0.23140033,-9999,447.94389,0.0033045247,284276.52
2012-01-11,11,2.177,82.992,251.699,1.39,98.369,2.552,0.904,0.18029167,17.03325,-9999,-9999,-0.125,11.599,-9999,-2.40154,7.85015,10.4044,8.275,-3.78,0.43003799,-9999,374.55463,0.0036489292,285825.96
2012-01-12,12,3.835,11.805,324.132,0.311,97.867,10.49,1.859,0.35310417,0.73747917,-9999,-9999,2.095,13.731,-9999,1.90781,2.96789,-8.28568,4.6955,1.4215,0,-9999,69.966694,0.004925913,290684.71
2012-01-13,13,-4.565,31.268,287.742,0.396,96.904,6.8,3.536,0.663875,2.0959167,-9999,-9999,1.069,14.103,-9999,-4.52267,9.1841,-4.89365,-0.539,-7.584,1.2,-9999,157.06541,0.002548844,276300.04
