time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,3.711,16.444,315.699,1.341,100.305,7.019,5.572,1.415037,-9999,-9999,-9999,2.006,22.8,-9999,-1.82228,30.1494,-15.7981,-9999,-9999,1.2,-9999,323.72982,0.0041201121,288545.59
2012-01-02,2,-2.1,40.088,286.684,1.598,100.593,2.162,6.022,1.0356458,-9999,-9999,-9999,1.823,22.539,-9999,-4.86924,21.5298,17.6341,-9999,-9999,0.54973585,-9999,603.40917,0.0022557602,278044.65
2012-01-03,3,-10.349,70.285,229.549,1.22,101.794,0.425,3.614,0.45204167,-9999,-9999,-9999,1.292,22.524,-9999,-5.11853,8.41117,39.0946,-9999,-9999,0.17705576,-9999,880.70908,0.00095969225,266514.24
2012-01-04,4,-1.799,75.917,260.071,1.92,101.151,0,4.032,0.7846383,-9999,-9999,-9999,1.468,22.466,-9999,-4.84014,6.87821,-2.26123,3.394,3.262,1.2,-9999,734.60318,0.0021172982,278001
2012-01-05,5,3.064,42.413,290.486,2.153,100.887,0.073,3.629,0.62202083,8.2498478,8.7163404,316.12679,1.718,22.182,-9999,-4.53845,4.67008,-6.87321,3.9375,1.193,0,0.82952371,576.13207,0.0033730591,286027.72
2012-01-06,6,6.389,96.863,282.956,2.663,100.448,0,5.842,0.90379167,27.320875,14.802708,336.17094,1.573,22.831,-9999,-1.17998,5.38848,-4.50231,8.505,4.5465,1.2,0.8674373,578.30592,0.0043084029,291707.7
2012-01-07,7,5.473,100.722,286.474,2.806,100.99,0,3.706,0.6631875,36.585229,16.139708,333.29863,2.656,22.9,-9999,-0.121813,10.1035,21.1167,8.125,1.893,0.3236206,0.86189053,657.50027,0.003831884,289595.83
2012-01-08,8,0.829,56.762,270.242,2.925,102.412,0.06,2.345,0.39160417,4.6059583,9.0651042,311.95327,2.119,22.329,-9999,-6.1559,6.87214,15.5228,2.563,-0.818,0.30686128,0.86228918,1004.9054,0.0021678416,280768.5
2012-01-09,9,2.981,89.327,265.484,2.535,101.752,0.364,4.258,0.6448125,18.292521,14.867188,320.08069,1.397,21.933,-9999,-5.42283,7.07925,7.98171,4.7265,0.867,0.47003976,0.8573127,703.49481,0.003082528,285217.97
2012-01-10,10,3.676,94.388,257.888,2.27,101.337,0.176,3.008,0.4228125,11.472479,15.471063,323.07873,1.863,21.635,-9999,-3.2634,4.44004,14.8525,7.1145,1.6025,0.23014284,0.85917354,585.55652,0.003493114,286942.92
2012-01-11,11,4.745,85.718,286.434,2.086,100.72,0.806,3.379,0.37758333,23.403532,13.553979,329.04068,1.764,21.398,-9999,-2.40242,5.3246,-0.698667,8.33,2.3675,1.1510327,0.86346622,491.61895,0.0040125704,289315.9
2012-01-12,12,4.758,9.566,331.198,0.629,99.425,8.703,4.223,0.64666667,6.6224167,0.48155,333.13496,3.237,24.294,-9999,1.75223,1.6769,-12.8767,5.6095,2.2385,0,0.95207289,135.80142,0.0049863723,291763.47
2012-01-13,13,-3.827,28.366,284.156,0.564,100.004,3.162,6.287,1.1289167,9.1694894,7.1847917,295.99144,2.418,24.181,-9999,-6.90129,15.477,6.05831,0.0845,-6.597,0.71868016,0.79790066,216.23724,0.0025200175,276969.66
2012-01-14,14,-7.472,77.734,237.96,0.941,101.669,0.385,3.431,0.58902083,18.948792,17.766729,277.69825,1.866,23.29,-9999,-5.39085,9.29029,26.5249,-4.5125,-13.715,0.25939525,0.81396237,499.34545,0.0015630029,270913.9
2012-01-15,15,-9.411,116.45,207.565,1.112,102.879,0,2.52,0.27427083,30.445375,25.404792,266.54256,1.346,22.706,-9999,-6.6465,2.10925,14.8077,-3.448,-15.89,0.12468264,0.82090988,717.993,0.0011445568,267919.09
2012-01-16,16,1.273,80.409,277.816,1.939,101.704,1.516,4.471,0.8624375,26.154833,17.375625,313.71544,0.981,22.44,-9999,-5.65077,3.89854,-12.269,5.2605,-3.501,0,0.82230719,583.31153,0.0029170667,283087.78
2012-01-17,17,5.041,17.504,328.312,1.073,100.192,13.555,5.17,0.93127083,12.910457,1.6343571,334.11861,1.507,26.324,-9999,-0.670646,-0.432276,-10.396,9.55,-1.0795,0.039921036,0.91460306,233.1203,0.0047775465,291525.82
2012-01-18,18,-3.944,54.774,263.33,1.866,101.827,0.366,3.827,0.77295833,13.908021,8.0250625,295.23646,0.929,24.615,-9999,-7.27979,17.6849,27.3303,-1.469,-5.616,0.39286508,0.87221047,850.2686,0.0016528832,274684.24
2012-01-19,19,-4.57,22.007,249.047,1.081,101.106,3.593,5.639,1.0523958,-27.040542,6.1153542,290.35229,0.416,22.894,-9999,-6.08771,14.865,-25.3402,-1.536,-11.325,0,0.78254473,465.30325,0.0020191898,274970.87
2012-01-20,20,-9.629,79.816,227.61,0.696,102.133,1.047,2.294,0.34175,20.67875,17.974812,267.56425,0.353,21.998,-9999,-5.53665,4.71325,7.57073,-7.187,-13.195,0.38369079,0.81619119,420.99159,0.0013755374,268277.45
2012-01-21,21,-6.045,130.576,229.387,1.311,102.033,0.793,2.863,0.373625,48.946479,28.535875,281.38696,0.328,21.333,-9999,-5.20077,6.18181,27.0291,-2.5605,-9.28,0.18613793,0.82065528,656.7341,0.0015784636,272386.68
