time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,6.556,50.096,317.112,0.527,97.362,0,0.915,0.10375267,15.521285,8.6091667,331.23992,5.103,57.478,47.787,-9999,8.31699,-2.51988,11.2485,2.377,1.2,0.85334908,101.00192,0.0058899022,295829.29
2012-01-02,2,4.481,14.241,323.333,0.715,97.057,5.268,1.126,0.12976378,3.7094271,0.97041667,321.01098,5.11,56.627,47.666,-9999,11.9168,-14.844,8.897,1.615,0,0.93620471,157.90502,0.0049469408,291386.51
2012-01-03,3,3.928,70.654,272.503,1.715,97.778,0,1.279,0.13039038,1.6300771,14.324583,314.87746,4.924,56.251,47.605,-9999,18.789,-13.9948,8.5805,-1.685,1.2,0.83143302,417.94277,0.0040661154,288628.68
2012-01-04,4,4.742,45.932,316.367,0.524,97.602,9.746,2.251,0.23162138,11.848037,8.335625,320.3965,5.045,56.968,47.615,-9999,19.8188,-20.1128,6.7645,1.35,0,0.84639783,112.59996,0.0051409863,292133.93
2012-01-05,5,5.608,13.089,329.568,0.455,96.302,15.541,4.401,0.40814607,6.4277562,0.42958333,322.885,4.995,57.638,47.846,-9999,27.674,-47.7849,8.122,3.368,0,0.96822276,92.21971,0.0056013392,294155.14
2012-01-06,6,2.85,12.607,305.007,0,97.321,1.712,1.986,0.21877159,-7.4404917,0.88291667,311.87496,4.64,58.058,48.106,-9999,12.4985,-23.774,3.884,1.7605,0,0.93454988,0,0.0048063284,289395.82
2012-01-07,7,2.435,11.868,300.995,0.079,97.861,2.239,1.571,0.1511113,-9.7599021,0.51875,309.96175,4.189,57.497,47.806,-9999,10.7236,-16.5723,6.1245,-2.0965,0,0.95812057,19.1591,0.0045900313,288438
2012-01-08,8,4.662,12.973,329.989,0,97.806,1.317,2.124,0.18608719,9.1844063,1.0270833,320.80048,4.718,57.883,47.676,-9999,11.8516,-19.2544,5.6445,3.878,0,0.92663734,1.110223e-13,0.0054350642,292788.72
2012-01-09,9,3.551,34.713,307.608,0.086,98.449,0,0.985,0.11647212,6.5194229,5.0477083,319.33796,4.862,57.53,47.538,-9999,11.4278,-4.40052,6.088,0.594,1.2,0.87304783,19.447681,0.0049385564,290430.9
2012-01-10,10,3.417,68.124,289.809,0.001,98.758,0.263,0.774,0.097045202,-4.2728289,13.985833,318.13904,5.25,57.554,47.368,-9999,13.765,1.87159,8.2015,-1.882,0.88030702,0.8296692,0.22694474,0.0049299514,290274.71
2012-01-11,11,1.501,19.58,316.349,0.311,98.85,0.132,0.821,0.087420017,8.5607312,1.4710417,314.95562,4.749,58.003,46.888,-9999,7.48384,-0.371493,3.2535,-1.5245,1.0522321,0.93012024,81.288257,0.0041000996,286274.5
