time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,5.479,17.419,342.806,0.015,93.437,1.83,5.419,0.88345995,-9999,-9999,-9999,5.656,26.764,25.149,-9999,23.4895,-13.5489,7.0305,4.0065,1.2,-9999,2.9981599,0.0060143533,295058.03
2012-01-02,2,3.935,10.779,318.303,0.346,93.112,7.969,4.518,0.68553175,-9999,-9999,-9999,5.574,26.89,24.691,-9999,20.6641,-24.2948,5.6415,1.535,0,-9999,77.501513,0.0051928553,291452.56
2012-01-03,3,1.565,62.92,272.843,1.235,93.761,0.601,6.068,0.98608618,-9999,-9999,-9999,4.063,27.225,24.66,-9999,40.2685,52.6433,3.634,-0.272,0.43340566,-9999,343.4208,0.0037281197,285408.87
2012-01-04,4,1.625,44.337,289.236,1.057,93.57,11.113,6.521,1.1327723,-9999,-9999,-9999,4.14,27.396,24.767,-9999,36.8105,45.875,3.7695,-0.0825,0.44518688,-9999,288.81508,0.0038742981,285834.62
2012-01-05,5,0.068,2.191,310.343,0.434,92.229,24.223,7.854,1.3217898,-9999,-9999,-9999,2.686,27.472,24.854,-9999,25.6582,18.7862,1.59,-1.0815,0.57731008,-9999,125.77555,0.0038587023,284230.85
2012-01-06,6,-1.405,19.807,305.133,0.042,93.283,14.001,4.399,0.82892645,-9999,-9999,-9999,2.48,27.175,24.766,-9999,35.688,-8.58182,-0.8295,-2.262,1.2,-9999,13.008283,0.003658309,282249.5
2012-01-07,7,-1.195,8.263,293.378,0.193,93.773,7.382,6.093,0.98286686,-9999,-9999,-9999,2.692,27.25,24.375,-9999,31.9815,21.6621,1.13,-2.857,0.59618482,-9999,59.683471,0.0035955966,282303.77
2012-01-08,8,0.55,6.439,316.837,0.128,93.777,9.559,4.467,0.70199303,-9999,-9999,-9999,2.917,28.051,25.214,-9999,35.8192,-29.8651,1.287,-0.194,1.2,-9999,35.137512,0.0041441446,285428.86
2012-01-09,9,0.281,26.686,311.142,0.094,94.412,2.638,3.217,0.44715696,-9999,-9999,-9999,3.315,27.491,24.621,-9999,22.7278,-3.46411,1.3835,-0.5175,1.1798259,-9999,26.193449,0.004057582,284942.11
2012-01-10,10,2.085,39.451,284.612,0.501,94.744,1.528,2.81,0.40820116,-9999,-9999,-9999,4.054,27.061,24.07,-9999,17.2584,-11.8212,4.272,0.6675,1.2,-9999,127.66195,0.0043445454,287472.54
2012-01-11,11,-0.833,18.867,305.62,0.044,94.778,0.001,1.17,0.28888251,-9999,-9999,-9999,2.933,26.849,23.84,-9999,19.9783,3.67908,1.2055,-2.2265,0.84448489,-9999,13.130641,0.0037547317,283065.41
2012-01-12,12,-2.21,33.244,290.142,0.071,94.315,0,3.06,0.54698362,-9999,-9999,-9999,2.419,26.695,23.649,-9999,5.23214,31.512,-0.782,-2.9515,0.14239386,-9999,23.241428,0.0033886559,280766.34
2012-01-13,13,-1.11,49.414,266.959,0.245,94.129,1.827,2.643,0.47921181,-9999,-9999,-9999,2.649,26.649,23.531,-9999,20.4761,22.2218,0.7095,-2.5765,0.47955754,-9999,75.658291,0.0035706805,282326.9
2012-01-14,14,-1.974,88.519,191.166,1.686,93.896,0.215,2.734,0.53276349,-9999,-9999,-9999,1.432,26.575,23.427,-9999,26.8599,29.9094,-0.1315,-3.689,0.47314129,-9999,636.66595,0.0023909491,278509.25
2012-01-15,15,-3.957,90.65,187.954,0.774,93.504,0,2.478,0.7258221,-9999,-9999,-9999,0.647,26.387,23.257,-9999,9.27314,51.906,-0.952,-5.698,0.15157356,-9999,306.56132,0.0025255245,276852.78
2012-01-16,16,-4.894,90.132,186.212,0.908,93.603,0,2.666,0.72560314,-9999,-9999,-9999,0.092,26.244,23.086,-9999,8.76016,52.5022,-1.488,-6.96,0.14299416,-9999,391.91303,0.002226365,275163.19
2012-01-17,17,-2.92,86.728,200.648,1.431,94.204,0,0.95,0.17383775,-9999,-9999,-9999,0.356,26.117,22.966,-9999,17.1151,33.3057,-0.2145,-6.191,0.33944523,-9999,565.37642,0.002314994,277368.64
2012-01-18,18,-1.102,87.224,211.886,1.821,94.437,0,2.389,0.31015891,-9999,-9999,-9999,0.77,26.06,22.879,-9999,11.441,40.4291,0.382,-2.3125,0.22057023,-9999,651.21561,0.0025193388,279706.59
2012-01-19,19,2.026,8.704,325.436,1.001,94.027,8.866,7.683,1.1854679,-9999,-9999,-9999,2.544,26.132,22.904,-9999,27.5536,13.5804,5.826,-1.8155,0.66984976,-9999,265.00447,0.0040254791,286615.58
2012-01-20,20,0.774,25.43,315.952,0.196,93.341,22.259,6.822,1.1741246,-9999,-9999,-9999,3.372,27.958,24.82,-9999,46.3903,-26.584,3.6725,-1.1145,1.2,-9999,53.283981,0.0041874362,285762.21
2012-01-21,21,1.766,6.48,327.404,0.036,93.148,14.138,8.448,1.326605,-9999,-9999,-9999,3.018,28.385,25.488,-9999,30.4855,-31.2172,4.009,-0.0805,0,-9999,9.0847494,0.00462398,287850.53
2012-01-22,22,3.046,40.752,315.221,0.761,93.068,6.811,7.536,1.243889,-9999,-9999,-9999,4.616,27.905,24.953,-9999,50.8052,32.0326,4.3095,1.2185,0.61330938,-9999,185.11634,0.0045855412,289040.83
2012-01-23,23,2.196,19.174,318.18,0.694,93.297,4.057,4.396,0.75265166,-9999,-9999,-9999,4.211,27.385,24.395,-9999,35.0863,-6.68795,3.046,0.825,1.2,-9999,177.8254,0.0043205752,287524.17
2012-01-24,24,-0.07,45.428,300.01,0.397,93.502,7.632,2.494,0.50249813,-9999,-9999,-9999,3.345,27.934,24.98,-9999,27.1253,-2.24828,1.1895,-1.296,1.0903758,-9999,115.78673,0.0037898708,283920.08
2012-01-25,25,-0.923,26.749,307.197,0.098,93.476,0.065,1.611,0.25782997,-9999,-9999,-9999,2.718,27.214,24.234,-9999,10.9143,-4.94215,-0.249,-1.7495,1.2,-9999,29.542228,0.0037458416,282952.74
