time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,5.782,33.196,360.648,0.036,94.509,3.578,2.283,0.19815405,-9999,-9999,-9999,3.153,35.392,29.965,17.7237,24.8638,-23.8049,8.385,3.477,1.2,-9999,7.0702078,0.0060588557,295473.8
2012-01-02,2,4.934,13.574,346.161,0.08,94.181,13.451,1.847,0.15369704,-9999,-9999,-9999,4.631,35.467,29.955,13.8667,19.8902,-12.1999,7.325,2.5195,1.2,-9999,16.590957,0.0057003318,293725.25
2012-01-03,3,3.649,60.336,307.328,0.762,94.824,1.891,3.723,0.30353769,-9999,-9999,-9999,4.314,35.336,30.245,6.47556,39.2677,-25.0016,5.785,0.5835,1.2,-9999,178.15273,0.0047178891,289977.72
2012-01-04,4,4.345,42.009,313.505,1.12,94.65,22.04,4.811,0.42829213,-9999,-9999,-9999,4.302,35.113,30.387,7.93889,32.8689,-32.9074,6.6375,1.636,0,-9999,255.51212,0.0047527023,290764.23
2012-01-05,5,2.821,8.896,326.567,0.479,93.361,47.701,7.056,0.61528376,-9999,-9999,-9999,3.648,35.47,30.164,4.72514,24.5236,-39.9425,4.8745,0.9855,0,-9999,116.16817,0.0046794854,289049.57
2012-01-06,6,2.369,34.447,333.741,0.872,94.286,17.473,3.25,0.31976231,-9999,-9999,-9999,3.358,35.515,30.069,4.74771,27.2023,-22.3286,3.5705,1.0025,1.2,-9999,223.53646,0.0042159503,287436.47
2012-01-07,7,0.835,12.838,314.016,0.037,94.866,10.686,3.863,0.31346652,-9999,-9999,-9999,2.85,35.408,29.999,2.54236,14.2057,-16.9541,3.036,-0.753,0,-9999,9.9091955,0.0042435074,285963.69
2012-01-08,8,3.285,8.925,344.993,0.145,94.905,11.355,2.652,0.19973449,-9999,-9999,-9999,3.157,35.626,29.944,9.44097,19.0749,-19.1904,4.6445,1.496,0,-9999,33.456431,0.0049880172,290287.22
2012-01-09,9,2.394,33.554,326.282,0.032,95.488,3.718,1.453,0.13259187,-9999,-9999,-9999,3.318,35.278,29.927,9.19521,12.1289,-4.13959,4.4255,0.218,1.2,-9999,7.758418,0.0047213233,288725.03
2012-01-10,10,3.564,72.318,286.879,0.104,95.833,2.103,1.122,0.1165983,-9999,-9999,-9999,3.803,33.765,29.986,11.7376,18.9986,2.11029,8.3,1.0245,0.90002838,-9999,23.522937,0.0050667449,290764.43
2012-01-11,11,1.999,18.801,324.778,0.04,95.884,0,1.428,0.13864969,-9999,-9999,-9999,3.76,28.45,29.987,6.54158,9.81786,-3.82154,2.5915,1.296,1.2,-9999,9.9484908,0.004565082,287937.45
2012-01-12,12,0.744,31.735,290.422,0.025,95.445,0,2.192,0.17398902,-9999,-9999,-9999,3.471,24.963,29.994,2.37635,10.9135,-1.17512,2.4305,-0.5635,1.1206689,-9999,6.7289961,0.0041977487,285757.84
2012-01-13,13,0.926,59.668,277.628,0.345,95.254,2.165,1.428,0.1382444,-9999,-9999,-9999,2.999,24.965,29.962,5.65682,15.9502,0.0853567,6.6675,-2.3835,0.99467704,-9999,93.846988,0.0040520699,285576.55
2012-01-14,14,-1.561,86.659,209.406,0.679,95.043,0.175,2.153,0.19244935,-9999,-9999,-9999,2.44,24.331,29.981,-1.94823,19.8665,-8.87285,2.2925,-4.7885,1.2,-9999,224.44223,0.0031305316,280773.27
2012-01-15,15,-1.584,86.837,208.6,0.641,94.654,0,3.658,0.28302991,-9999,-9999,-9999,1.763,24.066,29.994,0.156302,21.2864,-13.8646,1.448,-4.2295,1.2,-9999,211.49255,0.0031624112,280829.86
2012-01-16,16,-2.95,81.459,205.768,0.603,94.7,0,2.083,0.18650478,-9999,-9999,-9999,1.374,20.682,29.962,-1.47646,12.1576,-2.2773,0.7625,-5.646,1.2,-9999,218.14347,0.0028411528,278653.88
2012-01-17,17,-4.116,82.336,213.045,0.429,95.312,0,0.408,0.075234824,-9999,-9999,-9999,1.025,14.956,29.981,-4.66484,5.33815,5.49069,2.928,-8.555,0.49295677,-9999,165.46234,0.0026679552,277049.06
2012-01-18,18,-2.777,83.128,225.491,0.315,95.587,0,1.25,0.12331378,-9999,-9999,-9999,0.762,10.778,29.994,-2.88484,8.42408,-1.06962,3.5025,-8.275,1.1454383,-9999,109.49109,0.0030443953,279335.85
2012-01-19,19,3.974,24.964,333.314,0.181,95.202,12.628,4.424,0.37526031,-9999,-9999,-9999,0.82,10.719,29.962,6.25224,25.7359,-35.0349,8.03,-0.887,0,-9999,40.070312,0.0052015843,291513.58
2012-01-20,20,3.798,24.546,331.279,0.567,94.487,30.289,5.189,0.48456489,-9999,-9999,-9999,2.159,22.13,29.981,19.5506,29.9234,-29.1621,6.2935,0.6525,1.2,-9999,129.76599,0.0049192804,290630.94
