time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-2.921,14.11,296.963,0.096,91.179,1.4,2.289,-9999,10.314375,3.2616667,297.49708,2,13.014,25.119,-9999,2.57286,21.6517,-0.175,-5.045,0.10620874,0.81224216,33.016897,0.0033055171,279843.94
2012-01-02,2,0.482,44.125,296.556,0.236,91.031,0.2,4.173,0.60332827,21.3825,7.7220833,311.57604,1.987,14.087,25.47,-9999,11.3894,-16.6017,2.195,-0.965,0,0.85106041,65.576643,0.0041738941,285434.9
2012-01-03,3,0.732,19.793,303.882,0.048,91.494,3,3.563,0.59207113,9.6343478,2.1185417,312.66652,1.909,15.615,26.437,-9999,1.26832,1.76925,1.355,-0.39,0.41754429,0.90331389,12.950174,0.0043599703,286151.34
2012-01-04,4,0.483,5.783,303.564,0.2,90.835,7.4,4.289,-9999,-0.92805556,0.585625,311.27444,1.847,16.531,27.143,-9999,1.89786,1.95871,1.645,-0.98,0.49211087,0.9080453,55.425797,0.0042080153,285521.2
2012-01-05,5,-1.76,5.264,296.448,0.138,89.266,1.8,5.019,-9999,-2.7566667,1.6366667,302.8325,1.837,15.588,27.302,-9999,0.912053,22.8051,-0.615,-2.625,0.038455417,0.76282485,44.100182,0.0036566486,281888.57
2012-01-06,6,-2.339,7.603,297.937,0.092,89.532,20.6,2.531,0.91633581,3.1564583,2.0202083,300.36292,1.876,15.366,26.996,-9999,6.46052,47.2749,-1.55,-4.705,0.12022833,0.79006915,30.429347,0.0035209921,280967.54
2012-01-07,7,-3.651,15.508,288.682,0.134,90.78,2,2.612,0.47920457,6.9235417,2.915625,294.34958,1.89,15.369,26.845,-9999,2.54855,-3.61745,-1.945,-5.395,0,0.84174531,48.572156,0.003114214,278632.03
2012-01-08,8,-1.033,21.249,305.799,0.002,90.697,10.2,1.059,0.36697988,15.117708,6.6485417,305.28104,1.876,15.408,26.756,-9999,1.7478,1.64228,-0.235,-1.46,0.51556305,0.76168002,0.60268232,0.0038954751,283216.27
2012-01-09,9,-2.05,10.905,300.921,0.051,91.441,9.2,1.522,0.44316374,7.178125,3.9583333,300.68979,1.866,15.523,26.705,-9999,1.30828,9.4207,-1.11,-3.225,0.1219389,0.73368468,16.491005,0.0035512651,281333.66
2012-01-10,10,-1.275,6.845,304.286,0.026,91.767,24.6,2.23,0.57160288,4.1441667,2.82625,304.16062,1.849,15.651,26.692,-9999,1.20636,11.0561,-0.215,-2.59,0.098378303,0.70776787,7.9743875,0.0037657728,282648.81
2012-01-11,11,-0.904,17.611,306.114,0.015,92.262,2.4,1.433,0.41398203,12.182708,5.7314583,305.81167,1.828,15.78,26.694,-9999,1.62413,-5.03578,0.14,-1.915,0,0.75446209,4.4869503,0.0038568407,283249.33
2012-01-12,12,0.091,11.564,309.301,0,91.618,1.4,3.297,0.53633051,7.5747917,2.793125,310.49646,1.807,15.919,26.706,-9999,0.0370548,-0.95478,0.205,-0.18,0,0.80545374,1.1275703e-13,0.0041875843,285076.17
2012-01-13,13,-2.743,11.119,288.468,0.331,90.678,7,2.21,0.67121178,-0.665625,2.4945833,297.7575,1.79,16.082,26.734,-9999,15.0217,-28.7373,0.325,-4.325,0,0.81675777,114.95878,0.0032071877,279777
2012-01-14,14,-5.266,9.329,282.737,0.272,90.68,9,2.349,0.92165936,1.79625,2.3929167,287.87729,1.783,16.234,26.763,-9999,4.69665,32.5015,-4.1,-6.365,0.12626031,0.79585961,111.75108,0.0026545377,275859.76
