time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-0.867,12.006,306.01,0.006,93.768,3.618,2.034,0.50123092,5.2467099,0.78370527,311.98565,407.176,-9999,-9999,-9999,-9999,-7.16022,-29.2586,0.8045,-1.984,0.19660769,0.93872374,1.7892256,0.0038110792,283172.11
2012-01-02,2,1.104,42.216,303.743,0.321,93.598,1.809,2.42,0.56799212,22.267807,3.8986336,319.79325,413.42,-9999,-9999,-9999,-9999,-2.77212,-10.2225,2.3485,0.0605,0.21332829,0.91545778,86.161114,0.0041962446,286115.88
2012-01-03,3,2.283,46.646,290.853,0.093,94.128,4.221,2.592,0.61915217,8.639882,4.4651271,324.39362,402.124,-9999,-9999,-9999,-9999,21.3514,-56.7409,3.836,1.416,0,0.91263884,22.792578,0.0047112189,288588.21
2012-01-04,4,1.911,13.709,302.858,0.164,93.374,6.03,2.761,0.78853887,-9.5581226,0.95335392,325.17148,398.869,-9999,-9999,-9999,-9999,1.55733,-68.6703,3.042,0.472,0,0.93497948,41.3436,0.0045754594,287874.95
2012-01-05,5,0.221,5.017,307.934,0.163,91.578,6.633,3.416,0.98237531,-5.0421641,0.84314538,317.14921,397.799,-9999,-9999,-9999,-9999,-10.2315,-74.6964,1.744,-0.782,0.12047278,0.85612211,45.826286,0.0041179052,285032.62
2012-01-06,6,-1.097,8.586,302.572,0.07,91.882,0,4.137,1.1560545,-0.50472017,0.80362933,310.85858,397.661,-9999,-9999,-9999,-9999,2.13862,-30.6215,-0.322,-2.0015,0,0.91441309,21.295932,0.0037808508,282865.39
2012-01-07,7,-0.602,20.146,298.659,0.211,93.31,1.206,2.355,0.67924047,3.9725802,1.4006021,313.43173,398.728,-9999,-9999,-9999,-9999,0.239249,-15.4781,0.607,-1.9685,0,0.93499661,62.833805,0.0037676111,283329.77
2012-01-08,8,0.596,32.202,309.039,0.012,93.217,0,2.729,0.75167742,20.458763,2.3305231,318.45156,398.039,-9999,-9999,-9999,-9999,4.05678,-32.0916,1.7525,0.0085,0,0.93251223,3.2577573,0.0042610989,285767.48
2012-01-09,9,0.011,22.239,309.093,0.047,94.068,1.809,2.6,0.65977881,13.527579,1.3816172,316.42208,399.02,-9999,-9999,-9999,-9999,2.72574,-13.6452,0.5485,-0.5705,0,0.941508,13.282011,0.0040233628,284585.21
2012-01-10,10,0.535,13.085,311.653,0.058,94.44,3.015,3.694,0.90443435,5.3155806,0.75625919,318.66644,397.716,-9999,-9999,-9999,-9999,-0.286225,-48.8869,1.4215,-0.502,0.0058207608,0.94536197,15.858559,0.0041567541,285445.31
2012-01-11,11,1.41,21.977,311.006,0.125,95.007,0,2.023,0.56922924,8.5888806,1.2537428,323.14106,399.489,-9999,-9999,-9999,-9999,-0.853575,-14.036,2.457,-0.007,0.057327022,0.94603088,32.457524,0.0043596348,286831.89
2012-01-12,12,2.718,13.742,317.021,0.252,94.27,0.12,2.515,0.76367398,1.0430113,0.63000824,329.08979,398.338,-9999,-9999,-9999,-9999,-4.42577,-29.3721,3.584,1.998,0.13094819,0.95616422,60.664424,0.0047487163,289119.13
2012-01-13,13,-0.608,29.328,284.552,0.792,93.194,1.82,3.25,1.0648333,-1.7877515,2.1504351,313.51675,395.804,-9999,-9999,-9999,-9999,6.26139,-7.31315,1.937,-2.261,0,0.93168545,247.41049,0.0033811344,282357.55
2012-01-14,14,-2.457,24.314,268.503,0.727,93.197,2.41,4.372,1.2253624,-14.631433,1.8090645,305.63929,397.132,-9999,-9999,-9999,-9999,5.36245,16.3307,-1.2065,-3.6155,0.24719554,0.93074838,257.12883,0.0029268154,279363.5
2012-01-15,15,-5.118,35.309,271.412,0.058,93.579,6.87,3.462,0.8040054,10.716219,2.644606,293.36106,399.907,-9999,-9999,-9999,-9999,8.54286,12.1753,-3.724,-5.995,0.41233681,0.93032003,23.036553,0.0027459728,276237.09
2012-01-16,16,-5.498,59.17,265.189,0.215,94.094,1.55,2.573,0.57525734,28.176905,4.9631072,291.2184,402.215,-9999,-9999,-9999,-9999,8.76342,17.3559,-4.2755,-6.36,0.33551486,0.9226124,89.189047,0.0025480124,275360.29
2012-01-17,17,-2.359,7.136,303.225,0,94.118,2.47,3.296,0.84196611,4.0969527,0.83637158,305.42844,404.594,-9999,-9999,-9999,-9999,-3.27613,1.15764,-1.6755,-4.286,1.2,0.89509124,0,0.0034050763,280657.65
2012-01-18,18,-1.423,49.959,271.261,0.536,94.675,0.07,1.769,0.48900472,7.7996065,4.9748723,308.44588,401.859,-9999,-9999,-9999,-9999,16.4812,-31.4502,0.184,-2.029,0,0.90943889,173.26728,0.0032736888,281269.86
2012-01-19,19,-0.107,8.853,309.98,0.219,93.55,5.68,2.312,0.66891657,2.1979076,1.1481923,315.48692,406.102,-9999,-9999,-9999,-9999,-8.13368,-42.5533,3.188,-2.147,0.16046882,0.88519445,63.166143,0.0038959248,284148.03
2012-01-20,20,-0.686,25.802,288.95,0.014,92.8,12.43,2.459,0.71935773,-1.0315317,3.1331105,312.61677,397.664,-9999,-9999,-9999,-9999,-0.22036,-37.1709,1.815,-2.317,0.0058933558,0.89171942,4.1286829,0.0038969559,283568.71
2012-01-21,21,-2.259,52.663,283.491,0.017,92.863,12.09,2.263,0.58362083,24.886037,6.0025669,305.26515,399.427,-9999,-9999,-9999,-9999,5.01503,-9.63752,-0.633,-3.641,0,0.8976816,5.5569399,0.0034654308,280909.03
2012-01-22,22,-0.069,31.589,312.215,0,92.232,14.72,2.616,0.83333521,22.439422,6.0524667,315.31167,397.843,-9999,-9999,-9999,-9999,-11.2536,-55.4592,0.6875,-0.5885,0.16868727,0.83920747,2.6020852e-14,0.004111504,284725.17
2012-01-23,23,0.139,30.561,297.445,0,92.913,3.5,2.297,0.73079229,8.5940381,3.1176363,316.29471,397.682,-9999,-9999,-9999,-9999,-6.30649,-60.0804,1.207,-0.7755,0.094996015,0.90742985,-9.3675068e-14,0.0041435024,285014.2
2012-01-24,24,-1.668,28.279,284.899,0,93.481,0.34,1.985,0.46415422,1.9431405,2.6067444,308.62842,400.287,-9999,-9999,-9999,-9999,0.848994,-2.63195,-0.46,-5.0325,0,0.9156004,1.9428903e-13,0.0036080409,281859.51
2012-01-25,25,-4.681,70.869,261.57,0.106,94.055,0,2.557,0.45254102,30.021512,7.6058235,294.81115,402.446,-9999,-9999,-9999,-9999,12.7049,-11.3747,-2.5985,-6.206,1.2,0.90307944,41.080093,0.0027933902,276794.82
2012-01-26,26,-5.734,63.793,265.924,0.177,94.125,0.05,2.61,0.54598729,36.810074,5.3531509,290.16117,404.957,-9999,-9999,-9999,-9999,11.5792,5.15821,-4.3655,-7.1055,0.69181552,0.92258208,74.31151,0.002524458,275064.23
2012-01-27,27,-7.276,63.209,239.626,0.173,94.587,0,1.566,0.31061712,14.198468,5.2228337,283.41313,408.496,-9999,-9999,-9999,-9999,4.58242,14.1147,-4.1535,-9.1065,0.24508694,0.9236783,80.849435,0.0022214741,272757.06
2012-01-28,28,-5.171,76.602,244.395,0.246,94.958,0,2.613,0.44043516,21.064238,7.232046,292.70035,412.746,-9999,-9999,-9999,-9999,7.39837,-1.30103,-2.588,-7.2285,1.2,0.91373378,100.10841,0.0025714799,275747.59
2012-01-29,29,-5.819,83.85,213.653,0.559,95.082,0,2.84,0.43202982,0.064870833,7.8136417,289.62462,413.961,-9999,-9999,-9999,-9999,6.58281,-3.9759,-2.958,-8.566,1.2,0.91475746,247.29527,0.0022315069,274246.42
2012-01-30,30,-6.587,91.303,198.877,1.501,95.092,0,2.79,0.36466316,-3.9463521,8.5020804,285.62415,407.064,-9999,-9999,-9999,-9999,7.18219,-1.29595,-2.036,-11.1955,1.2,0.91481315,813.73694,0.0014655515,271559.69
2012-01-31,31,-9.657,96.313,193.222,0.746,94.845,0,3.244,0.56163622,6.7441892,8.9654145,273.82535,411.459,-9999,-9999,-9999,-9999,4.6962,4.85853,-5.082,-13.097,0.49150525,0.91484091,456.5735,0.0014442131,268421
2012-02-01,32,-13.552,98.872,178.49,0.587,94.591,0,3.818,0.73970128,10.489736,8.9871875,257.88538,409.666,-9999,-9999,-9999,-9999,1.24126,9.59148,-10.3795,-16.3535,0.11458412,0.91667666,479.71698,0.0010332471,263479.11
2012-02-02,33,-16.759,104.725,164.048,0.418,94.569,0,4.363,0.91986686,13.673548,9.497797,245.60085,406.225,-9999,-9999,-9999,-9999,-0.191492,0.366046,-13.9655,-18.923,0,0.9168485,428.03056,0.00081445945,259709.1
2012-02-03,34,-16.64,97.666,166.547,0.535,94.701,0,3.214,0.63270921,9.0655115,9.1547429,245.99327,407.738,-9999,-9999,-9999,-9999,0.228755,8.44701,-13.1145,-19.6045,0.026367127,0.91429808,564.98496,0.00074729361,259660.78
2012-02-04,35,-15.99,59.627,198.215,0.616,94.722,0,3.603,0.71855411,5.0876825,3.9066223,248.84721,407.195,-9999,-9999,-9999,-9999,-0.794719,-1.3903,-13.9775,-17.6555,0.36371263,0.93851095,631.00994,0.00075508957,260333.52
2012-02-05,36,-15.67,82.151,199.523,0.491,94.694,0,4.173,0.8915739,25.626967,6.3770639,249.67031,407.016,-9999,-9999,-9999,-9999,-1.05454,19.1915,-13.9135,-17.717,0,0.92796562,468.4753,0.00086874604,260939.27
2012-02-06,37,-16.652,89.299,204.221,0.255,94.496,0.7,2.932,0.65565666,40.917854,6.6442965,245.95731,410.311,-9999,-9999,-9999,-9999,-0.302586,28.217,-13.286,-19.744,0,0.93074767,245.47745,0.00093230306,260111.25
2012-02-07,38,-13.781,59.436,235.138,0.14,94.571,1.64,3.931,0.9246963,32.76527,4.7113936,257.09729,414.581,-9999,-9999,-9999,-9999,-3.58786,14.5828,-11.038,-16.611,0,0.92655362,104.488,0.0013016198,263919.89
2012-02-08,39,-11.032,93.681,211.278,0.731,95.07,0,2.565,0.58511267,29.857827,6.9634258,268.13806,408.101,-9999,-9999,-9999,-9999,1.36124,19.3791,-7.667,-12.884,0.065632482,0.93081161,499.69389,0.0012515266,266557.41
2012-02-09,40,-11.686,59.085,240.006,0.257,94.462,0.96,2.208,0.50132763,29.735887,3.7931014,265.56181,414.726,-9999,-9999,-9999,-9999,0.334362,17.5152,-8.8765,-14.3125,0.018732224,0.93967532,167.80301,0.0014835499,266480.19
2012-02-10,41,-14.186,101.054,193.803,0.243,95.009,0.01,4.079,0.94178542,30.795515,8.8655733,255.19633,406.18,-9999,-9999,-9999,-9999,-0.699847,28.9639,-11.961,-15.4185,0,0.91934491,191.6062,0.0011829068,263216.09
2012-02-11,42,-13.72,119.495,183.553,0.547,94.712,0,3.803,0.8467924,35.614997,10.204096,257.2295,407.449,-9999,-9999,-9999,-9999,0.137747,24.8379,-10.142,-16.1045,0.0055152525,0.92132485,448.63878,0.0010389539,263324.53
2012-02-12,43,-11.723,121.736,183.747,0.93,94.416,0,2.459,0.50610281,31.105394,9.7961729,264.5821,409.574,-9999,-9999,-9999,-9999,1.09748,16.3956,-7.4975,-15.036,0.062737951,0.92552261,708.096,0.001035335,265322.47
