time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-1.584,16.671,290.29,0.161,95.323,0.876,3.676,0.74829335,-1.6817755,3.1698477,305.47271,396.761,-9999,31.022,26.992,-9999,-0.688096,-3.72514,0.5005,-2.5795,0.15591643,0.84023628,50.952225,0.0034546396,281560.43
2012-01-02,2,0.813,49.921,296.206,0.245,95.128,0.46,4.671,1.1537861,21.669606,9.9268809,314.53021,398.813,-9999,30.991,26.965,-9999,1.33257,-0.591935,2.227,-0.174,1.2,0.83413146,66.665964,0.0040883391,285553.66
2012-01-03,3,2.641,36.416,296.586,0.202,95.584,1.458,2.869,0.55709003,5.1059984,5.5205469,322.37546,397.499,-9999,31.041,27.001,-9999,-2.29055,-4.4673,4.627,1.178,0.33894656,0.86835953,48.717981,0.0046894682,288893.63
2012-01-04,4,2.134,15.542,295.008,0.312,94.961,6.6,5.64,0.933491,-12.836862,1.3965681,321.98967,391.289,-9999,31.503,27.006,-9999,-9.07369,-22.9075,3.4145,0.851,0.28371959,0.91755099,78.276265,0.0044754232,287848.98
2012-01-05,5,0.272,6.889,302.571,0.324,93.498,13.428,6.376,1.0475338,-6.5780095,1.6007336,314.4371,390.051,-9999,31.806,27.002,-9999,-5.82575,-13.972,1.436,-0.7495,0.29426324,0.81145066,91.868905,0.0039408728,284641.29
2012-01-06,6,-0.021,9.08,299.115,0.325,93.481,1.196,4.449,1.0657358,-6.7784226,1.7980693,313.1756,390.423,-9999,31.758,26.976,-9999,-9.47392,-0.81856,1.292,-1.412,0.92047009,0.83470695,93.960624,0.0038533393,284127.99
2012-01-07,7,-0.644,31.256,292.383,0.453,94.893,4.2,2.656,0.54874157,7.6750819,6.0768875,309.88702,392.11,-9999,31.755,26.955,-9999,-2.10539,2.28387,0.9655,-1.864,0,0.83722428,137.91079,0.0035335142,282702.32
2012-01-08,8,0.375,12.596,312.098,0,94.74,4.6,2.68,0.62272661,9.2205466,2.3963748,313.07623,392.683,-9999,31.776,26.951,-9999,-3.61672,-14.9766,0.9085,-0.438,0.19451717,0.84016042,-1.0408341e-13,0.0041336151,285226.66
2012-01-09,9,0.06,16.337,311.084,0.027,95.511,2,1.975,0.49508349,12.808437,2.7351653,311.87731,393.271,-9999,31.879,26.942,-9999,-4.39815,-0.935867,0.6275,-0.7075,0.82454743,0.85658864,7.5949494,0.0039897725,284550.48
2012-01-10,10,0.504,15.496,313.31,0,95.857,7,2.823,0.65263968,10.934138,2.8782096,314.99342,393.045,-9999,31.949,26.909,-9999,-3.90152,-12.678,1.3745,-0.509,0.23532165,0.843356,1.110223e-13,0.0041237072,285331.54
2012-01-11,11,1.141,18.375,306.371,0.241,96.379,0,2.388,0.5474783,5.1054182,2.8330372,316.80756,393.132,-9999,32.044,26.889,-9999,-4.62275,-12.4555,2.6385,-0.1105,0.27068054,0.86641681,64.175595,0.0041381874,286007.92
2012-01-12,12,2.85,24.154,310.048,0.586,95.805,0.4,3.388,0.60762064,7.6578895,3.4549053,323.08856,391.154,-9999,32.382,26.867,-9999,-4.97793,-18.9711,4.034,1.8995,0.20785518,0.87486265,142.80581,0.0044999841,288629.96
2012-01-13,13,-0.291,33.477,288.788,0.657,94.861,1.977,4.095,0.91654402,3.868374,6.2977296,312.0989,389.178,-9999,32.567,26.896,-9999,-1.98545,2.56137,2.9745,-2.1435,0,0.84166506,198.54604,0.0035004131,282974.33
2012-01-14,14,-2.482,17.57,284.052,0.447,94.898,2.223,3.703,0.98759461,-3.993976,3.6205386,301.99523,390.592,-9999,32.502,26.869,-9999,-2.12445,19.5733,-1.387,-4.098,0,0.82914363,154.16368,0.0030522357,279651.93
2012-01-15,15,-4.578,42.437,265.525,0.396,95.259,0.2,2.671,0.75365058,6.740186,9.0163349,292.20542,392.007,-9999,32.47,26.809,-9999,5.56661,22.3674,-3.533,-5.5645,0.19927715,0.82476675,157.20904,0.0025901313,276390.19
2012-01-16,16,-4.853,33.585,275.108,0.175,95.705,0.2,1.833,0.52235882,11.600577,7.7624276,289.3296,397.284,-9999,32.441,26.768,-9999,3.42242,18.3563,-3.5725,-5.614,0.15714514,0.81226335,69.127258,0.0026637947,276297.97
2012-01-17,17,-3.023,7.442,294.414,0,95.685,7,2.262,0.56496738,1.9013173,1.8806632,298.07346,400.019,-9999,32.426,26.73,-9999,-1.73731,-2.0714,-1.498,-5.1075,0.45614132,0.79826975,-1.110223e-13,0.0031878798,279447.33
2012-01-18,18,-1.32,13.801,287.078,0.272,96.184,0.6,2.152,0.45571577,-6.7548819,3.6534396,303.98046,396.639,-9999,32.412,26.714,-9999,-2.41717,-10.7789,-0.4815,-2.0905,0.18317348,0.79068709,85.36928,0.0034207827,281741.11
2012-01-19,19,0.421,14.014,304.701,0.405,95.235,15.2,3.812,0.69470303,2.4246188,3.292289,312.99788,396.134,-9999,32.407,26.708,-9999,-5.66897,-42.0184,4.0085,-1.3895,0.11887781,0.80976343,114.39644,0.0038600157,284588.89
2012-01-20,20,0.482,27.481,284.605,0.341,94.451,2.8,3.258,-9999,-8.1096452,6.608099,313.5871,393.212,-9999,32.413,26.734,-9999,-2.62676,-11.6775,4.0715,-1.8595,0.18363481,0.80615214,95.479436,0.0039529086,284882.43
2012-01-21,21,-1.705,34.621,287.215,0.191,94.598,7.171,3.686,0.705146,8.2884775,8.3410142,305.49629,392.34,-9999,32.429,26.752,-9999,4.22759,14.6358,-0.8035,-2.2855,0.22411613,0.80585142,61.087894,0.0034295109,281376
2012-01-22,22,0.371,18.586,305.06,0.258,93.98,13.634,4.676,0.8754638,6.2507086,3.8957502,313.49877,391,-9999,32.427,26.731,-9999,-9.57358,-36.6709,1.7095,-1.963,0.20702103,0.82671499,72.327739,0.0039943155,284874.39
2012-01-23,23,1.149,29.41,297.033,0.416,94.553,3.4,3.835,0.78753829,3.8608837,5.6811355,316.90071,390.616,-9999,32.436,26.699,-9999,-7.17775,-32.0989,2.35,0.129,0.18274853,0.8381034,112.07466,0.0041051294,285933.32
2012-01-24,24,-0.765,22.209,301.237,0.108,95,1.6,1.796,0.40253975,9.4706134,4.4690192,309.50615,392.932,-9999,32.463,26.717,-9999,1.08262,-1.22331,0.5385,-3.7635,0,0.83248309,32.247185,0.0037226829,283053.63
2012-01-25,25,-3.525,78.61,250.809,0.621,95.527,0,1.825,0.48458497,16.396229,17.385956,295.63631,398.067,-9999,32.477,26.717,-9999,2.67201,21.4443,-1.0805,-6.214,0.1107968,0.81888866,234.44351,0.0026698763,277647.82
2012-01-26,26,-5.854,28.208,248.846,0.265,95.626,0,1.388,0.40289815,-12.061981,6.9843465,282.13194,403.646,-9999,32.497,26.699,-9999,1.14503,-2.37932,-4.3965,-7.4905,0,0.80153791,113.35638,0.002403678,274641.68
2012-01-27,27,-4.793,90.344,224.041,0.821,96.103,0,1.135,0.27599104,11.176594,19.315549,281.782,402.678,-9999,32.514,26.659,-9999,1.95483,4.5049,-0.6795,-8.5335,0.30261791,0.82385894,347.86371,0.0022459752,275313.72
2012-01-28,28,-3.227,81.654,213.155,1.131,96.403,0,1.233,0.44075216,-12.416278,17.312929,289.91242,401.804,-9999,32.521,26.632,-9999,4.97197,-1.65453,0.059,-5.5805,1.2,0.8250635,441.83362,0.0023841266,277232.93
2012-01-29,29,-2.314,86.414,211.207,2.143,96.512,0,1.2,0.31903127,-11.36881,18.021084,290.96888,396.603,-9999,32.526,26.621,-9999,2.08184,9.68172,1.8605,-4.5455,0.17697364,0.82744224,880.71505,0.0019459848,277055.14
2012-01-30,30,-3.14,92.926,188.81,2.776,96.55,0,0.96,0.19988631,-21.123352,18.838374,284.02137,392.708,-9999,32.527,26.612,-9999,3.00912,13.0168,0.955,-5.607,0.18776582,0.83144563,1360.3151,0.0013385846,274706.51
2012-01-31,31,-4.998,94.231,184.967,1.975,96.39,0,1.061,0.29058233,-16.282915,19.164939,276.31567,395.532,-9999,32.521,26.593,-9999,3.41671,9.58448,-0.623,-7.241,0.26279979,0.83099096,1007.5515,0.0014503187,273118.56
2012-02-01,32,-9.602,91.751,169.654,1.154,96.156,0,0.979,0.32095244,-14.948302,18.228738,258.12454,404.578,-9999,32.527,26.585,-9999,3.60672,20.8847,-6.789,-12.948,0.14726463,0.83425367,765.04615,0.001168445,267786.85
2012-02-02,33,-13.685,101.767,151.925,1.049,96.231,0,1.497,0.4333626,-10.348069,20.813759,243.22648,398.231,-9999,32.563,26.586,-9999,3.86531,7.82397,-8.7285,-17.229,0.33067135,0.83020371,1001.6267,0.0007016626,262516.48
2012-02-03,34,-15.339,99.912,158.518,0.762,96.376,0,1.142,0.32701451,1.954,19.496997,236.97804,403.924,-9999,32.652,26.638,-9999,4.37295,9.9476,-10.607,-18.5125,0.30536188,0.83672087,773.74345,0.00071103938,260877.65
2012-02-04,35,-16.167,43.783,211.846,0.611,96.335,0,1.968,0.55259816,8.4465121,8.6522103,238.53046,406.165,-9999,32.779,26.736,-9999,1.74113,-6.88348,-14.161,-18.234,0,0.83499236,635.12257,0.00072899647,260090.41
2012-02-05,36,-14.568,86.334,189.692,0.571,96.315,0,1.437,0.46141531,14.219773,17.748693,244.0581,401.029,-9999,32.883,26.919,-9999,3.92023,11.4603,-10.069,-16.9205,0.25488263,0.82947508,507.18119,0.00091393631,262159.75
2012-02-06,37,-15.603,64.094,215.022,0.352,96.152,0,1.608,0.45757327,26.539831,11.938674,240.63665,412.225,-9999,32.75,27.028,-9999,3.76169,12.098,-13.375,-18.3165,0.23718559,0.84297969,320.08026,0.00095211936,261215.03
