time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,4.685,17.469,327.012,0.081,96.508,0.2,1.034,0.12751318,8.4463125,3.1020833,332.93333,2.719,-9999,-9999,-9999,1.84168,-9.42844,8.7,0,0,0.84920175,17.060664,0.0054647422,292886.03
2012-01-02,2,7.077,19.355,329.767,0.372,96.239,1,0.999,0.11381675,5.9658333,3.6875,339.46875,3.527,-9999,-9999,-9999,0.840879,-15.0162,10.05,4.85,0,0.83996962,68.529962,0.0062901784,297353.58
2012-01-03,3,4.892,56.144,285.317,1.429,96.869,0.2,1.722,0.22486378,-5.3292354,16.381153,330.40833,3.552,-9999,-9999,-9999,10.2628,-18.942,7.55,1.7,0,0.77413143,320.07527,0.0046536463,291066.33
2012-01-04,4,5.327,18.287,307.896,1.577,96.25,1,2.63,0.33536039,-12.021542,3.9583333,334.24583,3.656,-9999,-9999,-9999,11.2604,-44.3148,7.8,3.25,0,0.82206006,345.95693,0.0047604415,291770.49
2012-01-05,5,3.235,7.253,296.565,1.039,94.634,2.8,3.838,0.50730933,-23.265833,1.1416667,325.94167,2.454,-9999,-9999,-9999,6.82523,-48.1002,4.85,2.2,0,0.86400095,254.05786,0.0043933584,288750.32
2012-01-06,6,2.377,41.745,282.656,1.669,95.164,0,3.646,0.45256969,-8.51925,10.635125,322.28542,1.448,-9999,-9999,-9999,12.2689,-26.2299,4.25,1.75,0,0.79696259,452.71121,0.0036562561,286045.28
2012-01-07,7,1.806,16.285,308.14,0.588,96.295,2,1.82,0.24609627,1.1263958,3.0416667,320.25625,1.513,-9999,-9999,-9999,3.98409,-15.862,3.2,0.5,0,0.84261814,153.50765,0.0041269447,286648.14
2012-01-08,8,2.779,23.578,307.479,0.594,96.27,0.4,2.493,0.32295754,0.88675,4.9625,325.20833,2.175,-9999,-9999,-9999,4.69954,-20.9424,4.2,1.8,0,0.82612428,145.50346,0.0044485279,288429.96
2012-01-09,9,2.258,23.398,310.835,0.452,97.061,1,2.108,0.27135915,6.3273333,4.3979167,323.50833,2.104,-9999,-9999,-9999,4.46216,-12.5244,3.5,0.8,0,0.84177832,113.515,0.0043288981,287607.29
2012-01-10,10,2.915,21.15,293.935,0.742,97.509,3.8,2.341,0.26277241,-11.523563,3.494288,323.11458,2.21,-9999,-9999,-9999,5.51059,-23.2407,4.65,0.2,0,0.85821104,181.84449,0.0043432975,288303.57
2012-01-11,11,3.815,16.445,315.435,1.05,97.932,0,1.29,0.16473275,1.9472233,2.5645833,327.36875,2.198,-9999,-9999,-9999,4.58471,-11.5662,5.9,0.35,0,0.86508998,247.11874,0.0044433757,289458.26
2012-01-12,12,4.715,67.419,293.531,1.276,97.253,0,2.072,0.2741164,8.9794458,18.83125,333.13958,3.096,-9999,-9999,-9999,7.8557,-0.643393,7.7,2.7,1.0892077,0.7816673,286.62875,0.0046652803,290917.53
2012-01-13,13,0.977,20.346,285.7,0.52,96.473,2,3.364,0.40634546,-15.584433,5.4807422,316.15,1.296,-9999,-9999,-9999,5.70235,-32.3047,3.15,-0.6,0,0.78778809,142.7519,0.0039029482,285255.01
2012-01-14,14,0.188,43.967,269.544,1.018,96.608,0,3.288,0.39623467,-13.829756,16.115703,311.225,0.338,-9999,-9999,-9999,9.55591,-26.1927,1.6,-1.1,0,0.73177467,306.53985,0.003340495,283055.93
2012-01-15,15,-1.919,57.718,247.275,1.045,96.905,0,2.439,0.2726671,-16.831292,19.220383,302.60417,0.177,-9999,-9999,-9999,8.2215,-8.53504,-0.3,-3.45,0,0.75018473,366.93192,0.002743147,279445.02
2012-01-16,16,-3.822,77.999,247.401,0.766,97.248,0,1.267,0.14941741,0.6707625,29.256199,295.47292,-0.055,-9999,-9999,-9999,6.54991,12.1141,-1.05,-8.6,0.35093798,0.72722815,300.14191,0.002463058,276832.29
2012-01-17,17,-0.527,20.396,301.067,0.407,97.338,0.4,1.968,0.2446292,1.7039079,9.1083333,310.65,0.033,-9999,-9999,-9999,3.08174,-8.05642,0.4,-1.4,0,0.69128829,122.48084,0.0035061559,282751.5
2012-01-18,18,-0.14,75.457,250.402,1.457,97.664,0,0.983,0.12208076,-4.5879563,26.467423,303.97917,-0.008,-9999,-9999,-9999,7.86899,3.46154,5.45,-5.3,0.69449443,0.74032306,466.76991,0.0029305058,281701.31
2012-01-19,19,2.487,15.727,319.698,0.431,96.607,15.4,1.644,0.21189691,6.7441345,8.9451777,319.73542,0.102,-9999,-9999,-9999,1.12294,-33.1201,5.9,-2.8,0,0.63743866,106.49606,0.0044393573,288113.58
2012-01-20,20,1.269,45.502,282.442,0.437,95.89,3.6,1.86,0.22281323,2.3232292,10.6625,314.95833,0.167,-9999,-9999,-9999,8.22348,-16.6108,3.85,-1.95,0,0.81015588,116.97787,0.0040715476,285969.96
2012-01-21,21,0.688,28.43,293.252,0.506,95.875,3.6,2.065,0.25383334,1.2655625,6.4041667,314.0125,0.152,-9999,-9999,-9999,3.90325,-21.7974,4.85,-0.9,0,0.81615272,141.46367,0.0038483422,284828.05
2012-01-22,22,3.442,18.154,299.36,1.135,95.379,3.4,3.114,0.37323463,-9.0983333,3.2916667,323.32083,0.198,-9999,-9999,-9999,9.64314,-57.3657,4.55,1.85,0,0.84651134,275.381,0.0043704004,288900.96
2012-01-23,23,3.721,54.792,290.06,1.518,96.013,0.2,2.718,0.29666345,5.1339312,14.314583,325.40417,0.2,-9999,-9999,-9999,10.0122,-25.773,5.75,0.95,0,0.79286223,370.45959,0.0041931681,288738.28
2012-01-24,24,0.846,35.838,311.223,0.378,96.43,3,1.586,0.17817274,23.593812,7.3854167,316.08125,0.185,-9999,-9999,-9999,4.51529,-5.84451,2.25,-1.2,0,0.8291339,103.60912,0.0039568023,285257.99
2012-01-25,25,-1.571,54.811,285.71,0.165,96.997,4.2,0.528,0.08339447,-13.221794,51.032813,302.71042,0.158,-9999,-9999,-9999,2.17245,-4.60607,1.55,-4.9,0,0.51784794,52.190595,0.0033956718,281426.07
2012-01-26,26,-5.117,85.325,257.358,0.379,97.079,0,0.457,0.10207628,-6.3251981,63.8479,285.16042,0.092,-9999,-9999,-9999,5.24573,-2.19059,0.2,-12.15,1.2,0.57198727,155.98721,0.0024407102,275474.94
2012-01-27,27,-8.352,58.049,247.419,0.152,97.332,0,0.929,0.10644105,-14.531636,45.780719,274.21875,-0.45,-9999,-9999,-9999,3.63073,-2.10592,-1.5,-13.75,1.2,0.55907885,76.430882,0.0019904952,271098.23
2012-01-28,28,-4.367,35.514,281.333,0.26,97.471,0,1.052,0.10748974,-6.3677083,28.702083,294.5125,-0.44,-9999,-9999,-9999,2.12128,-0.73678,-1.65,-8.1,1.2,0.55303902,100.23154,0.0026629904,276784.39
2012-01-29,29,-3.51,45.603,248.906,0.503,97.586,0,3.136,0.30733591,-32.40925,33.016667,293.90208,-0.881,-9999,-9999,-9999,4.16335,-19.4081,-2.05,-5.9,0,0.58004571,187.37007,0.002692289,277718.92
2012-01-30,30,-3.996,92.329,205.865,1.274,97.656,0,3.483,0.3131149,-45.353827,55.638847,287.90833,-1.581,-9999,-9999,-9999,12.7523,-30.0363,-0.3,-6.65,0,0.62398015,537.41959,0.0020901374,275725.11
2012-01-31,31,-6.308,85.057,192.727,1.009,97.441,0,4.29,0.38389339,-50.61189,48.695514,279.7,-2.867,-9999,-9999,-9999,9.61441,-27.9962,-3.8,-8.1,0,0.63592824,492.92578,0.0017965116,272667.49
2012-02-01,32,-9.004,95.078,189.533,0.946,97.361,0,1.23,0.16351592,-34.243806,52.669305,266.18542,-3.177,-9999,-9999,-9999,9.59056,5.94796,-3.15,-14.55,0.61721194,0.64351766,570.04933,0.0013779945,268911.72
2012-02-02,33,-13.206,93.814,176.144,0.722,97.532,0,1.103,0.11939579,-33.103063,50.077167,252.98333,-4.808,-9999,-9999,-9999,10.2152,18.5523,-6.6,-18.15,0.35509516,0.65197887,593.97956,0.00095514716,263631.59
2012-02-03,34,-15.902,96.475,182.477,0.448,97.726,0,1.061,0.12285875,-25.839948,60.866915,243.925,-6.36,-9999,-9999,-9999,5.37943,24.6194,-9.05,-21.55,0.17932133,0.61315512,430.19383,0.00084715283,260652.12
2012-02-04,35,-15.354,52.837,209.888,0.239,97.887,0,1.663,0.16437641,-25.753298,39.052652,249.425,-6.808,-9999,-9999,-9999,1.86714,15.6299,-10.6,-21.3,0.10671176,0.5750049,206.35703,0.0010312683,261663.15
2012-02-05,36,-12.569,63.813,206.327,0.389,97.785,0,1.738,0.1575271,-26.435125,37.26875,259.30625,-6.569,-9999,-9999,-9999,3.65971,11.0376,-9.25,-16,0.24900543,0.6313009,279.45128,0.0012395176,264982.7
2012-02-06,37,-14.356,87.127,215.492,0.404,97.646,0,1.975,0.19038502,-4.6930854,52.61619,254.69583,-7.515,-9999,-9999,-9999,5.09486,25.9999,-10.85,-19.55,0.16384947,0.6234794,336.34649,0.0010301841,262663.43
