time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,5.756,1.387,346.403,0.262,100.572,3.454,3.112,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.54157,-6.75045,-9999,-9999,1.2,-9999,52.10842,0.0055412905,294153.76
2012-01-02,2,7.354,5.644,327.675,0.457,100.161,5.771,3.519,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.45564,-7.36525,-9999,-9999,1.2,-9999,83.077675,0.0061103499,297182.39
2012-01-03,3,4.595,12.29,302.454,0.778,100.345,9.256,5.227,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.65922,-5.89577,-9999,-9999,1.2,-9999,171.16107,0.004787071,291101.4
2012-01-04,4,4.791,22.327,294.334,1.866,99.643,1.24,6.314,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,14.972,-19.4397,6.115,3.597,0,-9999,432.23489,0.0042113564,289859.1
2012-01-05,5,4.361,10.565,323.031,0.897,97.474,12.428,5.882,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.8475,-15.7284,5.445,3.585,0,-9999,201.7507,0.0047637295,290807.88
2012-01-06,6,2.95,38.83,267.473,1.476,99.85,0.878,4.159,-9999,-9999,10.8544,316.8216,-9999,-9999,-9999,-9999,11.08,-8.65582,4.8815,0.44,1.2,0.78153304,379.02724,0.0037934442,286964.11
2012-01-07,7,4.004,6.489,308.601,1.048,100.243,4.753,4.182,-9999,-5.1907692,1.1726923,325.98731,-9999,-9999,-9999,-9999,8.16688,-19.4092,4.932,1.545,0,0.84694082,243.52544,0.0044088817,289561.97
2012-01-08,8,4.342,10.394,322.631,0.512,100.718,2.344,2.92,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.70471,-7.80371,4.6765,4.6765,1.2,-9999,112.79428,0.0048421069,290984.73
2012-01-09,9,2.887,11.066,324.394,0.442,101.761,3.11,2.228,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.65922,-5.89577,-9999,-9999,1.2,-9999,106.49198,0.0043365018,288258.44
2012-01-10,10,4.895,29.778,301.498,1.515,102.162,0.661,3.859,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.0023,-17.8582,6.315,3.787,0,-9999,341.00889,0.0043603641,290336.14
2012-01-11,11,6.532,7.03,319.319,1.388,102.172,0.822,4.027,-9999,-18.8835,0.50925,339.495,-9999,-9999,-9999,-9999,16.1561,-34.0089,8.27,5.085,0,0.93245349,278.04887,0.0050742859,293766.12
2012-01-12,12,7.259,4.942,320.62,1.916,100.812,2.564,5.809,-9999,-17.366042,0.26458333,342.66292,-9999,-9999,-9999,-9999,10.2315,-35.6954,9.545,4.465,0,0.94918293,375.78662,0.0051231427,294618.9
2012-01-13,13,4.03,25.879,269.821,2.43,100.665,1.32,5.503,-9999,-34.752708,4.698125,325.75521,-9999,-9999,-9999,-9999,16.8607,-28.3585,4.59,3.325,0,0.84635164,617.70082,0.0035415338,287419.73
2012-01-14,14,2.505,51.523,227.292,2.672,101.586,0,4.35,-9999,-48.546458,11.099792,316.26146,-9999,-9999,-9999,-9999,13.7177,-7.65856,3.91,0.64,1.2,0.82275157,778.71672,0.0028489275,284155.59
2012-01-15,15,0.055,35.671,250.826,1.581,102.204,0,2.399,-9999,-29.048958,5.2010417,310.34396,-9999,-9999,-9999,-9999,6.06244,-10.6098,1.505,-1.245,0,0.87274818,504.90467,0.0027770576,281513.67
2012-01-16,16,2.172,10.558,317.659,0.605,102.201,0.643,2.467,-9999,10.024792,0.6225,317.57125,-9999,-9999,-9999,-9999,7.46279,-17.6372,3.715,-0.105,0,0.9443227,154.34508,0.0039901993,286674.11
2012-01-17,17,2.969,13.513,303.79,0.721,102.222,0.538,2.355,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.5569,-9.63862,3.907,3.907,0,-9999,175.8332,0.0041730437,287932.2
2012-01-18,18,1.585,35.683,281.339,1.038,101.977,3.525,3.388,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.65922,-5.89577,-9999,-9999,1.2,-9999,284.00874,0.0035538077,284993.19
2012-01-19,19,3.83,8.686,318.327,0.331,100.547,5.864,4.14,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.54157,-6.75045,-9999,-9999,1.2,-9999,74.574682,0.0047800311,290314.98
2012-01-20,20,1.924,21.223,283.624,0.52,100.136,1.844,3.278,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.45564,-7.36525,-9999,-9999,1.2,-9999,134.08202,0.0040475044,286568.13
2012-01-21,21,2.094,9.723,312.563,0.229,99.796,4.267,3.559,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.65922,-5.89577,-9999,-9999,1.2,-9999,57.294678,0.0042973148,287363.51
2012-01-22,22,2.84,13.874,307.851,0.365,99.076,4.846,3.528,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.54157,-6.75045,-9999,-9999,1.2,-9999,87.789219,0.0044871599,288587.85
2012-01-23,23,0.257,37.038,266.448,0.902,100.577,0.02,2.101,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.45564,-7.36525,-9999,-9999,1.2,-9999,267.74713,0.0032997112,283023.31
