time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,7.094,5.451,345.256,0.602,100.498,4.67,2.931,0.35245115,-7.21019,-9999,-9999,429.731,-9999,-9999,-9999,-9999,20.9969,-7.27418,10.5835,2.4,1.2,-9999,111.9535,0.0058865633,296361.63
2012-01-02,2,8.143,12.431,315.003,1.165,100.203,2.49,3.059,0.34250706,-23.596387,-9999,-9999,444.366,-9999,-9999,-9999,-9999,23.1914,-24.0468,11.85,4.617,0,-9999,208.04909,0.0060195323,297748.3
2012-01-03,3,4.913,10.463,290.267,1.197,100.263,7.9,4.899,0.53920838,-39.574074,-9999,-9999,427.555,-9999,-9999,-9999,-9999,22.6387,-36.1123,7.75,3.2,0,-9999,264.13077,0.0046483248,291074.13
2012-01-04,4,5.246,22.963,272.334,1.756,99.748,3.16,6.264,0.67195496,-29.009137,-9999,-9999,424.903,-9999,-9999,-9999,-9999,20.9328,-32.2009,6.2835,4.1335,0,-9999,391.46691,0.0044493898,290911.45
2012-01-05,5,4.972,22.095,318.913,1.182,97.612,9.49,6.112,0.68596292,-14.850175,-9999,-9999,443.929,-9999,-9999,-9999,-9999,33.485,-26.2376,6.4,3.283,1.2,-9999,259.57659,0.0048074449,291531.22
2012-01-06,6,3.477,28.912,259.127,1.48,100.301,0,4.49,0.54230532,-21.86761,-9999,-9999,412.316,-9999,-9999,-9999,-9999,13.1128,-15.2203,4.45,1.283,0,-9999,366.43143,0.0039524382,287891.23
2012-01-07,7,4.993,7.361,307.25,0.826,100.363,3.85,4.351,0.49898288,-16.039044,-9999,-9999,449.431,-9999,-9999,-9999,-9999,24.7001,-23.6099,6.3,3.433,1.2,-9999,177.56326,0.0049051599,291796.61
2012-01-08,8,5.029,13.889,309.266,0.836,100.947,0.9,3.695,0.4223648,-12.171174,-9999,-9999,427.016,-9999,-9999,-9999,-9999,13.9276,-15.7666,5.7335,3.7165,0,-9999,179.39262,0.0048840688,291780.07
2012-01-09,9,3.803,11.84,319.986,0.768,101.864,3.35,2.631,0.28090582,-7.0092164,-9999,-9999,432.79,-9999,-9999,-9999,-9999,21.115,-9.51494,6.9165,2.6,1.2,-9999,177.81568,0.0044403632,289438.67
2012-01-10,10,5.379,32.986,291.846,1.02,102.376,0,3.845,-9999,-9999,-9999,-9999,429.843,-9999,-9999,-9999,-9999,19.2612,-26.0979,6.1,4.667,0,-9999,216.11233,0.0048348723,292008.83
