time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,7.211,13.624,332.949,1.081,98.018,0,1.528,-9999,3.1475,1.56625,341.85854,395.507,4.427,-9999,-9999,1.60188,0.731472,-3.41481,10.1,2.265,0,0.8968911,204.08159,0.0057817241,296217.12
2012-01-02,2,8.764,12.749,326.695,2.039,97.677,1.8,2.04,-9999,-12.422708,2.1089583,349.7575,398.343,5.82,-9999,-9999,3.00042,-1.46369,-9.33418,11.025,4.225,0.13555359,0.85805867,363.91321,0.0059137056,298107.83
2012-01-03,3,4.999,38.363,272.072,2.587,98.211,0,2.577,-9999,-23.600833,6.7264583,327.30979,398.486,4.355,-9999,-9999,-6.35104,2.70714,0.804522,9.53,2.025,0.77089993,0.85081971,618.72461,0.0038939507,289274.62
2012-01-04,4,4.983,15.717,283.557,2.853,97.651,0,2.704,-9999,-32.5325,2.6479167,329.15708,404.07,4.39,-9999,-9999,-4.98688,0.129824,-3.4856,9.05,3.1,0,0.85581657,695.7739,0.0037398948,288873.4
2012-01-05,5,2.949,8.486,312.915,1.358,95.674,5,3.39,-9999,-4.030625,1.0522917,324.37854,411.576,3.813,-9999,-9999,-5.24885,5.09851,-15.5076,5.305,1.025,0,0.88967713,345.90312,0.0040361582,287569.89
2012-01-06,6,0.595,11.505,297.725,0.892,97.096,3,2.535,-9999,-7.3904167,2.3633333,314.25729,419.787,3.649,-9999,-9999,-7.44406,-3.65987,-10.686,1.195,0.235,0.25511663,0.82958779,258.44084,0.0035238054,283923.24
2012-01-07,7,1.881,11.235,310.768,0.743,97.886,8.1,2.261,-9999,0.13833333,2.1402083,319.72354,417.062,3.332,-9999,-9999,-5.44927,5.61309,-13.4077,3.06,0.91,0,0.83998692,195.07799,0.003984621,286367.71
2012-01-08,8,2.127,9.788,319.285,0.496,98.066,7.7,1.962,-9999,4.3125,1.1202083,323.64083,417.58,3.706,-9999,-9999,-3.4524,6.31422,-16.7385,2.605,1.39,0,0.89730593,125.99874,0.0042137681,287187.81
2012-01-09,9,1.748,11.185,319.257,0.352,98.937,6.3,1.577,-9999,7.1147917,1.285625,322.04063,424.596,3.628,-9999,-9999,-4.53667,4.24022,-17.6279,4.21,0.39,0,0.89690773,90.787732,0.0041473706,286640.92
2012-01-10,10,3.224,21.088,308.115,1.076,99.446,3.5,2.037,-9999,-0.52020833,2.7364583,326.98687,419.282,4.006,-9999,-9999,-2.43937,11.4354,-17.4131,4.225,2.405,0,0.8851408,263.93285,0.0041532081,288138.89
2012-01-11,11,4.806,21.703,323.603,1.516,99.653,0.5,1.803,-9999,4.3704255,3.3829167,334.40583,420.753,4.334,-9999,-9999,-0.148229,4.81691,-16.7103,6.845,3.615,0,0.86514678,343.32882,0.0044361889,290436.25
2012-01-12,12,5.333,26.754,316.143,1.634,98.7,3.1,2.716,-9999,2.6908333,4.1327083,336.07437,411.359,4.769,-9999,-9999,-0.476354,10.795,-37.0196,7.275,2.275,0,0.86619784,359.50686,0.004608176,291395.86
