time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,4.578,10.635,325.189,0.035,92.8,2.1,4.26,0.90354167,1.87625,0.11416667,333.83417,0.601,38.113,25.008,-2.78073,-11.1702,-46.3469,6.885,-0.11,0.19420659,0.98937902,7.403146,0.005672,293296.64
2012-01-02,2,5.262,13.734,318.511,0.326,92.566,3.7,3.877,0.86595745,-6.0070833,0.27083333,337.98271,2.742,38.695,24.505,4.36937,-4.48896,-41.1217,6.715,1.775,0.098419098,0.98066144,67.082276,0.0057693655,294227.47
2012-01-03,3,1.629,48.321,262.291,1.043,92.961,0.1,4.64,1.068125,-13.537083,3.92375,320.22521,1.537,38.48,23.453,-3.24354,32.8589,-51.6198,5.93,-0.31,0,0.92489676,284.61678,0.0039104745,285929.08
2012-01-04,4,2.106,14.483,283.485,1.791,92.524,0.7,5.435,1.298,-25.9225,0.36229167,323.52958,1.792,38.32,22.893,-1.9025,14.342,18.8406,6.66,0.03,0.43221447,0.97559552,500.15794,0.003584809,285594.3
2012-01-05,5,-0.4,5.172,307.291,0.089,90.703,16.9,7.873,-9999,-0.14958333,0.10666667,312.73458,0.514,38.434,24.117,-5.05771,-0.235204,-0.398834,1.24,-1.635,0.37096199,0.97979288,25.910946,0.0040199907,284163.73
2012-01-06,6,-2.485,9.875,297.066,0.037,92.102,7.1,6.543,0.93848485,2.0883333,1.0116667,303.84104,0.557,38.675,23.62,-3.84417,-0.620231,14.9539,-1.655,-3.38,0,0.90707287,12.297273,0.0034222987,280574.07
2012-01-07,7,-0.872,10.761,302.457,0.018,92.681,11.1,5.464,-9999,1.1489583,1.288125,310.78062,0.575,38.61,23.077,-3.55656,0.278928,9.70964,-0.08,-2.15,0.027924724,0.8930939,5.3744124,0.003846377,283255.33
2012-01-08,8,-0.464,10.635,311.237,0,92.88,7.9,4.775,-9999,7.183125,2.27625,312.41375,0.584,38.407,22.772,-3.45792,1.05375,9.82396,-0.185,-0.665,0.096872412,0.82370026,5.5511151e-14,0.0039668538,283966.56
2012-01-09,9,-0.712,7.607,311.887,0,93.655,4.8,4.052,0.8384,7.8935417,0.97208333,310.62854,0.548,38.352,22.628,-3.28135,-0.171969,-4.23313,0.62,-1.235,0.039038623,0.88669147,-6.9388939e-14,0.0038632826,283458.4
2012-01-10,10,-0.095,12.571,304.233,0.049,94.157,4.5,5.493,0.95545455,2.72375,0.466875,313.61313,0.17,39.123,25.57,-3.15219,-1.77525,-0.865583,1.14,-0.84,0.67223107,0.96419087,13.944441,0.0039870984,284388.02
