time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,9.515,11.547,356.862,0.535,95.094,7.6,5.645,-9999,6.6539167,2.8262292,358.55165,6.588,-9999,-9999,-13.67,14.4424,-13.811,10.4,6.2805,1.2,0.80336853,85.475034,0.0074535103,302712.1
2012-01-02,2,3.842,20.014,302.786,0.593,95.039,18.8,5.264,-9999,-19.820812,5.0015,336.47665,6.123,-9999,-9999,-13.1637,14.2858,-17.8807,10.1135,1.8015,0,0.80006396,135.53719,0.0048898686,290601.63
2012-01-03,3,4.635,16.513,301.256,0.977,95.127,5.3,8.204,-9999,-19.846417,3.2567083,333.06912,4.38,-9999,-9999,-11.7071,14.3422,-20.9952,8.205,1.915,0,0.83526776,216.82401,0.0049351671,291511.84
2012-01-04,4,3.201,20.276,300.539,1.16,95.372,5.8,6.973,0.46759032,-11.358604,4.548,326.6759,3.93,-9999,-9999,-10.1169,24.3034,-24.3396,4.3705,2.184,0,0.8167902,286.55142,0.0042678172,288402.3
2012-01-05,5,3.618,6.668,324.016,0.488,94,49.7,8.132,-9999,-1.871,2.1685833,330.01194,3.761,-9999,-9999,-6.09785,10.9888,-17.8354,6.694,0.513,0,0.75459029,112.46703,0.0049302209,290477.39
2012-01-06,6,1.508,17.687,314.734,0.717,95.696,13.8,5.926,-9999,5.6611875,6.9194583,319.57938,2.577,-9999,-9999,-9.01071,14.1134,-12.3148,2.9155,-0.068,1.2,0.71879503,192.67081,0.0039726057,285962.8
2012-01-07,7,3.688,11.843,324.845,0.587,96.044,15.5,5.701,-9999,2.6460208,2.8857917,330.84769,3.372,-9999,-9999,-13.41,11.3166,-14.3244,5.7025,0.91,0,0.80407139,135.46244,0.0047859888,290187.16
2012-01-08,8,2.938,15.947,323.171,0.48,96.163,4.7,4.741,-9999,6.3307708,3.6750833,328.85519,3.55,-9999,-9999,-13.2662,12.8873,-10.3437,3.4715,2.5015,1.2,0.81270677,115.53739,0.0045826371,288925.03
2012-01-09,9,4.448,10.762,334.987,0.376,97.05,4.1,3.556,-9999,7.4796042,2.19775,335.93813,4.09,-9999,-9999,-13.4235,9.56647,-11.3938,5.856,2.606,0,0.83041725,81.659222,0.0051533912,291869.47
2012-01-10,10,5.324,21.079,329.245,0.424,97.314,0.1,2.731,0.17266514,6.7324375,4.2430833,339.10762,4.99,-9999,-9999,-12.5742,9.01527,-7.39201,5.6465,4.8735,1.2,0.83243546,87.348308,0.0054485639,293487.78
