time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,10.931,2.76,370.994,0.667,99.805,4.819,3.566,-9999,-9999,-9999,-9999,10.103,-9999,-9999,-5.11576,19.7612,-5.05288,-9999,-9999,1.2,-9999,98.300169,0.0077586798,304898.1
2012-01-02,2,7.787,19.853,317.083,0.749,99.727,4.869,3.066,-9999,-9999,-9999,-9999,9.278,-9999,-9999,-6.8055,22.3241,-5.02907,-9999,-9999,1.2,-9999,134.28039,0.0061469466,297709.05
2012-01-03,3,6.763,3.134,318.411,1.298,99.815,3.594,5.317,-9999,-9999,-9999,-9999,10.511,-9999,-9999,-2.35546,33.4486,-15.4185,-9999,-9999,1.2,-9999,254.94153,0.0053483048,294683.33
2012-01-04,4,5.392,25.941,301.935,1.476,100.036,1.85,4.368,-9999,-9999,-9999,-9999,10.103,-9999,-9999,-5.11576,19.7612,-5.05288,-9999,-9999,1.2,-9999,320.51018,0.0046681776,291605.15
2012-01-05,5,6.275,16.129,331.934,0.65,98.439,11.056,5.702,-9999,-9999,-9999,-9999,9.278,-9999,-9999,-6.8055,22.3241,-5.02907,-9999,-9999,1.2,-9999,127.55223,0.0056284831,294893.33
2012-01-06,6,4.495,20.642,299.154,1.083,100.334,1.894,3.661,-9999,-9999,-9999,-9999,10.511,-9999,-9999,-2.35546,33.4486,-15.4185,-9999,-9999,1.2,-9999,244.08157,0.0045606068,290434.74
2012-01-07,7,5.795,15.437,320.751,0.801,100.47,3.367,3.723,-9999,-9999,-9999,-9999,10.103,-9999,-9999,-5.11576,19.7612,-5.05288,-9999,-9999,1.2,-9999,163.2963,0.0052265459,293406.09
2012-01-08,8,5.328,17.17,316.691,0.657,100.898,1.832,3.04,-9999,-9999,-9999,-9999,9.278,-9999,-9999,-6.8055,22.3241,-5.02907,-9999,-9999,1.2,-9999,136.96901,0.0051114034,292648.9
2012-01-09,9,6.556,13.546,334.827,0.465,101.496,1.528,2.339,-9999,-9999,-9999,-9999,10.511,-9999,-9999,-2.35546,33.4486,-15.4185,-9999,-9999,1.2,-9999,88.857353,0.0056874367,295323.12
2012-01-10,10,6.767,27.138,317.954,0.499,102.04,0.529,1.688,-9999,-9999,-9999,-9999,10.103,-9999,-9999,-5.11576,19.7612,-5.05288,-9999,-9999,1.2,-9999,94.259311,0.005723265,295624.75
