time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,8.874,11.273,353.76,0.478,93.909,6.92,4.345,-9999,-9999,-9999,402.646,1.518,16.596,19.133,-0.746817,104.629,-9.0702,9.5,7.75,-9999,1.0949175,-9999,79.226467,0.0072504959,301560.36
2012-01-02,2,4.394,18.432,308.694,0.457,93.782,15.57,3.27,-9999,-9999,-9999,392.651,1.318,16.176,17.81,-2.78121,91.243,-29.0762,9.3335,1.2,-9999,1.2,-9999,100.03712,0.005258349,292077.59
2012-01-03,3,3.815,9.55,307.413,0.476,93.9,6.675,6.14,-9999,-9999,-9999,387.115,1.185,16.169,17.713,-3.26415,81.7088,-80.0196,7.4165,1.4,-9999,1.2,-9999,108.24452,0.0050171635,290892.73
2012-01-04,4,2.419,15.561,306.814,0.828,94.087,6.545,4.164,1.051427,-9999,-9999,387.556,1.288,16.049,17.299,-3.25059,117.15,-105.826,3.567,1.6,-9999,1.2,-9999,210.91801,0.004271292,287625.08
2012-01-05,5,2.82,8.65,326.466,0.45,92.576,46.19,6.159,-9999,-9999,-9999,390.397,1.386,15.943,17.288,-2.90718,98.0609,-106.059,6.05,0.083,-9999,0,-9999,108.94492,0.0047385171,289196.14
2012-01-06,6,0.914,19.536,318.695,0.197,94.385,9.005,4.047,-9999,-9999,-9999,389.692,1.593,15.51,16.502,-2.62553,83.8076,-96.8453,2.133,-0.15,-9999,0,-9999,53.075303,0.0041837541,285893.71
2012-01-07,7,2.728,14.542,327.16,0.352,94.471,15.015,4.262,-9999,-9999,-9999,387.234,1.494,15.865,17.074,-2.31363,93.6559,-79.4384,4.95,0.3165,-9999,1.2,-9999,85.206867,0.0046758583,288947.04
2012-01-08,8,2.245,15.728,325.758,0.292,94.856,3.99,3.17,-9999,-9999,-9999,391.846,1.491,15.7,16.858,-2.33077,65.3847,-55.975,2.783,1.3665,-9999,1.2,-9999,72.642465,0.0045308986,288099.22
2012-01-09,9,3.942,12.281,335.649,0.228,95.418,3.255,2.636,-9999,-9999,-9999,393.42,1.341,16.312,17.993,-2.43183,56.7935,-46.672,5.45,1.9335,-9999,1.2,-9999,50.709794,0.0051469827,291344.92
2012-01-10,10,4.482,16.552,330.843,0.384,95.919,0.12,1.89,0.40521746,-9999,-9999,386.76,1.347,16.516,18.37,-2.28748,36.7644,-37.3778,5.1165,3.4665,-9999,0,-9999,83.253557,0.0052221725,292075.59
2012-01-11,11,4.651,34.994,319.657,0.624,95.921,0,2.509,0.60780632,-9999,-9999,395.204,1.276,16.561,18.545,-2.09989,50.4439,-27.6132,5.583,3.95,-9999,1.2,-9999,135.61337,0.0051306987,292016.75
2012-01-12,12,4.015,21.843,312.624,0.331,95.246,3.05,3.927,0.92047013,-9999,-9999,385.236,1.403,16.274,18.035,-1.73611,51.9,-42.5783,5.1835,1.5165,-9999,1.2,-9999,73.703366,0.0051159866,291340.79
2012-01-13,13,0.845,21.299,306.941,0.59,95.348,0.115,2.875,0.61112874,-9999,-9999,384.003,1.483,15.493,16.441,-1.85873,57.9001,-33.8781,1.4835,-0.1,-9999,1.2,-9999,164.23987,0.0038625466,285021.34
