time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,3.725,36.934,318.525,0.754,94.847,0.798,1.323,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,126.525,75.6748,-9999,-9999,0.62574246,-9999,175.32133,0.0047500989,290134.62
2012-01-02,2,3.509,31.06,313.524,1.042,94.545,6.038,1.88,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,95.7193,56.2816,-9999,-9999,0.62972851,-9999,250.18897,0.0044950715,289279.97
2012-01-03,3,2.502,56.672,292.62,1.454,95.007,1.065,1.695,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,90.4268,54.6263,-9999,-9999,0.62340481,-9999,384.72148,0.0038463025,286646.02
2012-01-04,4,1.534,18.398,301.314,1.322,94.701,3.591,2.177,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,126.525,75.6748,-9999,-9999,0.62574246,-9999,370.88683,0.00362362,285116.47
2012-01-05,5,1.098,12.278,316.381,1.178,93.454,10.761,3.35,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,95.7193,56.2816,-9999,-9999,0.62972851,-9999,337.02244,0.0036277079,284688.51
2012-01-06,6,-1.497,13.584,317.827,0.033,93.967,10.389,3.494,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,90.4268,54.6263,-9999,-9999,0.62340481,-9999,10.274968,0.0036129087,282043.54
2012-01-07,7,-0.502,30.773,310.338,0.593,94.729,3.968,2.332,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,126.525,75.6748,-9999,-9999,0.62574246,-9999,180.85817,0.00348735,282729.62
2012-01-08,8,-0.213,20.547,321.441,0.184,94.723,8.191,2.52,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,95.7193,56.2816,-9999,-9999,0.62972851,-9999,53.300197,0.0038399589,283901.58
2012-01-09,9,-0.27,39.726,314.135,0.396,95.316,3.764,1.929,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,90.4268,54.6263,-9999,-9999,0.62340481,-9999,117.03706,0.0036607233,283396.21
2012-01-10,10,0.83,18.928,319.085,0.139,95.751,1.712,1.623,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,126.525,75.6748,-9999,-9999,0.62574246,-9999,37.501601,0.0041360627,285690.06
2012-01-11,11,0.57,62.378,279.39,0.831,95.929,0.004,0.888,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,95.7193,56.2816,-9999,-9999,0.62972851,-9999,240.03347,0.0035989949,284086.09
