time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,7.58,11.546,342.421,1.091,102.594,1.18,2.679,-9999,7.618125,1.14875,345.20042,404.931,-9999,-9999,-9999,-9999,0.37293,-19.4481,12.1,1.75,0,0.90950984,201.26459,0.0056752841,296321.86
2012-01-02,2,10.429,5.41,343.351,2.001,102.208,7.828,3.636,-9999,-8.9716667,0.044166667,357.68771,398.889,-9999,-9999,-9999,-9999,-0.0949503,-22.0244,13.585,6.47,0.0042926351,0.99190222,319.8972,0.0064931332,301229.73
2012-01-03,3,7.19,43.597,301.871,3.322,102.723,1.617,4.412,-9999,0.069375,5.7464583,339.65167,390.168,-9999,-9999,-9999,-9999,7.89417,-16.6097,10.875,3.915,0,0.88354164,707.83866,0.004142199,292097.2
2012-01-04,4,6.891,28.022,290.933,3.219,102.132,0.712,5.047,0.945,-22.895625,3.3714583,338.47833,389.393,-9999,-9999,-9999,-9999,7.19267,-19.8434,9.245,5.555,0,0.89260634,696.92321,0.0041032949,291699.44
2012-01-05,5,5.016,17.585,316.192,1.334,99.949,12.843,6.024,1.297234,-0.98520833,1.948125,332.81208,388.969,-9999,-9999,-9999,-9999,-2.04045,-37.6499,6.445,3.255,0.051409222,0.90026557,294.66748,0.0046163161,291097.62
2012-01-06,6,2.881,19.03,293.415,1.373,101.708,2.458,4.26,0.89604167,-12.515417,1.8133333,323.14833,390.521,-9999,-9999,-9999,-9999,3.13742,-19.5875,3.86,0.9,0,0.91300176,351.74505,0.0037646384,286822.75
2012-01-07,7,4.282,8.733,316.466,0.93,102.452,3.846,4.14,0.79666667,-5.045625,0.64833333,329.59667,390.989,-9999,-9999,-9999,-9999,-3.92042,-25.5115,6.1,1.325,0.133203,0.93089113,210.66868,0.0044833827,290027.62
2012-01-08,8,5.014,11.413,327.149,0.805,102.699,3.15,3.239,0.601875,3.4264583,1.0670833,334.06667,386.692,-9999,-9999,-9999,-9999,-2.85583,-16.6965,5.42,4.57,0.14606085,0.9144971,172.61449,0.0048138305,291589.4
2012-01-09,9,4.042,15.256,323.749,0.648,103.67,3.221,2.708,0.51864865,6.990625,1.403125,330.61208,388.808,-9999,-9999,-9999,-9999,1.57776,-9.46903,6.625,2.85,0,0.91577439,146.67209,0.0045171464,289870.83
2012-01-10,10,6.023,30.528,315.014,1.832,104.187,1.445,3.798,0.805625,4.4702083,3.2125,337.85833,383.512,-9999,-9999,-9999,-9999,6.06333,-16.1491,7.285,5.29,0,0.90478801,388.93444,0.0045083948,291839.85
2012-01-11,11,7.106,14.415,330.227,1.759,104.346,0.984,3.561,0.650625,-0.37979167,1.498125,343.52458,387.507,-9999,-9999,-9999,-9999,-2.17875,-10.3119,8.49,5.325,0.17443047,0.90585602,345.75334,0.0049795578,294106.17
2012-01-12,12,8.212,17.36,326.825,2.447,103.239,3.007,5.31,1.0436957,-5.6064583,1.6427083,348.14958,383.494,-9999,-9999,-9999,-9999,3.67314,-10.2904,10.355,5.07,0,0.91355399,462.17559,0.0050952055,295506.82
2012-01-13,13,3.54,17.814,282.68,1.862,102.852,2.53,4.969,1.0245833,-26.903958,1.859375,325.53875,383.877,-9999,-9999,-9999,-9999,0.206875,-14.4086,4.905,2.57,0,0.90548775,471.13065,0.0036433112,287181.73
2012-01-14,14,2.328,43.713,251.51,2.058,103.393,0.43,3.778,0.81333333,-28.059375,5.2172917,318.06313,387.05,-9999,-9999,-9999,-9999,0.475026,-16.7274,3.77,0.29,0,0.89337297,577.49864,0.0031144736,284641.57
2012-01-15,15,-0.702,30.864,250.921,1.137,103.908,0.15,2.342,0.43,-28.041042,3.5758333,306.25083,394.43,-9999,-9999,-9999,-9999,3.05438,-7.55354,0.71,-2.08,0,0.89617158,368.61748,0.0028006011,280811.74
2012-01-16,16,-0.206,9.962,297.805,0.397,104.085,1.808,2.473,0.365,-3.710625,1.0897917,310.38854,402.287,-9999,-9999,-9999,-9999,-1.2245,-14.9556,2.195,-2.84,0.075679384,0.90139231,116.84153,0.0033678581,282728.37
2012-01-17,17,2.673,5.818,320.615,0.399,104.117,2.534,2.818,0.5604878,2.6579167,0.16375,323.61042,394.653,-9999,-9999,-9999,-9999,-1.80248,-12.3158,3.075,2.245,0.12766994,0.97262507,97.211432,0.0041959282,287691.94
2012-01-18,18,2.24,62.806,265.031,2.223,104.099,1.506,2.98,0.52395833,2.404375,8.1579167,317.275,403.792,-9999,-9999,-9999,-9999,4.50924,-8.10968,5.045,-0.65,0,0.88504134,636.51297,0.0029672854,284185.16
2012-01-19,19,3.77,7.367,317.851,0.558,102.712,7.214,3.864,0.70680851,-2.3991667,0.19104167,327.42625,401.016,-9999,-9999,-9999,-9999,-3.14356,-27.8519,5.215,1.215,0.10142001,0.97472339,127.86996,0.0045201412,289604.95
2012-01-20,20,2.666,12.87,297.7,0.839,102.179,4.582,3.747,0.708125,-11.522083,0.89916667,321.19333,390.25,-9999,-9999,-9999,-9999,-4.99313,-25.1605,3.625,1.875,0.16558968,0.93469709,210.37055,0.0040042738,287205.76
2012-01-21,21,2.95,11.727,315.76,0.791,101.935,5.514,3.71,0.71268293,2.781875,0.914375,323.79104,392.929,-9999,-9999,-9999,-9999,-2.54898,-21.1324,5.27,1.355,0.10763646,0.92766807,194.01236,0.0041356559,287819.64
2012-01-22,22,4.466,12.114,321.439,1.273,101.231,9.106,4.758,0.87276596,1.851875,1.0789583,330.62104,391.019,-9999,-9999,-9999,-9999,-0.368179,-24.3434,6.545,2.895,0.014899048,0.9182171,290.72748,0.0043921656,289984.49
2012-01-23,23,1.656,23.384,311.648,0.442,102.364,3.982,2.169,0.46765957,13.576042,2.2125,319.24229,395.304,-9999,-9999,-9999,-9999,2.38498,-5.33993,2.545,0.64,0,0.9135624,115.38453,0.0039254577,285993.67
2012-01-24,24,0.754,17.363,309.578,0.261,103.185,1.369,1.207,0.16125,9.4222917,2.5239583,314.99563,399.717,-9999,-9999,-9999,-9999,1.66935,-4.60503,1.425,0.25,0,0.87308475,71.374253,0.0037420262,284628.59
2012-01-25,25,-0.323,41.265,287.801,0.635,103.959,0.282,1.031,0.18242424,22.204,5.1044,304.9564,406.415,-9999,-9999,-9999,-9999,4.63759,-2.08461,1.032,-2.135,1.2,0.88991878,191.97361,0.0031983352,282186.97
2012-01-26,26,-2.278,54.639,238.234,1.061,104.076,0,2.439,0.42608696,-9999,-9999,-9999,407.184,-9999,-9999,-9999,-9999,4.31974,2.89682,-9999,-9999,0.59858714,-9999,383.13498,0.0024609648,278378.77
2012-01-27,27,-1.925,49.896,252.574,1.55,104.18,0,3.205,0.64604167,-9999,-9999,-9999,408.594,-9999,-9999,-9999,-9999,3.78604,15.0737,-9999,-9999,0.2007472,-9999,574.18419,0.0022474996,278199.87
2012-01-28,28,-2.895,23.056,281.933,1.431,104.533,0.747,2.322,0.50520833,-9999,-9999,-9999,419.385,-9999,-9999,-9999,-9999,6.12812,17.6363,-9999,-9999,0.25786954,-9999,564.2646,0.00209143,276834.85
2012-01-29,29,-3.255,54.471,251.538,1.614,104.765,0.011,3.089,0.635625,-9999,-9999,-9999,415.756,-9999,-9999,-9999,-9999,5.75813,4.73812,-9999,-9999,0.54858926,-9999,670.05363,0.001900122,275994.78
2012-01-30,30,-4.868,67.04,219.067,2.108,104.882,0,4.074,0.85145833,-9999,-9999,-9999,411.276,-9999,-9999,-9999,-9999,6.72708,14.024,-9999,-9999,0.32417975,-9999,1087.7077,0.0012785543,272819.8
2012-01-31,31,-7.716,76.841,202.459,1.192,104.832,0,3.738,0.78340426,-9999,-9999,-9999,410.853,-9999,-9999,-9999,-9999,3.4676,16.3,-6.05,-10.1015,0.17541836,-9999,674.30632,0.0013278154,270080.71
2012-02-01,32,-9.704,87.645,181.85,1.023,105.046,0,3.139,0.69729167,-12.718958,11.87875,270.33542,412.695,-9999,-9999,-9999,-9999,3.52146,17.0631,-6.015,-12.585,0.17107288,0.88064407,664.95337,0.0011331435,267596.09
2012-02-02,33,-11.779,84.654,178.981,0.791,105.131,0,1.799,0.37543478,0.34791667,12.1375,262.13271,413.799,-9999,-9999,-9999,-9999,3.39402,22.7103,-7.9,-15.7,0.13001756,0.87460159,584.41403,0.0010054584,265191.5
2012-02-03,34,-9.468,67.141,214.916,0.647,105.038,0.321,1.685,0.3025,1.3758333,8.5470833,272.13313,412.817,-9999,-9999,-9999,-9999,3.27036,22.0681,-6.56,-12.135,0.12906704,0.88707491,382.86895,0.0013888355,268472.5
2012-02-04,35,-9.733,77.45,202.113,0.609,105.31,0.208,1.468,0.25617021,3.7335417,13.20375,269.00687,416.223,-9999,-9999,-9999,-9999,4.95553,20.7323,-6.2,-12.69,0.19291353,0.85434965,365.4748,0.0013712368,268162.18
2012-02-05,36,-11.93,27.808,210.713,0.395,105.227,0.097,1.499,0.25155556,-26.765625,5.77625,259.51063,418.049,-9999,-9999,-9999,-9999,2.35238,1.69437,-8.92,-15.32,0.58130104,0.82800718,270.2028,0.0012212011,265579.1
