time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,7.194,14.97,332.427,1.009,96.88,0.7,3.887,0.616875,0.129375,0.52625,346.77938,5.423,32.649,-9999,3.37292,-0.881042,-35.6742,9.98,2.315,0.02410166,0.96604017,190.04419,0.0058887958,296467.71
2012-01-02,2,8.792,12.666,331.303,2.146,96.604,3.9,4.359,0.80958333,-10.690208,0.32770833,354.33083,7.205,31.786,-9999,4.01802,3.53521,-44.1954,11.12,4.175,0,0.97477946,384.19257,0.0059241122,298161.99
2012-01-03,3,5.13,54.074,290.417,2.665,97.067,0,6.012,1.0708696,4.0939583,4.8752083,335.52271,4.016,33.247,-9999,-4.56552,8.24135,-56.4516,9.63,2.205,0,0.91729815,634.55951,0.0039411914,289524.38
2012-01-04,4,5.036,18.862,283.884,2.974,96.607,0.2,5.27,1.1183333,-33.824583,0.830625,335.74042,4.364,32.142,-9999,-3.37198,6.89396,-42.025,9.27,3.13,0,0.9578205,728.55389,0.0037229856,288884.39
2012-01-05,5,2.808,7.91,313.211,1.14,94.725,7.8,6.879,1.3385417,-3.8266667,0.096875,324.85083,3.197,33.19,-9999,-5.13604,8.83106,-108.446,5.33,1.155,0,0.98790102,288.8715,0.0041710046,287765.3
2012-01-06,6,0.474,15.606,296.376,0.736,96.22,4.8,4.783,0.94638298,-3.5383333,0.70833333,314.8125,1.679,36.627,-9999,-7.91552,2.73026,-45.7194,1.14,0.205,0,0.95658215,212.42003,0.0036211799,284045.07
2012-01-07,7,1.834,12.367,309.748,0.59,96.815,9.3,4.615,0.90208333,1.086875,0.17125,320.85708,2.296,35.714,-9999,-4.77458,0.593691,-49.6731,3.09,0.895,0,0.98634179,153.76538,0.0041124385,286640.02
2012-01-08,8,2.073,10.758,322.108,0.328,97.012,9.4,3.945,0.76456522,10.14875,0.33145833,322.38458,2.826,36.97,-9999,-3.63719,-0.330971,-38.88,2.575,1.37,0.0084407754,0.9701105,82.701258,0.004350298,287474.86
2012-01-09,9,1.655,12.202,321.088,0.193,97.828,8.2,3.292,0.60489362,12.289375,0.31395833,320.59688,2.274,38.885,-9999,-5.0051,4.81947,-30.5582,4.205,0.355,0,0.97491536,49.55409,0.0042667325,286845.86
2012-01-10,10,3.172,25.019,306.882,0.906,98.333,4.3,4.187,0.79456522,2.880625,1.5302083,327.48917,3.3,36.83,-9999,-2.25927,5.78636,-29.2861,4.24,2.33,0,0.94236332,220.57961,0.0042904612,288429.76
2012-01-11,11,4.791,23.107,323.69,1.448,98.501,1.4,3.16,0.68833333,10.126458,1.3841667,335.28729,4.19,33.93,-9999,-0.359687,4.75524,-19.3515,6.8,3.66,0,0.94348302,326.92654,0.0045256722,290644.89
2012-01-12,12,5.327,32.476,313.839,1.586,97.572,3.2,5.436,1.0710638,7.1785417,1.740625,337.39625,4.811,33.313,-9999,-0.329062,5.55022,-42.6616,7.37,2.25,0,0.94912926,348.11333,0.0046899883,291594.36
2012-01-13,13,0.479,13.419,298.132,0.573,97.204,5.4,4.846,0.945,-3.5725,0.57833333,314.54479,1.778,35.886,-9999,-8.55792,0.974702,-44.5623,1.625,-0.38,0,0.95868261,163.2682,0.0036906763,284223.84
2012-01-14,14,-0.125,32.219,288.539,1.096,97.541,0,5.106,0.9593617,6.0675,2.1777083,312.51271,1.308,36.323,-9999,-7.5399,3.29647,-0.918167,1.015,-1.43,1.2,0.93668847,339.65969,0.0031694871,282313.84
2012-01-15,15,-2.36,32.246,277.863,0.589,97.87,0,2.871,0.6275,7.3739583,2.708125,303.34667,0.74,34.584,-9999,-7.9426,3.65542,13.9308,-1.365,-3.315,0.20785706,0.92252345,204.15048,0.0028982982,279389.7
2012-01-16,16,-2.657,22.546,282.45,0.361,98.066,5.1,3.111,0.5025,2.0847917,1.3539583,301.55563,0.248,33.419,-9999,-8.19031,1.16562,-13.9571,-0.995,-4.535,0,0.94334892,124.99508,0.0029664012,279261.47
2012-01-17,17,-0.661,8.046,307.773,0.081,98.156,3.4,3.948,0.67869565,4.61,0.78604167,310.42104,0.507,32.844,-9999,-6.59385,-0.105416,-13.304,-0.425,-1.245,0.0078613416,0.91100114,23.971515,0.003647949,282971.32
2012-01-18,18,0.48,72.517,243.384,2.226,98.132,0.5,4.754,0.62729167,-4.7779167,8.386875,312.29292,0.644,32.644,-9999,-5.59406,20.3425,-53.6681,3.655,-3.525,0,0.89633531,731.67334,0.002604261,281508.8
2012-01-19,19,2.461,12.39,318.805,0.334,96.987,10.8,4.567,0.851875,7.6554167,0.33354167,323.20646,1.154,36.533,-9999,-4.40177,-0.717918,-62.5434,4.06,0.45,0.011348452,0.97378547,82.160539,0.004475758,288178.45
2012-01-20,20,0.451,17.058,287.513,0.406,96.543,9.2,4.054,0.79541667,-10.5925,1.02375,314.14104,1.278,39.07,-9999,-5.04646,-0.537708,-54.579,1.975,-0.625,0.0097558076,0.94338214,114.45952,0.0038158074,284508.52
2012-01-21,21,0.895,16.328,303.939,0.475,96.272,5.4,4.235,0.75104167,2.3910417,2.0229167,315.85354,1.205,37.975,-9999,-4.99333,1.142,-58.2273,3.865,-0.555,0,0.88976482,130.68485,0.0039152593,285203.37
2012-01-22,22,2.613,35.934,308.162,1.173,95.789,11.5,5.25,1.1370213,17.566667,2.29875,324.23,2.236,38.653,-9999,-2.09833,7.2335,-58.5538,4.67,1.175,0,0.93987485,301.9129,0.0040359652,287231.73
2012-01-23,23,1.087,43.246,297.69,0.374,96.659,6.5,3.595,0.70604167,19.984583,3.6495833,317.49687,1.47,40.696,-9999,-5.1926,4.45128,-32.9096,2.56,-0.275,0,0.9221764,100.87256,0.0040235262,285667
2012-01-24,24,0.055,16.026,314.004,0.098,97.273,6.5,2.108,0.42177778,13.746458,2.6095833,313.67521,1.21,38.958,-9999,-5.27594,0.653417,-8.53234,0.59,-0.415,0,0.85996771,27.71877,0.0038702847,284246.74
2012-01-25,25,-1.461,36.731,285.239,0.165,97.883,0,1.214,0.224,8.9383333,6.3427083,306.98125,0.996,37.706,-9999,-5.36427,4.58566,-1.09675,-0.41,-3.645,1.2,0.85274757,51.811757,0.0033930906,281530.17
2012-01-26,26,-4.39,88.557,203.452,0.813,97.926,0,2.29,0.2573913,-13.108958,14.551042,290.56604,0.032,35.327,-9999,-7.92708,18.5196,-8.14586,-1.535,-6.6,1.2,0.85887578,333.9602,0.0022934138,275837.33
