time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-6.136,0.563,278.12,0.189,97.888,0,1.876,0.36209302,-6.125,-9999,-9999,402.941,-0.183,1.79,3.77,-2.88713,6.96898,28.3104,-4.235,-9.73,0.19753692,-9999,81.712175,0.0023428523,274206.2
2012-01-02,2,-8.242,0.99,262.323,0.262,98.102,0,3.303,0.60578049,-30.375,-9999,-9999,403.153,-0.17,1.79,3.773,-2.91828,4.46546,21.3315,-6.085,-11.25,0.17310024,-9999,132.78673,0.0019227621,271039.45
2012-01-03,3,-5.027,0.313,279.593,0.388,97.244,4.3,4.929,0.93445,-9.6458333,-9999,-9999,406.168,-0.199,1.784,3.771,-2.85121,18.9502,40.0285,-4.435,-6.22,0.32130583,-9999,158.84297,0.0024491298,275586.44
2012-01-04,4,-6.052,0.198,279.168,0.213,96.389,0.9,3.072,0.5842619,-10.270833,-9999,-9999,408.803,-0.173,1.78,3.77,-2.88713,10.4912,39.7458,-4.65,-9.34,0.20883413,-9999,91.813506,0.0023799236,274383.3
2012-01-05,5,-9.675,0.5,262.5,0.289,95.35,1.4,2.63,0.47814286,-14.229167,-9999,-9999,408.017,-0.166,1.78,3.77,-2.91828,3.81981,27.009,-9.01,-11.53,0.12390391,-9999,163.3139,0.0017325227,269123.68
2012-01-06,6,-9.177,0.49,270.364,0.305,96.11,0.2,2.198,0.37417241,-6.2291667,-9999,-9999,410.227,-0.209,1.776,3.77,-2.85121,3.29225,22.6691,-5.99,-12.47,0.12681351,-9999,166.56814,0.0017845308,269754.19
2012-01-07,7,-6.151,0.635,286.64,0.194,96.458,1.3,1.812,-9999,-15.541667,-9999,-9999,406.657,-0.228,1.763,3.77,-2.88713,5.31674,21.1779,-4.965,-7.71,0.20067229,-9999,84.011957,0.0023715359,274262.83
2012-01-08,8,-9.614,0.75,245.824,0.21,97.397,0,1.58,-9999,-23.4375,-9999,-9999,406.56,-0.22,1.754,3.77,-2.91828,5.11321,25.1891,-6.125,-18.18,0.16873994,-9999,116.63478,0.0017556876,269242.9
2012-01-09,9,-20.001,0.938,231.934,0.216,98.469,0,0.646,-9999,-13.395833,-9999,-9999,417.096,-0.3,1.729,3.77,-2.85121,-2.09308,4.71137,-12.715,-25.08,0,-9999,270.89487,0.00065801659,256059.79
2012-01-10,10,-12.747,0.375,249.402,0.241,98.063,0,1.107,-9999,-1.3125,-9999,-9999,419.824,-0.502,1.676,3.768,-2.88713,0.253132,18.9987,-8.945,-15.79,0.013148463,-9999,169.99518,0.0013088433,264977.12
2012-01-11,11,-6.522,0.26,278.586,0.18,96.695,3.6,2.857,0.545,-2.6875,-9999,-9999,406.841,-0.541,1.619,3.76,-2.91828,5.30054,45.1362,-5.18,-9.635,0.10509284,-9999,79.858499,0.0023049562,273723.53
2012-01-12,12,-6.321,0.563,282.462,0.185,95.633,1.8,2.561,0.48665625,-2.9791667,-9999,-9999,405.145,-0.446,1.58,3.76,-2.85121,7.71087,39.3845,-5.86,-7.07,0.16372883,-9999,80.982249,0.0023653375,274076.49
2012-01-13,13,-7.307,0.76,269.621,0.256,96.704,1.1,2.517,0.48625714,-19.604167,-9999,-9999,402.07,-0.386,1.558,3.759,-2.88713,5.34409,20.8475,-4.84,-10.895,0.2040384,-9999,121.22489,0.0021137925,272456.7
2012-01-14,14,-8.849,1.229,226.255,0.227,98.368,0,2.346,-9999,-20.166667,-9999,-9999,401.526,-0.409,1.541,3.752,-2.91828,1.68679,21.1916,-6.84,-11.28,0.073728527,-9999,119.5864,0.0018433584,270230.9
2012-01-15,15,-15.118,1.625,228.14,0.23,98.737,0,1.424,-9999,-10.0625,-9999,-9999,406.243,-0.489,1.514,3.75,-2.85121,-0.348222,26.1251,-9.885,-18.63,0,-9999,194.45415,0.001051161,261950.06
