time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,12.076,18.727,364.109,1.349,99.3,2.732,5.173,-9999,-16.197404,2.862617,-9999,369.766,11.292,34.344,36.979,14.5719,9.36749,-13.6175,13.215,9.3615,0,0.8674077,189.90416,0.0080169773,306694.57
2012-01-02,2,7.104,50.366,300.59,1.477,99.377,8.4,4.516,-9999,-25.149167,9.7706458,-9999,369.54,6.701,34.425,37.983,-10.2022,15.6016,-14.3057,10.495,4.186,1.2,0.83752593,286.25413,0.0054061101,295170.55
2012-01-03,3,8.551,15.593,332.817,1.766,99.521,2.4,6.18,-9999,-17.502979,2.4053542,-9999,368.471,7.335,34.194,37.647,-0.937458,9.3274,-16.2787,12,4.136,0,0.86635699,315.65626,0.0058738667,297794.17
2012-01-04,4,7.158,49.125,295.414,2.43,100.106,0,5.599,-9999,-12.573021,9.4571875,-9999,365.659,5.918,34.068,37.398,-9.70173,15.0822,-14.1111,8.33,4.566,1.2,0.83856548,493.13682,0.004794179,293694.99
2012-01-05,5,8.8,30.43,325.318,2.48,98.969,3,8.634,-9999,-22.134083,5.0980208,-9999,370.967,7.438,33.971,37.354,-0.563562,11.7458,-12.1164,11.675,6.869,0,0.85650704,450.76966,0.0055745592,297296.15
2012-01-06,6,5.518,54.602,267.42,2.209,100.473,0,3.306,-9999,-24.697,10.924458,-9999,370.743,3.885,33.898,37.434,-15.7455,11.9529,-16.0368,7.32,4.1035,0,0.83328172,496.62438,0.0042405919,290662.82
2012-01-07,7,8.118,25.387,338.835,1.671,100.448,0.4,4.71,-9999,-1.091375,3.9222083,-9999,369.327,7.194,33.849,36.933,3.53438,7.56606,-10.8435,10.75,5.235,0,0.86617829,305.89864,0.0056777791,296868.79
2012-01-08,8,7.064,12.947,334.34,1.947,100.727,0,2.816,-9999,-1.1774583,1.9490833,-9999,368.682,6.295,33.779,36.676,-3.7521,7.1428,-11.4282,7.55,6.503,0,0.86915464,387.54155,0.0050242048,294175.58
2012-01-09,9,7.93,38.175,329.67,1.231,101.183,0,2.518,-9999,5.7275417,6.2978542,-9999,371.64,7.479,33.702,36.278,2.52119,9.83669,-7.39766,10.535,6.4075,1.2,0.8583888,223.50819,0.0058237584,297044.8
2012-01-10,10,8.074,24.951,341.923,0.71,101.504,0,1.249,-9999,5.6600833,3.8258333,-9999,375,7.82,33.615,36.1,2.00237,6.42375,-7.42731,9.635,6.7295,0,0.86705162,124.81915,0.0061917063,298109.39
2012-01-11,11,7.646,35.106,315.185,1.984,101.479,0,0.75,-9999,-5.0353333,6.0060208,-9999,391.768,6.728,33.526,36.158,-2.96331,9.0156,-8.22325,10.18,4.053,1.2,0.85391083,380.45062,0.005215877,295239.67
2012-01-12,12,6.621,57.418,318.628,1.711,100.983,0,2.05,-9999,14.804417,10.678125,-9999,393.472,6.214,33.453,36.113,-5.40385,9.94621,-7.81814,9.875,2.7405,1.2,0.84319042,346.5424,0.0049709572,293597.25
2012-01-13,13,5.511,66.162,282.541,1.1,100.95,0,1.5,-9999,-14.258208,13.777458,-9999,376.44,4.765,33.418,35.964,-9.7291,10.1376,-6.04492,8.38,2.1525,1.2,0.82765134,232.06683,0.0049048842,292316.52
2012-01-14,14,1.147,73.803,257.682,1.089,100.69,0.2,1.686,-9999,-24.409583,14.504604,-9999,390.192,0.332,33.395,36.108,-23.3063,7.05618,-7.87181,4.627,-0.795,0,0.83574909,308.34543,0.0034361641,284258.9
2012-01-15,15,0.502,72.752,238.14,1.346,100.073,0,2.805,0.16443776,-25.043125,15.259187,-9999,390.946,-0.342,33.446,35.465,-20.6929,8.39744,-10.2482,4.584,-2.339,0,0.82662218,407.38083,0.003108796,282792.25
2012-01-16,16,0.111,74.885,235.05,1.76,100.115,0,2.255,-9999,-24.381021,15.906833,-9999,393.703,-0.892,33.507,34.647,-17.6954,8.46681,-8.7786,4.173,-2.49,0,0.82479885,569.12278,0.0027390828,281475.01
2012-01-17,17,-0.231,65.315,241.777,1.499,100.748,0,1.056,-9999,-19.187792,13.335437,-9999,408.953,-1.525,33.554,32.658,-15.7658,5.885,-7.93067,3.4185,-3.4705,0,0.83044675,485.37136,0.0027899196,281258.39
2012-01-18,18,3.295,30.05,312.802,0.803,100.871,0.6,2.748,-9999,5.3936458,4.7734375,-9999,380.318,1.969,33.595,32.771,-6.93215,4.38364,-9.84767,6.996,-1.448,0,0.86292457,192.65286,0.0042875893,288546.2
2012-01-19,19,10.071,19.771,352.693,1.267,100.377,2.4,6.022,-9999,-10.533687,3.0276875,-9999,372.957,9.197,33.593,34.68,23.874,4.05079,-9.6051,11.9,7.73,0,0.86719904,201.25536,0.0068841179,301847.4
2012-01-20,20,7.439,20.095,329.722,1.876,100.204,2,5.204,-9999,-22.911188,3.3365833,-9999,367.954,6.461,33.479,36.06,2.14908,8.12524,-10.7705,8.665,5.644,0,0.85760316,362.78849,0.0052581688,295137.37
2012-01-21,21,9.647,19.051,353.372,1.594,99.673,1.2,6.3,-9999,-6.634375,2.8722083,-9999,366.877,8.895,33.378,36.392,12.1465,5.93955,-11.0946,11.8,7.865,0,0.86898777,263.4959,0.0065098469,300485.6
2012-01-22,22,8.258,31.228,327.864,2.361,99.69,0,4.743,-9999,-1.1238542,5.267375,-9999,366.202,7.304,33.296,36.13,-0.278375,10.191,-10.3551,9.97,6.61,0,0.85567007,442.64323,0.0053525522,296196.42
2012-01-23,23,5.912,38.461,308.146,1.214,99.902,0.2,2.71,-9999,-7.2437292,6.5051875,-9999,369.303,5.311,33.265,36.021,-5.98413,9.4858,-8.24451,7.715,3.5875,1.2,0.85533158,251.00443,0.0050445473,293068.68
2012-01-24,24,5.781,22.809,341.124,0.593,100.04,6.6,1.873,-9999,-6.1908333,3.7840417,-9999,372.377,5.53,33.286,37.308,-2.98908,12.0402,-8.03947,8.835,3.547,1.2,0.85770557,119.71892,0.0053736555,293759.79
2012-01-25,25,8.945,23.727,358.777,0.427,99.719,1.2,1.743,-9999,6.9756458,3.6910208,-9999,369.223,8.988,33.524,37.518,11.3061,7.07734,-6.42482,9.31,8.64,1.2,0.86537975,70.324741,0.0068927724,300737.41
2012-01-26,26,6.82,28.141,323.523,1.109,99.356,1.8,2.518,-9999,-16.977021,5.1314375,-9999,368.795,6.27,33.904,37.513,-3.80308,10.6632,-9.68186,8.495,4.201,1.2,0.84577513,214.98447,0.0055165531,295161.23
2012-01-27,27,4.221,80.118,268.304,1.68,100.075,0,1.638,-9999,-9.535,15.762562,-9999,375.016,3.035,34.037,37.548,-15.3472,15.6828,-2.98193,8.03,0.1195,1.2,0.83560211,400.18758,0.004099441,289006.46
2012-01-28,28,3.445,34.035,330.358,0.759,100.323,2.8,2.327,-9999,2.4162917,5.8057708,-9999,376.827,3.83,34.101,37.841,-7.47563,12.437,-2.85689,4.578,2.6405,1.2,0.85427564,179.81271,0.0043898424,288952.58
2012-01-29,29,1.208,78.496,298.365,0.838,100.598,0,3.202,-9999,23.059188,15.054208,-9999,380.167,2.462,34.162,37.648,-12.8145,13.933,0.17843,2.933,-0.5035,0.98735564,0.83907884,231.83395,0.0036132886,284763.01
2012-01-30,30,-0.549,16.933,302.83,1.094,100.298,0,1.33,-9999,-1.5777708,2.7941458,-9999,383.838,0.195,34.173,37.265,-17.3335,11.4735,0.900075,0.129,-1.074,0.92725829,0.85836036,349.42637,0.002968905,281386.27
2012-01-31,31,-0.956,42.597,291.357,1.001,100.058,0,2.844,0.20631185,8.0315208,7.5221458,-9999,390.088,0.48,34.166,37.249,-16.285,13.6247,0.638901,0.0335,-2.113,0.95520759,0.84991472,326.44194,0.0029267786,280871.92
2012-02-01,32,-3.673,82.682,231.306,1.139,100.256,0,4.89,-9999,-13.061042,16.807708,-9999,394.001,2.693,34.154,37.381,-18.35,17.8173,4.00751,-1.7,-5.432,0.81637824,0.83106083,460.79769,0.0021891682,276297.31
2012-02-02,33,-5.91,98.654,197.295,1.745,100.515,0,5.316,-9999,-24.598542,21.532917,-9999,383.611,3.272,34.138,37.515,-22.5915,15.8966,3.83049,-2.968,-8.335,0.8058259,0.8208381,929.91601,0.0013582838,271971.91
2012-02-03,34,-5.901,99.099,221.947,1.795,101.173,0,3.231,-9999,-2.6161458,21.017042,-9999,385.245,2.487,34.121,37.438,-26.5096,10.6135,0.70627,-2.705,-9.72,0.93760739,0.82502719,964.55182,0.0013203174,271886.04
2012-02-04,35,-4.461,107.022,233.056,1.439,101.344,0,2.209,-9999,2.258,21.442896,-9999,387.128,2.318,34.096,37.43,-13.1829,9.40134,-0.992673,-1.177,-7.385,1.1180536,0.83308362,644.19779,0.0018163185,274573.24
2012-02-05,36,-6.473,46.528,270.139,1.034,100.617,0,2.961,-9999,-3.5509167,37.334583,-9999,388.334,1.367,34.049,37.235,-14.537,10.3408,0.642214,-4.451,-8.385,0.94152662,0.55481239,513.7901,0.0016945609,272246.79
2012-02-06,37,-4.723,70.492,269.139,1.271,100.985,0.2,0.915,-9999,-3.6769583,50.643354,-9999,401.893,0.874,33.999,36.651,-5.93044,9.52935,-0.488348,-1.665,-7.665,1.0540148,0.58192755,567.87567,0.0018734314,274452.71
