time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,13.235,70.372,309.372,3.194,98.833,0,2.185,0.35955442,-7.1411458,12.467667,373.43648,379.043,10.304,-9999,-9999,2.57675,10.6513,-21.7814,16.13,8.535,0,0.84949642,445.49771,0.0075894958,306790.66
2012-01-02,2,8.697,30.226,300.917,2.004,98.698,0.8,2.91,0.70283511,-24.799978,5.8250222,352.72651,401.567,9.312,-9999,-9999,-2.62739,3.98674,-48.021,10.395,7.325,0,0.83842283,358.67426,0.005842124,297861.55
2012-01-03,3,9.106,61.516,269.729,3.958,99.373,0,2.632,-9999,-9999,-9999,-9999,391.192,8.727,-9999,-9999,-2.75317,7.49637,-49.6898,11.5715,6.8405,0,-9999,758.63657,0.0047697163,295591.57
2012-01-04,4,9.86,53.625,284.923,4.597,99.192,0,4.152,-9999,-9999,-9999,-9999,389.24,9.381,-9999,-9999,-1.48974,7.54294,-47.899,11.8665,7.8275,0,-9999,861.76256,0.0047544097,296311.07
2012-01-05,5,10.401,28.387,301.644,4.09,98.51,4.444,6.121,-9999,-9999,-9999,-9999,394.885,9.216,-9999,-9999,-0.676531,2.75509,-49.6702,12.375,8.5465,0,-9999,718.02478,0.0053941294,298454.08
2012-01-06,6,8.088,70.622,275.195,5.17,98.769,0.202,5.456,-9999,-9999,-9999,-9999,395.022,8.955,-9999,-9999,-3.43418,10.1082,-45.0451,9.96,5.996,0,-9999,1155.9066,0.0035446928,291505.92
2012-01-07,7,7.804,64.665,281.579,3.775,99.243,0,4.497,-9999,-9999,-9999,-9999,395.484,8.915,-9999,-9999,-3.76291,9.08442,-38.5531,9.9455,4.7925,0,-9999,789.32451,0.0042761672,293049.19
2012-01-08,8,9.733,63.151,288.265,4.78,99.097,0,4.685,-9999,-9999,-9999,-9999,393.563,9.083,-9999,-9999,-2.83508,9.93359,-40.7826,11.422,7.451,0,-9999,913.81883,0.0045783836,295743.37
2012-01-09,9,7.721,82.186,256.633,4.305,99.382,0,4.022,-9999,-9999,-9999,-9999,394.542,8.552,-9999,-9999,-4.27658,18.5628,-46.2982,11.7125,4.0155,0,-9999,936.18312,0.0038992751,292023.54
2012-01-10,10,5.794,82.575,256.223,2.147,99.543,0,3.464,-9999,-9999,-9999,-9999,404.706,7.356,-9999,-9999,-5.91495,15.9411,-21.2878,12.43,1.312,0,-9999,471.6159,0.0044289504,291411.1
2012-01-11,11,5.401,81.075,255.719,1.716,99.711,0.202,1.154,-9999,-9999,-9999,-9999,405.937,7.492,-9999,-9999,-6.73324,13.439,-18.5827,11.306,1.9775,0,-9999,377.60676,0.0045363992,291284.75
2012-01-12,12,4.009,82.854,245.977,1.131,99.504,0,0.889,-9999,-9999,-9999,-9999,398.848,8.293,-9999,-9999,-7.98529,10.6574,-12.4372,10.4735,-0.2565,0,-9999,264.06153,0.0043913475,289523.16
2012-01-13,13,4.436,84.766,250.544,1.992,99.077,0,3.397,-9999,-9999,-9999,-9999,406.52,7.276,-9999,-9999,-7.43202,11.1875,-17.6794,10.869,-0.4215,0,-9999,476.97388,0.0040230722,289031.61
