time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,23.661,171.391,415.096,3.033,100.748,4.6,2.72,0.43714286,127.64187,19.398958,-9999,408.018,-9999,20.566,21.292,-9999,108.44,15.7309,26.54,22.35,0.87331251,0.89832296,225.62854,0.016334001,339130.06
2012-01-02,2,25.024,157.437,412.405,4.215,100.633,3.2,3.358,0.41770833,108.15375,18.561458,-9999,400.095,-9999,20.139,20.729,-9999,107.817,-7.39642,26.545,23.27,1.0736544,0.89453624,296.04327,0.017177777,342609.31
2012-01-03,3,25.783,175.509,412.982,5.856,100.725,0,3.402,0.47272727,116.97688,22.3325,-9999,395.863,-9999,20.064,19.896,-9999,126.676,2.83806,27.15,24.785,0.97808686,0.88711923,404.0937,0.017051224,343055.73
2012-01-04,4,25.92,196.496,413.178,5.699,100.758,0.4,3.51,0.50166667,134.05875,24.585625,-9999,394.944,-9999,20.081,18.938,-9999,136.462,10.808,27.5,24.965,0.92661099,0.8887939,389.25329,0.017315167,343853.27
2012-01-05,5,24.9,82.561,412.048,3.267,100.721,11.4,2.254,0.300625,56.392292,9.9485417,-9999,406.044,-9999,20.622,20.25,-9999,45.548,-14.2957,25.76,23.895,1.2,0.89245929,227.71305,0.017612943,343572.61
2012-01-06,6,24.837,202.404,413.573,4.065,100.679,20.6,1.992,0.35829787,154.17437,22.889167,-9999,406.382,-9999,21.687,21.646,-9999,141.033,23.0486,27.81,21.765,0.85952965,0.89840275,287.84844,0.0170423,342082.68
2012-01-07,7,25.709,148.992,417.522,4.251,100.671,4,3.38,0.50166667,104.03875,17.832708,-9999,398.659,-9999,21.761,21.292,-9999,125.459,-8.08703,27.165,24.475,1.0689009,0.89310511,287.50573,0.017981573,345307.23
2012-01-08,8,25.085,146.329,414.898,4.125,100.7,7.2,3.12,0.44808511,100.71792,17.819583,-9999,402.326,-9999,20.253,20.708,-9999,97.4161,0.533024,27.405,22.165,0.99455815,0.89144236,288.33146,0.017295924,342965.98
2012-01-09,9,24.949,159.196,417.065,3.732,100.65,8.2,2.312,0.34458333,111.44625,18.485208,-9999,398.183,-9999,20.247,21.833,-9999,114.035,0.954756,27.26,22.3,0.99169703,0.89596419,261.26725,0.017390229,343065.07
2012-01-10,10,25.43,182.431,415.563,4.268,100.6,28,2.93,0.44782609,135.86979,21.21,-9999,394.929,-9999,20.204,22.25,-9999,134.731,6.25775,27.345,23.495,0.95561525,0.89584612,293.26034,0.017640422,344173.96
2012-01-11,11,24.963,137.922,413.046,4.003,100.612,2,2.085,0.28869565,91.404167,15.129375,-9999,397.236,-9999,20.465,21.396,-9999,84.798,-2.06643,27.07,22.13,1.0249775,0.90114839,281.1921,0.017242454,342709.7
2012-01-12,12,23.797,81.316,417.857,2.724,100.708,35.6,2.508,0.36234043,47.593542,9.0608333,-9999,402.923,-9999,21.177,22.979,-9999,47.4853,-19.5364,25.545,22.045,1.2,0.89974385,200.10871,0.016686785,340148.7
2012-01-13,13,25.775,187.159,413.931,6.495,100.792,0,4.625,0.76255319,121.17687,23.074583,-9999,389.412,-9999,21.15,21.354,-9999,169.069,-10.8934,26.93,25.055,1.068869,0.89024311,452.88528,0.016627409,341988.15
2012-01-14,14,25.579,230.761,411.601,6.918,100.792,5.2,4.211,0.64851064,151.94563,26.811458,-9999,392.828,-9999,21.865,21.729,-9999,157.035,5.95895,27.285,23.785,0.96344067,0.89590712,491.23638,0.016119552,340521.53
2012-01-15,15,25.134,123.819,417.845,5.61,100.821,14,3.584,0.51583333,87.121667,14.278542,-9999,393.529,-9999,20.174,20.771,-9999,105.219,-15.3991,26.56,23.3,1.1714442,0.89660539,400.27285,0.016398612,340771.95
2012-01-16,16,23.82,99.828,418.174,2.791,100.833,7,1.862,0.30145833,76.353958,10.405208,-9999,401.132,-9999,20.515,22.875,-9999,73.5179,-9.93482,26.15,22.295,1.1562494,0.90560732,204.99024,0.016649426,340078.42
2012-01-17,17,24.109,131.183,415.753,3.437,100.696,0.2,1.756,0.234375,92.573542,13.954583,-9999,408.672,-9999,20.479,21.229,-9999,71.9256,2.44493,26.745,22.395,0.96712502,0.90385272,251.0018,0.016591289,340223.52
2012-01-18,18,22.873,85.739,414.326,1.601,100.623,61.6,1.597,0.2373913,59.077708,8.873125,-9999,414.336,-9999,20.971,23.354,-9999,61.3226,-2.99846,23.71,22.155,1.0514103,0.90621577,121.50847,0.016399928,338502.93
2012-01-19,19,24.319,233.465,414.757,4.794,100.61,12,1.737,0.27979167,164.995,25.804167,-9999,407.234,-9999,20.99,22.833,-9999,120.665,29.8869,27.655,21.65,0.80148441,0.90047345,353.71393,0.015990191,338931.82
2012-01-20,20,24.941,170.55,415.148,4.839,100.604,3,2.935,0.38604167,119.05688,20.124167,-9999,401.673,-9999,21.503,21.375,-9999,115.68,4.51341,26.84,23.005,0.96244877,0.89445782,344.82742,0.016690075,341306.64
2012-01-21,21,23.754,86.482,411.779,2.431,100.606,40.2,2.957,0.39565217,62.140833,8.8845833,-9999,402.996,-9999,22.474,23.771,-9999,40.3375,-11.9646,25,22.095,1.2,0.90683756,178.17035,0.016840642,340490.12
2012-01-22,22,25.183,115.607,416.284,4.273,100.554,0.8,3.075,0.428125,74.433542,13.331042,-9999,396.084,-9999,20.25,22.021,-9999,97.7394,-14.8456,26.63,24.03,1.1790918,0.89660893,297.71678,0.017345658,343188.81
