time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,25.063,176.449,372.049,6.725,99.619,0,1.728,-9999,106.32473,21.228208,-9999,429.098,23.651,18.377,17.256,-5.50263,72.8086,18.2731,30.09,21.03,0.79937682,0.89261176,490.69104,0.015802613,339210.6
2012-01-02,2,24.919,157.035,387.853,3.32,99.652,0,1.501,-9999,106.70053,19.680979,-9999,433.898,23.952,17.994,17.194,-1.33049,61.6692,19.1053,30.425,20.865,0.76347362,0.88862932,231.35057,0.017792925,344041.66
2012-01-03,3,25.578,124.479,395.331,2.356,99.594,0.2,1.559,-9999,90.830553,15.290604,-9999,429.051,24.438,17.76,17.15,0.723198,51.1995,12.5593,29.515,23.135,0.80301856,0.89060136,156.14309,0.01922513,348284.46
2012-01-04,4,25.866,147.424,389.483,3.582,99.55,0,1.741,-9999,101.32718,18.073292,-9999,428.549,24.642,17.473,17.029,0.437906,67.0171,16.6467,30.18,23.12,0.80102864,0.89079403,237.82976,0.018811316,347539.37
2012-01-05,5,25.745,142.044,394.077,3.992,99.604,0.2,1.826,-9999,94.564296,17.871167,-9999,428.785,24.631,17.146,16.927,-0.367062,52.5863,16.2993,30.965,22.335,0.76338596,0.88824596,268.42243,0.018386803,346356.48
2012-01-06,6,25.672,130.33,397.049,2.993,99.587,0,1.808,0.18445563,83.833617,16.109646,-9999,434.398,24.625,16.879,16.835,-0.327094,57.3494,17.8291,30.56,22.195,0.7628431,0.88999123,199.15195,0.018936694,347657.85
2012-01-07,7,26.08,147.126,392.176,5.322,99.542,0,1.986,0.25311529,96.324192,17.350083,-9999,427.84,24.651,16.604,16.76,-0.630094,53.7845,9.17585,31.03,23.8,0.85425986,0.89451303,358.17728,0.017973035,345658.74
2012-01-08,8,25.645,157.837,390.124,4.291,99.521,0.2,1.885,0.24331457,110.33265,18.528104,-9999,429.292,24.536,16.229,16.66,-0.93876,74.9273,23.2376,30.64,22.765,0.76327995,0.89494461,291.4215,0.018086033,345504.06
2012-01-09,9,25.495,129.8,393.492,3.333,99.496,0,1.871,0.18263559,79.281571,16.388917,-9999,428.395,24.46,16.021,16.567,-0.970521,52.8694,12.958,29.815,21.33,0.80315188,0.88789221,225.0406,0.018516221,346428.78
2012-01-10,10,26.428,146.032,395.974,3.445,99.527,0.656,2.051,0.19345468,68.978697,14.170951,-9999,422.631,24.644,15.839,16.445,0.431451,56.5766,16.2992,29.985,23.4275,0.77634276,0.91154376,221.37867,0.019624684,350137.6
2012-01-11,11,26.438,155.612,398.546,3.794,99.511,1.552,1.334,-9999,109.29806,18.186222,-9999,426.657,24.818,15.685,16.336,0.744212,57.0296,18.4379,30.53,24.795,0.75568423,0.89536014,244.85585,0.019417558,349629.83
2012-01-12,12,26.878,170.549,395.049,5.87,99.569,0,1.551,-9999,145.37815,21.774879,-9999,425.338,24.755,15.521,16.222,0.145982,63.3189,21.9236,32.045,24.9855,0.74280904,0.88678016,380.68058,0.018658552,348174.52
