time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-15.785,2.245,119.482,0.487,96.485,0,1.504,-9999,-22.038412,1.611094,-9999,380.784,-0.614,-9999,-9999,-9999,12.969,-47.0441,-13.5645,-18.634,0,0.58219536,468.74181,0.00084408809,260762.05
2012-01-02,2,-18.989,1.707,105.094,0.399,96.482,0,1.893,-9999,-39.479167,0.88649167,-9999,380.401,-0.721,-9999,-9999,-9999,10.9594,-46.2996,-17.715,-20.004,0,0.65818604,494.66067,0.00062704099,256999.41
2012-01-03,3,-15.698,2.548,128.023,0.662,95.335,0.1,2.113,-9999,-47.447958,2.0047963,-9999,380.335,-0.759,-9999,-9999,-9999,7.49715,-32.8043,-13.937,-17.9385,0,0.55965606,670.86812,0.00074848088,260610.46
2012-01-04,4,-11.113,2.641,142.231,0.855,96.353,0.1,0.845,-9999,-16.484704,1.5039992,-9999,380.784,-0.791,-9999,-9999,-9999,12.969,-47.0441,-10.1185,-12.9975,0,0.63715332,605.29623,0.0011437011,266206.44
2012-01-05,5,-12.858,2.855,165.064,0.715,95.614,0,1.371,-9999,-37.508569,1.8350725,-9999,380.401,-0.831,-9999,-9999,-9999,10.9594,-46.2996,-11.941,-14.104,0,0.60873259,569.3569,0.0010201969,264143.95
2012-01-06,6,-10.398,3.167,183.614,0.746,96.38,0,1.033,-9999,-18.073861,1.9875546,-9999,380.335,-0.826,-9999,-9999,-9999,7.49715,-32.8043,-7.918,-14.5395,0,0.61440808,485.23822,0.0013129887,267348.23
2012-01-07,7,-8.428,2.132,199.103,1.096,95.17,0.2,2.53,-9999,-23.70463,1.2965337,-9999,380.784,-0.862,-9999,-9999,-9999,12.969,-47.0441,-6.4395,-10.131,0,0.62184017,647.32555,0.0014049066,269557.88
2012-01-08,8,-11.456,2.896,206.398,0.546,95.957,10.5,2.234,-9999,-5.9659277,2.0690692,-9999,380.401,-0.834,-9999,-9999,-9999,10.9594,-46.2996,-8.894,-15.631,0,0.58327486,371.33192,0.0013030054,266259.98
2012-01-09,9,-14.922,2.244,185.182,0.444,96.269,3,2.999,-9999,-5.4991879,1.8525137,-9999,380.335,-0.892,-9999,-9999,-9999,7.49715,-32.8043,-9.8605,-18.0515,0,0.54778286,391.74367,0.00095968021,261918.34
2012-01-10,10,-5.311,2.002,240.187,1.083,95.921,4.281,5.107,-9999,-7.9297077,1.2845592,-9999,380.784,-0.791,-9999,-9999,-9999,12.969,-47.0441,-3.319,-9.4335,0,0.60914771,494.10566,0.0019727894,274110.17
2012-01-11,11,-2.043,2.334,247.388,1.897,96.421,4.416,4.441,-9999,-9.2240896,1.1272618,-9999,380.401,-0.692,-9999,-9999,-9999,10.9594,-46.2996,-0.9835,-3.271,0,0.67432057,738.50821,0.0021743861,277898.5
2012-01-12,12,-2.493,3.288,263.077,1.591,95.225,3.662,2.171,-9999,-12.236187,2.04661,-9999,380.335,-0.631,-9999,-9999,-9999,7.49715,-32.8043,-0.9225,-6.7575,0,0.61635246,619.31241,0.0022893436,277733.64
2012-01-13,13,-10.265,3.928,212.985,0.627,96.338,3.308,2.196,-9999,-7.7708083,2.8776448,-9999,380.784,-0.653,-9999,-9999,-9999,12.969,-47.0441,-7.2695,-11.6045,0,0.57716794,393.90464,0.0014095362,267723.27
2012-01-14,14,-4.33,2.641,257.898,1.042,95.46,8.416,3.104,-9999,-3.8720271,1.6699296,-9999,380.401,-0.61,-9999,-9999,-9999,10.9594,-46.2996,-0.8705,-10.418,0,0.61262889,438.12486,0.0022161796,275704.55
2012-01-15,15,-1.952,3.502,242.201,1.28,93.751,2.135,5.998,-9999,-9.1729042,2.1621651,-9999,380.335,-0.519,-9999,-9999,-9999,7.49715,-32.8043,2.2775,-5.155,0,0.61827294,461.52247,0.0026705637,279230.4
2012-01-16,16,-8.212,4.484,209.088,0.916,94.51,0.255,1.72,-9999,-17.348238,3.6571823,-9999,380.784,-0.545,-9999,-9999,-9999,12.969,-47.0441,-4.9895,-13.441,0,0.55077995,514.02976,0.0015696449,270186.8
2012-01-17,17,-7.868,4.301,252.07,0.432,94.293,7.713,2.155,-9999,-3.9941542,3.4013375,-9999,380.401,-0.559,-9999,-9999,-9999,10.9594,-46.2996,-6.225,-10.066,0,0.55840191,218.39198,0.0019522144,271488.95
2012-01-18,18,-9.068,4.339,234.643,0.557,96.415,3.122,1.551,-9999,-8.7513719,5.7331666,-9999,380.335,-0.533,-9999,-9999,-9999,7.49715,-32.8043,-6.114,-14.632,0,0.43079113,314.44302,0.0016329279,269484.73
2012-01-19,19,-13.818,5.137,157.529,0.703,96.085,0,1.51,-9999,-9999,-9999,-9999,380.784,-0.568,-9999,-9999,-9999,12.969,-47.0441,-11.353,-17.568,0,-9999,607.52559,0.00091201901,262908.71
