time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-9.86,0,233.877,0.476,93.12,1.5,8.501,-9999,-4.9520833,0,-9999,406.231,-12.329,-9999,-9999,-9999,0.52151,-23.5817,-6.85,-12.25,0,0,281.64158,0.0016204073,268657.47
2012-01-02,2,-9.4,0,247.738,0.505,94.009,1.7,6.927,-9999,-8.28125,0,-9999,406.838,-11.859,-9999,-9999,-9999,0.212356,-22.8229,-6.9,-11.4,0,0,289.88213,0.0016566764,269210.44
2012-01-03,3,-8.423,0,257.271,0.52,94.818,0.9,6.093,-9999,-7.05625,0,-9999,406.838,-11.408,-9999,-9999,-9999,0.448206,-26.2589,-5.35,-10.45,0,0,277.733,0.0017895441,270524.5
2012-01-04,4,-6.685,0,265.394,0.539,95.01,8.7,5.186,-9999,-5.9020833,0,-9999,406.231,-11.041,-9999,-9999,-9999,0.52151,-23.5817,-3.1,-9.4,0,0,253.46548,0.0020795961,272996.32
2012-01-05,5,-3.227,0,267.485,0.95,95.785,0,4.293,-9999,-10.954167,0,-9999,406.838,-10.756,-9999,-9999,-9999,0.212356,-22.8229,-1.3,-5.25,0,0,363.65376,0.0025174189,277566.16
2012-01-06,6,-6.365,0,278.286,0.389,96.346,0.1,2.578,-9999,-3.1081081,0,-9999,406.838,-10.483,-9999,-9999,-9999,0.448206,-26.2589,-3.9,-11.25,0,0,175.20767,0.0022074404,273637.53
2012-01-07,7,-15.894,0,200.397,0.21,96.431,0.3,2.239,-9999,1.25625,0,-9999,406.231,-10.251,-9999,-9999,-9999,0.52151,-23.5817,-11.4,-19.55,0,0,187.7452,0.0010129883,261074.75
2012-01-08,8,-17.783,0,201.409,0.304,95.995,0,2.414,-9999,0.0083333333,0,-9999,406.838,-10.196,-9999,-9999,-9999,0.212356,-22.8229,-10.5,-21.35,0,0,326.67142,0.00078771519,258613.12
2012-01-09,9,-4.387,0,256.856,0.328,93.709,4.4,5.183,-9999,-1.1145833,0,-9999,406.838,-10.205,-9999,-9999,-9999,0.448206,-26.2589,-2.4,-6.85,0,0,127.53978,0.0027203584,276907.71
2012-01-10,10,-4.471,0,245.765,0.665,94.251,2.5,4.225,-9999,-12.302083,0,-9999,406.231,-9.974,-9999,-9999,-9999,0.52151,-23.5817,-3.2,-6.3,0,0,270.07026,0.0024631466,276180.26
2012-01-11,11,-5.452,0,232.531,0.776,95.649,0.6,5.637,-9999,-17.98125,0,-9999,406.838,-9.67,-9999,-9999,-9999,0.212356,-22.8229,-3.7,-9.35,0,0,343.5007,0.0021499508,274411.37
2012-01-12,12,-17.381,0,157.867,0.369,96.794,0,3.046,-9999,-41.695833,0,-9999,406.838,-9.431,-9999,-9999,-9999,0.448206,-26.2589,-10.25,-21.75,0,0,392.0296,0.00077308218,258980.55
2012-01-13,13,-20.781,0,186.796,0.275,96.117,0.1,2.352,-9999,-15.802083,0,-9999,406.231,-9.3,-9999,-9999,-9999,0.52151,-23.5817,-18.8,-23.2,0,0,378.8874,0.00058282717,255087.91
2012-01-14,14,-19.329,0,208.557,0.284,94.634,0.1,2.541,-9999,-13.9125,0,-9999,406.838,-9.328,-9999,-9999,-9999,0.212356,-22.8229,-17.9,-21.55,0,0,345.774,0.00068909603,256812.85
2012-01-15,15,-20.954,0,138.974,0.245,94.894,0,3.536,-9999,-11.689583,0,-9999,406.838,-9.453,-9999,-9999,-9999,0.448206,-26.2589,-18.05,-23,0,0,337.94443,0.00059852836,254953.3
2012-01-16,16,-17.283,0,154.314,0.569,94.675,0,4.306,-9999,-26.322917,0,-9999,406.231,-9.626,-9999,-9999,-9999,0.52151,-23.5817,-13.05,-20.65,0,0,646.30346,0.0006674336,258814.92
2012-01-17,17,-14.725,0,147.616,0.671,95.155,0,3.449,-9999,-37.1875,0,-9999,406.838,-9.845,-9999,-9999,-9999,0.212356,-22.8229,-13.05,-16.35,0,0,623.33508,0.00084299729,261824.62
2012-01-18,18,-9.415,0,222.272,0.874,94.685,0.1,4.993,-9999,-13.335417,0,-9999,406.838,-10.019,-9999,-9999,-9999,0.448206,-26.2589,-5.55,-17,0,0,537.53139,0.0013996575,268552.82
2012-01-19,19,-2.469,0,272.257,0.705,95.466,8.4,6.355,-9999,-2.8229167,0,-9999,406.231,-10.137,-9999,-9999,-9999,0.52151,-23.5817,-1.05,-7.05,0,0,249.02038,0.0028685504,279205.78
2012-01-20,20,-5.631,0,273.776,0.548,96.509,0.3,3.8,-9999,-11.408333,0,-9999,406.838,-10.08,-9999,-9999,-9999,0.212356,-22.8229,-1.35,-10.15,0,0,238.79287,0.0022425053,274462.86
2012-01-21,21,-8.91,0,221.723,0.742,97.007,0.4,2.599,-9999,-9.375,0,-9999,406.838,-9.873,-9999,-9999,-9999,0.448206,-26.2589,-6.25,-12.45,0,0,427.22912,0.0015287611,269383.1
2012-01-22,22,-12.59,0,229.708,0.76,98.063,0.1,3.362,-9999,-17.75625,0,-9999,406.231,-9.669,-9999,-9999,-9999,0.52151,-23.5817,-10.4,-15.05,0,0,598.16988,0.00099784923,264357.42
2012-01-23,23,-16.604,0,161.99,0.473,97.958,0,2.609,-9999,-20.370833,0,-9999,406.838,-9.509,-9999,-9999,-9999,0.212356,-22.8229,-14.45,-21.65,0,0,486.98099,0.00076504243,259741.34
2012-01-24,24,-25.646,0,135.727,0.254,97.134,0,2.545,-9999,-45.133333,0,-9999,406.838,-9.492,-9999,-9999,-9999,0.448206,-26.2589,-22.45,-27.45,0,0,546.53727,0.00032630737,249557.29
2012-01-25,25,-26.925,0,114.366,0.237,96.707,0,3.29,-9999,-40.5125,0,-9999,406.231,-9.615,-9999,-9999,-9999,0.52151,-23.5817,-23.15,-29.1,0,0,572.20088,0.00028460624,248167.64
2012-01-26,26,-14.19,0,185.229,0.58,95.764,0.8,7.374,-9999,-13.6375,0,-9999,406.838,-9.921,-9999,-9999,-9999,0.212356,-22.8229,-9.9,-22,0,0,499.80832,0.00095396901,262639.72
2012-01-27,27,-17.929,0,145.616,0.3,96.2,0.7,3.555,-9999,-32.116667,0,-9999,406.838,-10.215,-9999,-9999,-9999,0.448206,-26.2589,-10.9,-22.35,0,0,325.92375,0.00077656904,258438.53
2012-01-28,28,-20.881,0,169.824,0.364,96.678,0.2,3.126,-9999,-26.420833,0,-9999,406.231,-10.316,-9999,-9999,-9999,0.52151,-23.5817,-17,-25.2,0,0,529.02387,0.00051560775,254819.36
2012-01-29,29,-16.925,0,217.516,0.31,96.26,1.5,3.528,-9999,1.0270833,0,-9999,406.838,-10.436,-9999,-9999,-9999,0.212356,-22.8229,-15.05,-20.55,0,0,310.56051,0.00085521522,259644.16
2012-01-30,30,-19.319,0,202.421,0.288,96.27,0.9,1.596,-9999,-18.183333,0,-9999,406.838,-10.504,-9999,-9999,-9999,0.448206,-26.2589,-16.4,-21.5,0,0,350.91407,0.000675532,256788.99
