time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,7.223,53.604,315.783,2.246,99.437,0,1.864,-9999,-9999,-9999,-9999,411.785,3.957,21.254,21.339,-5.80394,12.1349,-7.5798,10.9135,6.303,1.2,-9999,449.27393,0.0049707219,294201.67
2012-01-02,2,6.774,25.013,363.979,1.945,99.414,2.34,3.661,-9999,-9999,-9999,-9999,413.264,7.563,21.238,20.798,2.59083,9.17425,-12.4336,9.8335,6.303,0,-9999,394.783,0.0049672845,293741.83
2012-01-03,3,7.166,51.551,350.241,2.198,99.283,10.26,2.065,-9999,-9999,-9999,-9999,412.05,9.676,21.246,21.502,4.23838,12.5836,-9.09188,10.189,6.303,1.2,-9999,440.26942,0.0049837476,294176.95
2012-01-04,4,9.024,60.456,331.361,2.42,98.733,0,2.116,-9999,-9999,-9999,-9999,406.782,8.822,21.147,21.946,-0.402979,15.5311,-7.39537,13.27,6.303,1.2,-9999,432.04359,0.0057354371,297923.46
2012-01-05,5,8.96,83.91,308.462,2.243,97.69,0.54,2.414,0.20147342,20.411953,-9999,-9999,400.245,8.37,21.112,22.025,-1.92033,18.8244,-4.58288,13.005,3.585,1.2,-9999,398.87863,0.0058786239,298217.11
2012-01-06,6,7.467,71.69,278.758,3.026,98.671,6.84,4.224,-9999,0.9975668,-9999,-9999,395.379,7.189,21.211,23.681,-4.83227,20.32,-9.73445,11.384,4.46,1.2,-9999,621.01891,0.0046233291,293578.41
2012-01-07,7,8.05,110.174,255.541,3.331,99.045,0,2.786,-9999,-9999,-9999,-9999,399.399,5.031,21.287,24.413,-8.10779,19.9545,-1.2295,12.6685,6.1625,1.0656609,-9999,666.65172,0.004677887,294300.72
2012-01-08,8,7.55,98.539,278.989,3.451,98.879,0,2.307,-9999,-9999,-9999,-9999,399.272,4.835,21.267,24.204,-6.12144,18.2299,-4.59764,12.358,5.5015,1.2,-9999,721.44517,0.0043819392,293058.35
2012-01-09,9,6.889,111.052,256.683,3.396,99.407,0,2.44,-9999,-9999,-9999,-9999,399.16,4.66,21.274,24.112,-5.97333,19.0617,-2.91673,11.923,5.037,1.1806587,-9999,743.4361,0.0041038956,291698.93
2012-01-10,10,6.568,100.104,270.782,3.515,99.859,0,1.545,-9999,-9999,-9999,-9999,398.755,3.886,21.261,24.108,-6.5146,17.7125,-5.16894,11.315,4.5175,1.2,-9999,794.50959,0.0038750837,290804.3
2012-01-11,11,7.444,111.532,266.498,4.72,100.219,0,2.447,-9999,-9999,-9999,-9999,398.159,4.529,21.195,23.908,-4.38046,18.344,-2.70135,13.77,4.29,1.1726913,-9999,1079.4127,0.0034850871,290709.69
2012-01-12,12,6.676,112.831,272.938,4.161,99.573,0,1.729,-9999,16.176821,-9999,-9999,402.886,4.51,21.248,23.871,-4.33948,17.6598,1.4006,14.085,0.8,0.92651781,-9999,974.39936,0.0035263644,290041.04
