time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,1.804,24.375,276.61,0.76,85.53,3.2,1.104,0.20596935,-16.001501,5.4023226,310.52173,386.694,1.484,32.117,40.43,1.94361,2.33995,-1.1751,3.76,-1.2575,1.2,0.81857595,200.8127,0.004521329,287632.09
2012-01-02,2,1.717,8.668,299.288,0.421,85.253,8.553,1.503,-9999,10.480105,1.352195,317.87097,386.594,1.338,36.228,41.2,2.00239,2.43544,-6.81902,2.973,-0.4195,0,0.86505303,109.30865,0.0047531094,288124.11
2012-01-03,3,1.658,30.552,287.565,0.643,85.356,4.994,1.375,-9999,20.862884,5.1576895,316.60628,386.913,1.228,38.543,41.177,2.02122,2.6341,1.33922,3.6775,-0.6095,0.66294686,0.85556611,170.17039,0.0045633064,287590.31
2012-01-04,4,1.897,40.18,285.083,0.86,85.165,0,1.07,-9999,5.6370908,6.4430571,312.3721,386.639,1.259,38.088,41.086,1.90068,2.65952,6.66795,4.0835,0.2745,0.28512769,0.86180535,227.40503,0.0045014129,287675.77
2012-01-05,5,0.791,50.82,279.463,0.662,84.244,0,2.004,-9999,12.742356,8.1608838,308.53246,386.761,1.298,36.958,41.538,1.79745,3.32076,-2.08876,2.6685,-0.6615,1.2,0.86163511,185.94498,0.0043008381,286062.8
2012-01-06,6,-2.208,102.778,263.246,1.544,83.179,0.4,4.257,-9999,63.709413,21.337968,295.49606,384.226,1.317,36.121,42.611,1.78116,3.73326,32.3313,0.729,-3.917,0.10351603,0.82808039,584.40386,0.0027380686,279141.88
2012-01-07,7,-2.527,120.877,187.75,2.356,84.553,0,2.704,-9999,-6.4878042,21.735309,291.84573,382.512,1.313,35.505,42.964,1.78132,4.91457,40.2846,-0.212,-4.0035,0.10873142,0.84759163,1016.3735,0.0020049736,276988.55
2012-01-08,8,0.038,117.307,197.316,3.558,84.683,1.6,2.149,-9999,-7.4485392,19.810181,300.56769,387.231,1.217,34.695,42.613,2.02113,5.11398,20.5053,3.4915,-2.3315,0.19961451,0.85552371,1426.7992,0.0018904871,279280.16
2012-01-09,9,-2.894,107.722,202.084,1.716,85.013,0,2.154,-9999,-12.037398,18.737104,292.00735,383.997,1.142,34.135,42.292,2.0984,4.93831,25.9531,-0.7295,-4.5265,0.1598603,0.8518327,700.68623,0.0023635206,277516.08
2012-01-10,10,-1.641,114.364,215.469,2.081,85.539,0.2,1.644,-9999,13.454486,18.077481,297.1249,387.231,1.072,33.714,42.027,2.15958,5.58987,16.7474,3.3505,-4.7315,0.25024858,0.8635059,801.14536,0.0024326145,278948.08
2012-01-11,11,-1.484,123.496,198.164,1.928,85.828,0,1.971,-9999,2.8147583,20.445389,297.1195,381.041,1.026,33.422,41.784,2.15841,4.67256,32.499,0.44,-3.7555,0.12570255,0.85796032,719.54344,0.0025813729,279477.76
2012-01-12,12,1.876,122.258,200.147,3.331,85.903,0.6,1.385,-9999,-7.7136354,19.879182,308.31285,386.616,0.98,33.126,41.588,2.10798,3.55216,34.4708,7.302,-1.832,0.093421449,0.86014088,1090.6464,0.0026580625,283046.29
2012-01-13,13,0.084,122.989,211.117,2.018,85.158,0,1.981,-9999,9.1822604,20.138343,302.95077,387.309,0.953,32.897,41.414,2.06676,5.35231,15.9819,3.362,-2.271,0.25087922,0.85929772,670.50558,0.0030231161,282157.96
2012-01-14,14,-2.255,130.956,223.52,1.386,84.776,0,2.057,-9999,37.388679,19.799521,295.86575,381.636,0.919,32.692,41.266,2.02459,4.56252,32.8372,0.152,-5.9965,0.12199343,0.8686647,517.28495,0.0027894414,279223.08
2012-01-15,15,-5.093,128.997,169.306,1.825,84.722,0,1.73,-9999,-7.7642312,20.873462,283.06317,382.716,0.826,32.466,40.974,2.16969,4.47512,32.5363,-0.907,-7.1595,0.12091187,0.86072331,915.28782,0.0017383696,273743.21
