time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,7.394,87.609,250.129,3.13,101.993,0,1.214,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.35331,0.836536,-9999,-9999,0.91790494,-9999,649.61778,0.0043770236,292889.28
2012-01-02,2,10.206,53.684,316.493,2.162,102.048,2.031,2.241,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.65866,-2.31268,-9999,-9999,1.2,-9999,352.96417,0.006289779,300497.23
2012-01-03,3,11.756,39.964,336.415,1.894,101.828,5.397,1.774,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.60513,-0.884041,-9999,-9999,1.1315324,-9999,277.19512,0.007299689,304579.75
2012-01-04,4,10.242,53.668,330.293,2.089,101.746,0.587,1.208,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.35331,0.836536,-9999,-9999,0.91790494,-9999,339.22812,0.0063719558,300738.85
2012-01-05,5,10.121,51.457,320.747,2.191,100.829,0.571,2.332,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.65866,-2.31268,-9999,-9999,1.2,-9999,360.11722,0.0063042509,300447.98
2012-01-06,6,9.313,81.674,251.019,3.7,99.959,0.947,5.978,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.60513,-0.884041,-9999,-9999,1.1315324,-9999,689.14856,0.0050047573,296387.21
2012-01-07,7,7.254,94.589,226.834,3.376,101.426,0,2.949,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.35331,0.836536,-9999,-9999,0.91790494,-9999,718.25797,0.0041894728,292279.7
2012-01-08,8,7.372,96.83,252.663,2.951,101.338,0,2.13,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.65866,-2.31268,-9999,-9999,1.2,-9999,607.20004,0.0045063131,293190.39
2012-01-09,9,6.478,88.027,247.959,2.693,101.844,0,2.092,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.60513,-0.884041,-9999,-9999,1.1315324,-9999,582.12967,0.0042670259,291693.7
2012-01-10,10,6.91,95.839,240.353,2.942,102.367,0,1.819,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,9.35331,0.836536,-9999,-9999,0.91790494,-9999,625.57215,0.0042709383,292137.65
2012-01-11,11,6.647,94.075,235.597,2.72,102.695,0,1.814,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,8.65866,-2.31268,-9999,-9999,1.2,-9999,581.79293,0.0042839373,291905.83
2012-01-12,12,7.637,92.303,240.438,2.843,102.641,0,1.264,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.60513,-0.884041,-9999,-9999,1.1315324,-9999,570.57398,0.0046290762,293763.63
