time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,2.056,71.115,239.401,1.998,84.636,0,1.133,0.11659514,-40.604981,56.789171,294.33169,406.335,0.012,46.446,37.335,-9999,-3.91424,-20.2488,6.842,-2.051,0.16199286,0.5560022,569.42845,0.0037481719,285952.46
2012-01-02,2,-0.434,32.798,293.79,0.221,84.452,11.3,1.324,0.21942607,-1.7811467,23.18917,304.94171,412.449,0.056,46.335,37.139,-9999,-3.97376,-17.3828,1.559,-2.77,0.18606742,0.58581279,65.137954,0.0042097325,284603.91
2012-01-03,3,-1.79,77.271,260.436,1.021,84.836,1.9,1.975,-9999,-23.852693,77.583453,287.59762,417.338,0.128,46.245,37.3,-9999,-3.63659,-23.2397,0.383,-4.3205,0.13530848,0.49899114,354.30063,0.0031891386,280689.65
2012-01-04,4,-2.342,41.959,222.636,1.746,84.399,0,1.173,-9999,-47.691115,35.614943,276.67092,410.541,0.174,46.195,37.659,-9999,-1.15636,-33.514,0.5145,-6.051,0.033352985,0.54089039,683.98037,0.0025111842,278440
2012-01-05,5,-2.411,70.646,243.024,2.211,83.219,0.5,1.647,-9999,-29.350768,59.733407,283.23663,405.049,0.206,46.202,38.149,-9999,0.86055,-28.9587,0.8335,-5.6725,0,0.54184937,924.86259,0.0021786401,277539.3
2012-01-06,6,-4.636,85.776,221.117,0.979,83.39,0,2.06,-9999,-45.238512,74.112305,278.01515,405.371,0.232,46.248,38.621,-9999,-2.84673,-28.8531,-3.383,-6.456,0.08980269,0.53647451,418.07594,0.0025089235,276128.88
2012-01-07,7,-2.829,68.129,206.872,2.656,84.287,0,1.344,-9999,-52.949388,58.784277,269.1659,410.116,0.247,46.313,38.974,-9999,-0.16653,-32.0647,0.2815,-5.154,0.005166728,0.53681539,1235.1703,0.0017062046,275938.12
2012-01-08,8,-3.01,92.348,213.451,1.486,84.253,0,1.848,-9999,-48.736404,77.152286,277.36994,407.881,0.257,46.387,39.11,-9999,-3.26392,-28.9837,-0.5285,-5.162,0.10121429,0.54482504,595.23084,0.0025237498,277800.07
2012-01-09,9,-3.719,91.281,200.65,1.858,84.841,0,1.465,0.21325963,-54.624187,78.112142,268.44269,412.164,0.266,46.447,39.135,-9999,-0.393156,-32.0239,-0.488,-6.466,0.01212806,0.5388707,829.21082,0.0020471606,275896.06
2012-01-10,10,0.128,92.201,212.368,3.179,85.262,0,1.586,-9999,-57.04921,78.247508,283.37129,408.882,0.262,46.475,39.089,-9999,5.46792,-36.2873,4.0075,-4.887,0,0.54093169,1199.6926,0.0021841527,280104.77
2012-01-11,11,1.208,91.157,225.457,3.177,85.526,0,1.572,0.1903364,-45.333658,75.911547,286.03613,409.697,0.263,46.478,39.044,-9999,5.02093,-35.7182,5.5115,-3.007,0,0.54562634,1085.6032,0.0025435907,282088.77
2012-01-12,12,0.643,95.226,212.038,3.098,85.141,0,1.111,-9999,-48.159117,76.968408,278.45387,408.28,0.266,46.476,39.067,-9999,2.30759,-25.3148,5.108,-1.929,0,0.55301447,1103.7425,0.0024181422,281207.32
2012-01-13,13,0.302,96.145,206.727,3.965,84.399,0,1.536,-9999,-55.427046,77.498415,280.79973,405.933,0.262,46.476,39.081,-9999,3.01381,-33.2028,5.1125,-4.244,0,0.55369218,1645.0157,0.0016836866,279028.48
2012-01-14,14,-5.92,100.611,177.809,2.468,84.447,0,1.037,0.24981192,-57.304985,80.676242,255.04808,410.63,0.251,46.463,39.054,-9999,4.72107,-39.1204,-3.6575,-9.064,0,0.55498114,1534.284,0.0010813648,271269.56
2012-01-15,15,-7.633,100.791,179.874,2.385,84.301,0,1.252,0.15959407,-46.863581,80.76071,246.76731,410.145,0.212,46.427,38.956,-9999,5.10191,-24.2573,-2.4775,-10.576,0,0.55516415,1784.5733,0.0007863015,268810.34
2012-01-16,16,-8.312,100.298,182.495,1.596,84.517,0,1.295,-9999,-44.061115,79.416488,247.4385,413.256,0.109,46.372,38.717,-9999,2.81477,-18.9042,-4.0695,-10.9725,0,0.55809635,1036.6033,0.0012352415,269250.29
2012-01-17,17,-2.314,99.429,204.409,3.137,84.877,0,1.491,-9999,-47.885752,79.722274,272.00158,407.191,-0.007,46.298,38.374,-9999,5.95347,-32.8226,3.4105,-8.4005,0,0.55500024,1503.9999,0.0014830353,275897.77
2012-01-18,18,-0.551,102.489,215.159,3.364,85.346,0,1.334,-9999,-46.275517,82.208333,281.71527,406.237,0.005,46.2,38.107,-9999,4.76044,-25.3399,3.3,-3.0795,0,0.55490243,1391.9407,0.0018297887,278536.47
2012-01-19,19,1.443,39.663,251.246,3.67,84.922,0,1.916,-9999,-34.484971,30.622873,294.74515,404.115,0.013,46.099,38.024,-9999,8.89822,-42.4783,4.989,-2.0295,0,0.5643097,1300.0224,0.0022828982,281673.21
2012-01-20,20,0.456,69.431,239.796,2.932,83.983,0,2.461,-9999,-41.636065,55.923386,294.87308,402.82,0.061,46.011,38.02,-9999,7.97778,-37.8303,4.14,-3.982,0,0.55387771,1041.8048,0.0025110241,281251.59
2012-01-21,21,-2.972,90.664,253.022,0.815,83.997,0,1.131,0.17075107,-17.851748,72.119554,286.748,408.747,0.076,45.948,38.117,-9999,1.49742,-17.4279,1.7315,-5.0265,0,0.55696044,301.79378,0.0030403184,279129.69
2012-01-22,22,3.116,89.439,229.951,4.145,83.73,0,2.056,-9999,-48.854552,72.859975,295.38419,400.661,0.075,45.913,38.251,-9999,8.64166,-43.5643,7.5105,0.416,0,0.55107557,1322.3351,0.0026010809,284150.03
2012-01-23,23,-0.529,84.586,218.896,2.839,84.034,0,1.338,-9999,-44.013033,66.637908,280.85737,404.227,0.077,45.892,38.379,-9999,6.47761,-27.5298,3.6195,-3.752,0,0.55934277,1089.9381,0.0022549462,279621.47
