time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,14.33,52.164,362.125,1.784,101.891,0,1.83,0.41884385,11.889648,5.1426833,396.32271,408.222,12.999,38.659,27.394,1.23673,8.82863,-0.878904,15.8,8.82,1.1105578,0.91026032,222.04074,0.008921182,311220.36
2012-01-02,2,14.287,19.133,370.308,1.418,102.023,0.6,1.715,-9999,-9.4457875,2.4936865,395.74187,408.02,12.764,38.278,27.545,2.13224,11.209,-35.7505,15.09,13.575,0,0.88469401,175.05092,0.0091072048,311642.2
2012-01-03,3,12.741,47.686,333.635,4.071,101.959,0.2,2.065,-9999,-11.355113,4.8428419,386.51771,411.408,11.313,37.782,27.427,-11.2598,12.6004,-21.0201,14.635,7.765,0,0.90780604,606.11275,0.0065189721,303617.89
2012-01-04,4,13.213,52.247,327.745,3.719,102,0,2.474,0.52307752,-15.642221,5.2543435,388.84562,413.384,11.049,37.176,27.178,-5.38217,18.7356,-22.4555,15.675,6.4105,0,0.90862225,529.3261,0.00701643,305335.89
2012-01-05,5,13.583,61.869,326.243,4.117,101.341,0,3.908,0.77730825,-10.706642,6.4915142,390.66667,412.816,11.042,36.702,26.922,-1.82571,14.7545,-12.3237,15.39,12.045,1.2,0.90504,580.02047,0.0070452493,305779.79
2012-01-06,6,12.814,93.169,313.318,5.787,100.794,1,4.518,0.77049718,9.0381875,8.6001765,385.99313,412.508,10.111,36.32,26.738,-15.9359,15.5434,-2.67553,15.27,11.39,1.2,0.91549331,920.57826,0.0055716862,301323.04
2012-01-07,7,10.72,78.876,318.425,3.975,101.728,0,1.516,0.43651406,15.694754,7.1388542,374.68937,415.105,9.119,35.7,26.486,-13.6908,24.3043,-1.47403,14.03,2.9875,1.0645647,0.9170044,678.39858,0.005460446,298940.46
2012-01-08,8,12.162,51.474,362.473,3.616,101.555,0,2.056,0.60410886,23.636527,5.5347392,383.80667,412.985,10.078,35.293,26.252,2.54417,0.402863,-11.6749,14.1,1.649,0,0.9029142,550.02706,0.0064869398,302955.91
2012-01-09,9,9.452,96.16,327.495,3.276,101.908,0,0.934,0.22280289,45.544958,7.787696,368.30875,420.506,9.124,35.008,26.084,-20.3871,11.7722,29.3715,16.58,0.8695,0.286124,0.92508063,591.52557,0.0052367636,297106.92
2012-01-10,10,7.734,93.796,328.827,2.208,102.482,0,0.641,0.12042644,53.591573,7.8093142,359.81583,425.892,6.91,34.345,25.886,-11.5738,12.3857,23.3997,15.525,-1.245,0.34611042,0.92314069,425.68025,0.0050663425,294954.28
2012-01-11,11,8.713,97.361,316.545,2.722,102.761,0,0.839,0.10162369,39.904833,8.43693,363.30292,423.54,7.301,34.019,25.697,-16.0993,13.9109,10.8718,15.59,-0.8975,0.56131495,0.9202543,503.56828,0.0051803138,296223.1
2012-01-12,12,6.172,99.657,319.685,1.522,102.74,0.2,0.471,0.076393083,59.627906,8.1895169,351.88771,433.391,6.261,33.559,25.535,-15.8005,14.3315,34.8795,15.03,-1.6375,0.29122554,0.92406322,314.46822,0.0048197871,292768.08
2012-01-13,13,12.217,33.243,361.798,3.66,102.041,0,1.552,0.32013723,6.7118667,3.9441771,383.74125,410.184,9.317,33.375,25.394,7.65603,29.2522,-31.8113,13.47,5.182,0,0.89393717,555.62138,0.0064604496,302944.96
2012-01-14,14,11.664,62.221,352.226,3.625,101.375,0,1.533,0.30546456,26.385317,6.1968967,381.22833,413.085,10.148,33.174,25.235,-1.00246,20.1662,8.83852,13.42,9.22,0.69527305,0.90942579,570.55035,0.0062099212,301762.87
2012-01-15,15,10.387,95.629,320.193,3.38,101.194,0,1.159,0.14042208,32.723646,8.4547687,372.61,409.575,8.627,32.733,25.117,-13.0653,16.8459,6.31164,15.82,4.6705,0.72744773,0.91876958,574.63472,0.0056826316,299161.26
2012-01-16,16,9.514,74.749,333.715,3.395,101.212,0,0.873,0.15011317,31.412025,6.9098829,368.78562,414.417,8.308,32.205,24.922,-7.00478,13.905,-0.142187,14.805,1.4465,1.0103312,0.91538112,613.89339,0.0052298483,297151.94
2012-01-17,17,8.822,103.863,306.118,4.692,102.127,0,1.088,0.15193733,33.590396,9.4718425,364.69875,414.525,7.584,31.746,24.686,-18.0132,20.1746,7.25686,15.085,-0.6055,0.73545484,0.91642603,958.09151,0.0040569696,293524.28
2012-01-18,18,8.257,101.756,332.075,2.369,102.766,0,0.558,0.092713854,62.01764,8.8884388,361.84542,432.555,7.171,31.253,24.429,-5.93524,11.2545,40.3528,14.9,-0.884,0.21807961,0.91966665,444.34873,0.0051865098,295780.31
2012-01-19,19,11.465,61.951,348.325,3.499,103.004,0,1.313,0.27009942,23.276565,6.6351098,379.45583,419.355,8.84,30.94,24.239,4.10014,21.3844,-13.7788,13.84,2.959,1.2,0.90325869,555.32939,0.0060789656,301235.49
2012-01-20,20,14.073,74.587,373.334,3.112,102.09,0,3.731,0.7945036,44.704548,7.514805,394.69,415.286,11.49,30.85,24.026,5.19396,14.5678,9.3506,14.875,13.46,0.60906248,0.90846967,410.1522,0.0079204327,308460.2
2012-01-21,21,13.656,80.376,365.103,3.944,101.646,0,2.363,0.61065846,44.543512,7.6648537,392.49354,413.299,11.492,30.609,23.848,1.73265,15.0918,2.06817,14.715,13.1,0.87947706,0.91293981,549.50639,0.0071764962,306181.27
2012-01-22,22,14.157,104.631,368.156,2.969,101.247,0,1.773,-9999,66.961648,9.403184,395.14479,413.026,11.973,30.268,23.604,2.54245,20.5474,14.9456,15.37,13.565,0.57891415,0.91754066,387.42177,0.0081297844,309068
2012-01-23,23,11.677,107.801,349.915,2.337,100.914,0,0.927,0.3048363,66.334544,8.4307665,381.45167,417.785,11.019,29.914,23.362,-12.5328,17.939,30.391,16.32,2.411,0.37117732,0.9274659,349.38451,0.0070460193,303866.18
2012-01-24,24,10.973,64.109,350.466,2.951,101.093,0,1.485,0.29087969,29.323658,6.9380731,377.13604,413.402,9.817,29.347,23.117,-2.60314,21.5041,-3.84812,13.51,3.1765,1.2,0.90234541,473.25912,0.0062648098,301205.64
2012-01-25,25,9.803,112.832,333.82,2.884,101.299,0,0.907,0.16524983,63.844204,9.8182221,371.08021,416.696,9.382,28.921,22.81,-15.2478,18.6191,30.7442,16.425,1.3155,0.37718507,0.91994941,499.00273,0.0056850305,298580.34
2012-01-26,26,7.88,75.804,342.584,1.682,101.479,0,0.942,0.18483,47.306833,7.6597931,362.10083,421.827,8.405,28.446,22.553,-3.79878,8.038,11.0104,15.04,-0.115,0.4219777,0.90822616,312.91333,0.0055059956,296200.14
2012-01-27,27,11.003,107.495,348.195,2.096,101.757,0,0.818,0.10291698,67.026615,9.7998435,377.63813,425.839,10.045,28.251,22.324,-3.09636,11.1239,34.4072,16.34,5.668,0.24431433,0.9164512,324.18704,0.0067666316,302490.34
2012-01-28,28,8.478,104.42,337.54,1.968,101.657,3.2,0.636,0.12789752,66.949852,9.524559,364.28062,423.742,8.678,27.927,22.151,-8.42241,21.9738,34.1234,15.825,1.262,0.39170939,0.91641059,356.76713,0.0055917352,297015.48
2012-01-29,29,7.517,32.819,359.865,0.349,100.991,10.2,1.044,0.17306083,27.805763,4.110279,360.03729,426.589,9.246,28.309,22.174,-8.58349,30.2994,-10.1905,9.815,3.334,1.2,0.88869864,62.511405,0.0061982633,297565.99
2012-01-30,30,8.597,60.763,340.168,1.298,101.077,1.2,1.608,0.1653151,28.325075,6.2705729,365.19937,426.39,8.531,28.825,22.643,-6.40987,43.6314,-22.8014,13.055,3.568,1.2,0.90645623,226.53175,0.0060947256,298392.55
2012-01-31,31,10.229,79.915,333.464,3.087,101.291,11.8,1.882,0.35255177,31.090479,7.9384425,373.57396,424.953,9.233,31.054,24.548,-3.05573,47.5571,-2.08349,12.29,7.375,1.0458176,0.90963994,523.61492,0.0057766019,299237.4
2012-02-01,32,7.275,72.931,314.682,2.652,100.703,0.6,1.849,0.23546584,21.1002,7.202074,358.35188,433.519,8.054,40.948,32.196,-13.7579,38.8096,-6.8286,10.375,4.6705,1.2,0.91012358,540.34274,0.0046783334,293522.96
2012-02-02,33,6.427,56.955,339.658,1.572,100.396,2.4,1.882,0.34352853,34.992225,6.1362719,354.53188,437.974,7.96,39.629,29.878,-8.54113,34.7948,0.560162,9.085,4.7785,0.98415606,0.90273977,320.17718,0.0050060815,293490.09
2012-02-03,34,6.245,30.213,323.003,2.324,100.481,0.4,2.926,0.39696981,-4.7567531,3.5611283,353.33896,424.819,6.934,39.393,29.332,-15.3281,37.9621,-26.2444,8.08,4.976,1.2,0.89456047,499.76208,0.004458918,291939.27
2012-02-04,35,3.371,43.08,318.804,0.382,101.192,19.2,1.592,0.18352587,16.521621,4.8368942,339.48771,433.752,5.882,44.098,36.364,-17.8328,32.4611,-6.69926,6.1875,1.534,1.2,0.8990566,88.88764,0.0045598563,289303.25
