time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,1.608,56.018,250.749,2.388,82.094,0.8,1.535,0.24644375,-30.736338,7.7927375,325.41023,390.072,-0.673,21.953,-9999,-2.35054,2.89695,22.1399,4,-0.75,0.11570745,0.87787733,728.61224,0.003397728,284626.11
2012-01-02,2,-0.525,13.035,288.995,0.412,81.887,0,0.847,0.27846354,-11.104542,3.2478531,309.401,392.211,-0.353,21.987,-9999,-1.65236,3.0572,-0.909361,0.9,-1.8,1.2,0.80053538,124.01848,0.0041662351,284403.71
2012-01-03,3,-2.967,88.723,238.301,1.687,82.224,9,1.464,0.26517438,-5.1809694,16.124303,299.7614,393.652,-0.763,21.991,-9999,-1.85201,42.2424,-6.52277,-0.95,-5,1.1826102,0.84621156,690.44115,0.0024455183,277647.71
2012-01-04,4,-3.871,37.438,226.698,1.8,81.781,0.6,2.135,0.39518562,-41.414454,7.26565,295.41692,398.208,-1.215,22.002,-9999,-2.32783,20.7639,-17.2571,-0.85,-7.6,1.2,0.83747077,807.15091,0.0021279823,275945.35
2012-01-05,5,-4.725,47.376,258.662,1.818,80.596,0,1.288,0.31784729,5.5432631,5.941946,292.07056,399.308,-1.691,21.957,-9999,-2.90512,16.3746,-5.60497,-2.7,-6.75,1.2,0.88855636,881.05532,0.0019242968,274577.87
2012-01-06,6,-6.592,45.271,255.033,0.657,80.736,2.173,4.07,0.87626021,6.1192015,10.304464,284.1895,400.887,-1.465,21.927,-9999,-2.68671,62.3853,-9.11519,-5.5,-8.15,1.1711127,0.81458609,311.84908,0.0023771642,273833.7
2012-01-07,7,-4.888,84.355,226.274,1.515,81.629,0.23,3.08,0.59855375,-6.9712154,11.959446,293.86658,396.938,-1.616,21.905,-9999,-2.94905,30.0427,22.4127,-1.95,-8,0.57272845,0.87582916,710.51623,0.0020910964,274831.05
2012-01-08,8,-5.298,44.454,245.874,1.099,81.603,0.2,1.904,0.37252292,-9.2049375,6.7615619,289.99073,400.322,-1.329,21.899,-9999,-2.46548,29.3341,-5.3972,-3.35,-7.15,1.2,0.86797837,502.00213,0.0023102989,274967.01
2012-01-09,9,-4.804,93.087,206.607,1.76,82.165,0,3.501,0.64829083,-18.976619,13.751362,292.96954,398.773,-1.727,21.88,-9999,-3.09544,14.9499,2.82786,-2.25,-7.6,0.84093272,0.87128816,851.01413,0.0019120783,274467.93
2012-01-10,10,-2.313,72.064,216.313,2.44,82.67,0,2.958,0.58404833,-38.508387,9.6844312,304.04088,398.079,-1.343,21.84,-9999,-2.69148,17.5116,-2.61949,0.15,-3.7,1.1758978,0.88153374,1044.8066,0.0020485054,277312.45
2012-01-11,11,1.071,94.946,226.448,3.528,82.982,0,1.777,0.30452729,-27.900558,10.91096,321.7169,394.671,-0.87,21.845,-9999,-1.97646,4.43623,41.3798,4.85,-2.65,0.096827028,0.89692732,1272.5273,0.0023086695,281363.78
2012-01-12,12,1.371,102.67,209.173,5.11,82.601,0.2,1.661,0.24725771,-41.759379,11.96091,321.03721,394.517,-0.832,21.867,-9999,-1.66385,6.28394,39.362,5.1,-0.6,0.13766701,0.8956572,2282.6575,0.0012340619,278978.76
2012-01-13,13,-1.829,99.75,199.907,3.476,81.856,0,2.813,0.53329437,-32.513421,11.794387,304.10604,397.959,-1.252,21.866,-9999,-2.1126,14.2555,48.9319,1.65,-7.35,0.22560669,0.89426283,1682.5143,0.0014229048,276234.87
2012-01-14,14,-7.413,104.462,171.259,2.231,81.704,0,3.757,0.6317175,-32.404473,12.796421,279.24613,401.221,-2.852,21.818,-9999,-4.26593,10.1821,25.006,-4.65,-8.6,0.28936203,0.89086992,1549.394,0.00097375097,269500.06
2012-01-15,15,-6.383,105.043,172.972,3.223,81.539,0,3.173,0.48973167,-35.790458,13.126185,284.21423,399.188,-3.399,21.714,-9999,-5.02022,8.26012,32.6381,-2.95,-8.75,0.20196771,0.8889204,2792.2116,0.00043908108,269198.54
2012-01-16,16,-7.723,105.872,179.027,2.611,81.688,0,0.81,0.20226354,-25.775952,12.44341,279.60127,400.116,-3.968,21.56,-9999,-5.40181,3.0406,75.7527,-4.95,-9.2,0.038589576,0.89482849,2149.6153,0.00062098664,268306.6
2012-01-17,17,-2.925,100.558,205.286,3.018,82.194,0,2.087,0.40980146,-23.476081,10.972273,301.48208,394.682,-2.882,21.427,-9999,-4.57567,5.01692,44.7854,0.45,-6.8,0.10073667,0.90162068,1512.3331,0.0014484587,275197.27
2012-01-18,18,-1.49,103.595,209.336,3.474,82.715,0,2.582,0.40621771,-22.43764,11.742256,307.55675,394.665,-2.055,21.416,-9999,-3.11947,4.87026,35.9788,1.2,-3.35,0.11922575,0.89819199,1617.5461,0.001511337,276796.64
2012-01-19,19,-0.15,66.62,254.841,3.485,82.345,0,2.029,0.28804208,-7.9099896,6.6590533,314.24567,396.081,-1.351,21.42,-9999,-2.31444,1.31641,15.8481,2.15,-1.95,0.076693713,0.90912747,1409.4497,0.0019365919,279206.48
2012-01-20,20,-2.667,34.992,257.938,1.308,81.358,0,1.728,0.35387521,-14.292814,5.3853979,299.30933,399.862,-1.407,21.426,-9999,-1.88937,15.0613,4.34466,-0.55,-5.95,0.77611723,0.86662345,499.53193,0.0028472231,278953.47
2012-01-21,21,-4.302,80.973,268.595,0.561,81.33,3.4,1.305,0.25685771,3.4488185,16.035647,293.36998,399.98,-1.605,21.43,-9999,-2.40208,39.5053,18.7227,-1.15,-6.1,0.67845882,0.83469879,222.42818,0.0029781106,277637.52
2012-01-22,22,-0.733,96.354,226.218,2.686,81.154,1.4,1.063,0.26784188,-15.051752,13.026346,312.16467,394.865,-1.2,21.44,-9999,-2.01419,36.9918,20.7042,1.25,-3.2,0.64115017,0.8809078,1030.1169,0.002385914,279743.87
2012-01-23,23,-1.85,75.039,211.199,2.775,81.436,0.2,2.284,0.43245604,-37.13764,8.6768729,305.57731,397.357,-1.463,21.468,-9999,-2.05924,10.7366,-4.81832,0.55,-3.55,1.2,0.89635331,1195.1873,0.0019604435,277557.61
2012-01-24,24,-5.644,106.623,209.095,1.522,81.417,0.2,3.02,0.56636833,-18.63,12.237985,287.40877,400.023,-2.112,21.461,-9999,-2.70708,21.9822,40.221,-2.6,-9.55,0.35339339,0.89703951,762.27847,0.0019096452,273617.64
2012-01-25,25,-7.392,118.547,177.126,2.019,81.589,0,3.055,0.48449604,-15.16161,14.305971,280.48588,399.464,-3.26,21.392,-9999,-4.24764,4.41506,22.3675,-4.25,-9.85,0.16484832,0.89231727,1321.5323,0.0011412978,269940.03
2012-01-26,26,-6.14,117.693,195.114,2.061,81.537,0,0.765,0.21007021,-4.9499542,13.010388,287.31619,399.467,-3.313,21.346,-9999,-4.60058,5.34766,68.5651,-2.4,-9.15,0.072350972,0.90045868,1194.7668,0.0013808888,271797.27
2012-01-27,27,-3.325,113.891,221.785,2.143,81.963,0,0.677,0.16076,6.7748729,11.780115,300.80773,399.633,-2.435,21.275,-9999,-3.7224,1.92389,58.8007,0.85,-7.1,0.031682223,0.90626235,963.23521,0.0020079258,276193.94
2012-01-28,28,-3.454,39.236,282.289,1.191,82.022,0.2,0.664,0.1251475,19.562006,4.1776631,297.60588,404.897,-1.837,21.249,-9999,-2.65657,6.20718,22.9613,-2.35,-4.3,0.21280437,0.90377078,476.73928,0.0026956067,277783.5
2012-01-29,29,-4.823,105.283,245.096,0.95,81.727,0.2,0.665,0.15569646,32.965569,11.44982,291.79852,405.017,-2.025,21.207,-9999,-2.50257,14.6203,48.0506,-1,-7.9,0.2332869,0.9019143,410.01674,0.0025357894,276008.11
2012-01-30,30,-7.742,120.092,205.812,0.812,81.68,0,0.762,0.18087792,-0.46127413,16.168623,279.81056,408.375,-3.252,21.154,-9999,-3.91234,16.8658,64.0368,-3.95,-10.3,0.20847043,0.88134046,431.11359,0.0019893344,271708.38
2012-01-31,31,-10.475,42.98,242.79,0.458,81.272,0.4,1.212,0.26281104,12.653355,5.5827808,267.89542,407.078,-3.952,21.05,-9999,-5.00973,18.4346,14.6575,-8.85,-11.55,0.55706951,0.88503993,283.2416,0.0017651991,268401.37
2012-02-01,32,-9.623,74.564,231.651,0.903,80.921,0.2,1.967,0.47605333,23.496121,7.9729127,272.01194,405.105,-3.902,20.93,-9999,-5.14096,20.1621,25.9029,-5.75,-12.05,0.43768805,0.90340185,568.44496,0.0015781328,268789.97
2012-02-02,33,-11.623,67.799,226.245,0.691,80.96,0,3.434,0.50872646,20.862236,7.9715304,263.35287,402.194,-4.005,20.809,-9999,-4.86477,18.9432,10.2212,-10.25,-13.8,0.64953162,0.89479379,491.95902,0.0014069173,266351.93
2012-02-03,34,-13.49,130.576,164.693,0.964,80.979,0,2.042,0.56246312,10.504,14.367515,255.478,403.499,-4.852,20.659,-9999,-5.95922,10.0826,76.6424,-9.4,-16.1,0.11625944,0.90087508,876.29947,0.00092549647,263272.04
2012-02-04,35,-15.106,80.438,201.976,0.801,81.128,0.2,2.314,0.46638563,23.057151,9.7440094,249.48721,405.362,-5.381,20.458,-9999,-6.75905,3.68124,18.5201,-11.6,-17.25,0.16581161,0.89195174,806.52172,0.00084259316,261440.7
2012-02-05,36,-15.21,126.135,215.986,0.718,81.267,0,1.241,0.23672562,19.056999,13.51023,250.10275,403.227,-5.376,20.255,-9999,-6.7385,18.6473,83.3187,-11.45,-18.4,0.18287763,0.90325319,708.81941,0.00089230821,261460.47
2012-02-06,37,-11.906,138.85,176.498,1.563,81.082,0.6,1.344,0.31194833,21.130412,13.829404,263.21327,400.586,-5.095,20.056,-9999,-6.40004,7.57372,104.612,-6.95,-15,0.067510553,0.90942194,1486.9234,0.00069160632,264279.24
2012-02-07,38,-7.365,55.359,259.141,1.016,81.107,0,2.344,0.6121475,27.659438,6.3224871,281.60537,402.665,-3.783,19.896,-9999,-4.99492,12.22,10.7081,-4.05,-12.35,0.53297046,0.89749782,541.1542,0.0019243438,271924.78
2012-02-08,39,-2.29,135.76,196.14,3.813,81.975,0,2.603,0.50387979,-3.1942812,15.192256,301.3485,399.042,-2.536,19.807,-9999,-2.99394,10.5898,26.1025,0.95,-4.65,0.28861096,0.89935721,2104.77,0.0010288236,274786.36
2012-02-09,40,-5.896,96.445,209.131,2.549,81.642,0,3.936,0.79738979,6.4281312,12.053727,286.26327,401.255,-2.971,19.744,-9999,-3.09837,13.3156,18.3135,-2.6,-13.95,0.42099206,0.88890444,1613.1854,0.0010622468,271245.89
2012-02-10,41,-13.937,116.169,178.408,1.18,81.355,0,2.267,0.65039,17.912792,11.804376,253.56887,407.661,-5.393,19.626,-9999,-5.61152,9.01914,31.5835,-10.45,-18.2,0.22213186,0.90775912,1218.3283,0.00069655752,262250.46
2012-02-11,42,-11.577,104.353,199.679,1.217,81.033,0,2.349,0.74899,20.450759,10.21525,263.27535,403.907,-5.185,19.436,-9999,-5.95309,6.7868,31.3712,-8.55,-13.95,0.17786047,0.91083699,989.95933,0.0010084493,265401.99
2012-02-12,43,-10.015,98.939,207.629,1.186,81.214,0,2.334,0.61626292,15.584018,10.504641,269.72198,404.999,-4.829,19.266,-9999,-5.68044,3.37973,35.3553,-5.6,-14,0.087252546,0.90401781,822.72708,0.0012863799,267666.62
2012-02-13,44,-8.921,110.299,210.257,1.759,81.15,0,2.852,0.61412854,31.430219,12.882866,274.29402,400.85,-4.311,19.127,-9999,-4.93028,13.5567,65.036,-5.35,-11.55,0.17249312,0.89541589,1268.0478,0.0010448827,268162.35
