time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-2.063,3.581,298.95,0.138,97.843,0.068,1.431,0.38007462,5.0866458,0,301.39477,1.456,22.804,25.893,-1.78425,0.620661,1.16635,-1.0265,-4.4185,0.34731795,1,44.995274,0.0032596841,280591.65
2012-01-02,2,-6.141,5.433,259.472,0.178,98.437,0.131,1.076,-9999,8.7102998,0,280.71723,1.457,22.055,26.039,-1.85014,0.519515,-1.31694,-4.3265,-7.7935,0,1,76.882021,0.0023358012,274183.55
2012-01-03,3,-4.192,5.748,295.36,0.173,97.751,4.658,2.313,-9999,4.7343916,0,291.4991,1.421,21.621,25.701,-2.01842,0.738085,-2.31045,-2.42,-4.6815,0,1,65.304485,0.0027483171,277173.58
2012-01-04,4,-0.841,2.905,304.855,0.069,96.996,0.032,2.756,-9999,-1.3781773,0,309.77908,1.372,21.553,25.58,-2.00592,-0.161381,-17.8158,0.079,-2.03,0.0089769914,1,20.64206,0.0036504129,282796.58
2012-01-05,5,0.273,12.472,306.79,0.522,96.236,0,3.351,-9999,-9999,-9999,-9999,1.33,21.521,25.597,-1.8747,0.335746,-18.4087,0.451,0.0945,0,-9999,150.22523,0.0037002246,284040.68
2012-01-06,6,0.425,5.55,311.868,0.493,96.166,0.7,2.769,0.60837736,-0.49225732,0,307.27989,1.296,21.488,25.717,-1.86183,-0.659644,-28.4629,0.9985,0.0415,0.022650631,1,140.13438,0.0037665629,284359.28
2012-01-07,7,-1.518,12.472,301.828,0.201,97.026,0.671,2.32,0.60714052,-5.2642273,0,305.1176,1.298,21.456,25.793,-1.79762,1.17457,-34.4414,0.328,-4.015,0,1,63.545314,0.003385172,281453.09
2012-01-08,8,-4.436,8.266,279.587,0.197,98.053,0.173,1.702,0.49456013,6.5060927,0,288.38713,1.314,21.423,25.763,-1.71149,1.18818,9.0142,-3.64,-5.672,0.11646106,1,75.801839,0.0026726612,276739.22
2012-01-09,9,-4.647,7.859,296.151,0.161,98.212,0.283,0.92,0.2547478,8.2865198,0,288.09198,1.321,21.391,25.97,-1.77163,2.80024,8.9917,-3.3465,-5.9335,0.23747068,1,62.612667,0.00264707,276463.19
2012-01-10,10,-4.398,3.962,286.256,0.149,98.396,0.41,1.093,0.29532991,6.8676402,0,289.33842,1.293,21.358,25.637,-1.84972,0.299136,9.62635,-3.3335,-5.2185,0.030138172,1,56.898661,0.0027017706,276850.19
2012-01-11,11,-4.842,6.344,286.991,0.173,98.28,1.496,2.201,0.59446952,7.8357094,0,286.59952,1.257,21.326,25.62,-1.91392,0.325687,-7.13523,-3.518,-6.5385,0,1,68.270979,0.0025974135,276143.07
2012-01-12,12,-2.413,22.982,281.19,0.284,96.976,2.368,3.124,0.8630201,9.4560176,0,298.15442,1.211,21.293,25.582,-1.95401,1.24284,-30.8073,-1.042,-4.095,0,1,96.03033,0.0031084508,279861.81
2012-01-13,13,-0.638,10.684,307.904,0.122,95.478,0.045,3.016,0.85005687,0.56005962,0.18305562,309.62942,1.182,21.181,25.67,-1.98002,-0.473958,-48.3552,0.7915,-2.038,0.0097064545,0.98315499,36.165332,0.0037300716,283199.74
2012-01-14,14,-2.505,24.423,281.223,0.383,96.533,0.388,1.814,0.47418948,4.7402113,0.014513896,298.6794,1.167,21.235,25.75,-1.88233,0.369845,-17.544,-1.565,-3.3515,0,0.99940608,131.51054,0.003036225,279588.79
2012-01-15,15,-5.065,6.823,279.676,0.252,97.54,1.429,1.398,0.34256208,4.362706,0.024097292,284.47888,1.179,21.494,25.703,-1.78023,-0.754369,-8.91684,-3.613,-7.085,0.07800152,0.99648066,101.86623,0.0025209394,275727.77
2012-01-16,16,-6.263,10.967,277.862,0.196,98.051,1.018,1.034,0.25337115,7.8895887,0,280.52152,1.21,21.7,26.058,-1.74583,1.13151,1.41398,-4.995,-7.6215,0.44451559,1,85.564766,0.0023107191,273998.23
2012-01-17,17,-7.688,21.587,256.729,0.218,98.822,0.22,0.91,0.13727165,7.6751166,0,273.9499,1.241,21.586,29.598,-1.77203,0.271593,1.64635,-6.005,-9.08,0.1416064,1,105.52824,0.0020276582,271858.46
2012-01-18,18,-8.846,14.746,259.915,0.229,99.166,0.372,2.045,0.56187587,12.366711,0,269.7941,1.272,21.456,33.911,-1.85156,0.416393,6.05952,-7.41,-9.8535,0.064298733,1,120.65027,0.0018277136,270194.8
2012-01-19,19,-10.031,12.799,253.513,0.242,98.486,1.101,3.036,0.86119223,11.635258,0,263.93785,1.281,21.405,37.233,-1.92444,-1.4914,-4.17637,-8.798,-11.435,0.263137,1,139.30024,0.0016555274,268573.41
2012-01-20,20,-7.583,12.695,280.068,0.217,97.722,3.355,3.26,0.89995723,8.4560358,0,273.73665,1.269,21.406,29.336,-2.01484,-1.73956,-19.804,-6.3435,-9.1115,0.080746172,1,104.24796,0.0020690238,272067.39
2012-01-21,21,-5.594,10.739,295.9,0.188,97.885,4.198,2.746,0.74675065,6.6582394,0,283.70965,1.258,21.58,26.097,-2.04187,-0.848892,-15.4321,-3.1465,-7.2615,0.052140066,1,78.267122,0.0024475671,275012.7
