time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-8.887,2.611,240.95,0.343,97.322,1.744,2.573,0.17985208,-9.8509119,-9999,-9999,357.458,0.502,-9999,-9999,-9999,-0.351242,-4.90045,-3.313,-20.9355,0.066881683,-9999,184.45815,0.0017829287,270041.64
2012-01-02,2,-2.413,1.972,299.97,0.371,96.653,11.984,4.528,0.27613479,-4.4225208,-9999,-9999,356.312,0.499,-9999,-9999,-9999,0.114341,-8.35344,-1.561,-3.7925,0,-9999,126.4508,0.0030626601,279747.34
2012-01-03,3,-2.007,2.578,273.957,0.297,95.928,4.174,3.496,0.182025,-8.2223708,-9999,-9999,357.354,0.467,-9999,-9999,-9999,-0.332981,-7.92952,-0.0725,-3.539,0.040300267,-9999,97.82313,0.0032355485,280587.59
2012-01-04,4,-1.102,1.69,297.466,0.291,94.851,8.369,4.424,0.25362277,-2.6651542,-9999,-9999,357.75,0.519,-9999,-9999,-9999,-0.524632,-4.60439,-0.204,-1.519,0.10228695,-9999,90.154599,0.0035153229,282196.55
2012-01-05,5,-6.2,2.589,274.612,0.471,94.509,1.858,4.846,0.23851563,-6.6375021,-9999,-9999,363.965,0.522,-9999,-9999,-9999,0.274714,-6.31607,-1.763,-8.6515,0,-9999,211.84003,0.0022281606,273855.15
2012-01-06,6,-10.669,6.316,208.05,0.387,95.961,0.353,3.551,0.16042125,-25.105448,-9999,-9999,359.688,0.496,-9999,-9999,-9999,-0.659461,-21.0018,-7.3485,-13.0165,0.030444257,-9999,239.73932,0.0015134728,267577.09
2012-01-07,7,-5.968,3.152,256.518,0.338,96.427,0.452,2.127,0.087329583,-7.5725208,-9999,-9999,361.021,0.609,-9999,-9999,-9999,-0.00963083,-3.14088,-5.436,-7.0035,0.0030569106,-9999,147.03955,0.0023143241,274303.72
2012-01-08,8,-10.13,3.748,228.012,0.309,97.717,0,2.038,0.092825,-13.225825,-9999,-9999,359.271,0.491,-9999,-9999,-9999,-0.0309727,-5.47927,-6.5555,-14.2855,0.0056209321,-9999,181.22951,0.0016116276,268364.17
2012-01-09,9,-12.717,4.268,224.083,0.293,98.341,0.178,1.35,-9999,-1.5577585,-9999,-9999,362.208,0.509,-9999,-9999,-9999,-0.0997442,-10.1135,-10.068,-14.575,0.0097661623,-9999,208.50766,0.0012757394,264924.51
2012-01-10,10,-7.786,1.723,252.083,0.277,97.824,0.7,1.882,0.13459268,-3.1726973,-9999,-9999,361.77,0.527,-9999,-9999,-9999,-0.118166,-5.89456,-5.985,-9.5585,0.01965265,-9999,136.13929,0.0019942146,271676.36
2012-01-11,11,-5.17,4.062,210.351,0.373,96.765,1.126,2.66,-9999,-1.7787004,-9999,-9999,364.101,0.55,-9999,-9999,-9999,-0.0201087,-4.03821,-3.3995,-10.3855,0.0049549337,-9999,153.98725,0.0024417082,275424.17
2012-01-12,12,-7.588,6.955,231.889,0.338,95.19,1.082,2.455,-9999,-2.209619,-9999,-9999,363.757,0.528,-9999,-9999,-9999,-0.150588,-4.48307,-3.727,-17.978,0.03249873,-9999,165.16364,0.0020439874,271999.78
2012-01-13,13,-7.316,4.322,223.717,0.508,96.404,0.191,5.283,-9999,-19.377515,-9999,-9999,363.563,0.569,-9999,-9999,-9999,-0.0874002,-3.43694,-6.4395,-9.2895,0.024799025,-9999,249.24585,0.0019557971,272052.66
2012-01-14,14,-11.385,9.782,192.506,0.407,98.388,0,3.29,-9999,-38.768833,-9999,-9999,361.553,0.485,-9999,-9999,-9999,0.136523,-4.00011,-8.243,-19.7375,0,-9999,267.47611,0.0013680016,266493.83
2012-01-15,15,-10.116,2.838,250.92,0.312,98.736,1.95,1.674,0.10886875,-1.4241275,-9999,-9999,365.25,0.498,-9999,-9999,-9999,-0.110571,-2.6573,-4.577,-21.6285,0.039948032,-9999,182.89243,0.0015950677,268336.84
2012-01-16,16,-1.341,4.106,270.517,0.393,98.418,1.97,1.678,0.084981875,-18.304144,-9999,-9999,365.896,0.474,-9999,-9999,-9999,0.0925919,-7.607,0.635,-6.2965,0,-9999,124.78435,0.0032607748,281319.98
2012-01-17,17,-10.416,6.446,255.246,0.283,98.811,0.016,0.859,-9999,-6.431296,-9999,-9999,364.729,0.502,-9999,-9999,-9999,0.310033,-5.49284,-6.1035,-14.6425,0,-9999,168.79556,0.0015701212,267972.97
2012-01-18,18,-5.985,3.066,273.947,0.266,98.067,1.497,2.365,0.16328962,-1.6804888,-9999,-9999,368.896,0.611,-9999,-9999,-9999,1.60176,-3.0926,-5.174,-6.8235,0,-9999,114.84981,0.0023181308,274296.15
2012-01-19,19,-4.403,2.275,287.087,0.244,96.283,7.75,3.354,-9999,-2.7945796,-9999,-9999,362.625,0.456,-9999,-9999,-9999,0.318078,-3.51632,-3.808,-7.203,0,-9999,94.138032,0.0026985105,276837.01
2012-01-20,20,-4.024,2.167,286.716,0.243,96.87,2.383,2.06,-9999,-2.2491019,-9999,-9999,365.375,0.451,-9999,-9999,-9999,1.27998,-3.78566,-3.324,-4.6395,0,-9999,91.333155,0.0027649324,277383.96
2012-01-21,21,-4.921,1.582,281.457,0.255,97.3,1.331,2.688,-9999,-1.4427173,-9999,-9999,365.667,0.496,-9999,-9999,-9999,1.84908,-4.35642,-3.512,-5.9915,0,-9999,102.088,0.0025547316,275956.97
2012-01-22,22,-7.563,1.257,272.271,0.289,97.644,0.756,2.169,-9999,-1.8923854,-9999,-9999,370.646,0.556,-9999,-9999,-9999,1.20939,-10.234,-5.785,-9.9895,0,-9999,140.00949,0.0020281218,271985.24
2012-01-23,23,-10.949,1.679,254.738,0.284,98.159,0.427,1.562,-9999,-0.95980958,-9999,-9999,370.304,0.392,-9999,-9999,-9999,-1.26636,-15.8347,-10.1335,-11.89,0.07405155,-9999,176.31877,0.0015069458,267279.37
2012-01-24,24,-10.144,2.773,242.213,0.287,98.807,0.181,1.818,-9999,-3.2527146,-9999,-9999,373.771,0.404,-9999,-9999,-9999,0.336209,-16.1122,-7.9435,-13.6825,0,-9999,167.86549,0.0016057285,268335.35
2012-01-25,25,-7.914,1.82,237.128,0.279,99.703,0.232,1.696,-9999,-1.0289931,-9999,-9999,365.375,0.553,-9999,-9999,-9999,0.963145,-8.74666,-6.8035,-10.7595,0,-9999,138.43158,0.0019342953,271397.92
2012-01-26,26,-7.878,2.535,266.884,0.278,100.189,1.141,2.962,-9999,-2.4754142,-9999,-9999,368.939,0.503,-9999,-9999,-9999,1.13172,-9.63574,-4.695,-9.619,0,-9999,137.55844,0.001931394,271426.84
2012-01-27,27,-8.099,3.792,262.088,0.275,100.672,1.048,3.074,0.2514464,-2.8044123,-9999,-9999,377,0.506,-9999,-9999,-9999,0.981623,-14.5869,-4.617,-11.874,0,-9999,138.2022,0.0018883396,271097.1
2012-01-28,28,-9.581,4.42,259.281,0.278,101.204,0.628,1.877,0.17014,-4.0397323,-9999,-9999,370.375,0.449,-9999,-9999,-9999,0.350241,-5.85008,-8.713,-10.784,0,-9999,155.73085,0.0016524292,269017.92
2012-01-29,29,-10.055,4.572,250.764,0.271,101.712,0.268,1.667,-9999,-6.0627942,-9999,-9999,376.645,0.402,-9999,-9999,-9999,-0.341326,-12.2144,-8.8065,-11.021,0.027184888,-9999,157.03502,0.0015818813,268365.18
2012-01-30,30,-10.328,4.084,254.658,0.28,101.548,0.511,1.513,-9999,-4.5627148,-9999,-9999,377.875,0.397,-9999,-9999,-9999,-0.281862,-7.97172,-9.181,-11.8095,0.034150263,-9999,165.82789,0.0015415086,267989.88
2012-01-31,31,-9.078,2.914,265.555,0.281,101.28,1.275,2.445,0.17475586,-2.1306994,-9999,-9999,392.63,0.458,-9999,-9999,-9999,0.470916,-3.63412,-7.9705,-10.121,0,-9999,151.77489,0.0017227699,269699.28
2012-02-01,32,-17.624,6.056,236.56,0.24,101.684,0.467,1.702,0.10594303,-0.27193229,-9999,-9999,427.105,0.408,-9999,-9999,-9999,-1.00951,-3.6836,-9.992,-30.6585,0.2151047,-9999,248.96481,0.00079537436,258792.07
2012-02-02,33,-28.117,7.995,175.467,0.155,101.466,0.133,1.54,-9999,-1.6384058,-9999,-9999,435.65,0.384,-9999,-9999,-9999,0.00840795,-7.33523,-20.785,-33.4565,0,-9999,390.35032,0.00027815914,246953.56
2012-02-03,34,-31.397,8.948,161.639,0.123,101.227,0.006,1.217,-9999,3.6484885,-9999,-9999,411.618,0.423,-9999,-9999,-9999,-0.0734364,-8.66006,-26.028,-36.8585,0.0084085911,-9999,414.1275,0.00019905745,243459.41
2012-02-04,35,-31.012,7.269,176.841,0.133,100.863,0.276,0.937,-9999,-9.7673533,-9999,-9999,440.366,0.4,-9999,-9999,-9999,-0.111441,-8.42476,-22.501,-37.6545,0.013055105,-9999,436.17528,0.00020392837,243858.51
2012-02-05,36,-21.693,5.937,218.042,0.228,99.662,1.117,1.837,0.10038304,-0.76878458,-9999,-9999,476.758,0.41,-9999,-9999,-9999,0.306972,-7.13625,-21.0135,-24.41,0,-9999,332.92311,0.00053539234,254052.77
2012-02-06,37,-10.81,2.373,238.974,0.274,99.122,1.692,3.357,0.15173295,-4.644816,-9999,-9999,384.874,0.475,-9999,-9999,-9999,-0.442223,-8.19168,-5.3805,-21.302,0.051219362,-9999,168.03958,0.001517163,267444.61
2012-02-07,38,-18.064,14.181,178.019,0.258,100.812,0.001,1.486,0.061749362,-6.8985565,-9999,-9999,432.146,0.355,-9999,-9999,-9999,0.576284,-8.55389,-12.085,-22.8085,0,-9999,279.29915,0.00075643905,258252.53
2012-02-08,39,-17.196,8.353,201.242,0.26,101.064,0,0.645,0.068157447,-6.63071,-9999,-9999,435.729,0.346,-9999,-9999,-9999,-0.00227611,-3.26487,-11.6235,-25.3285,0.00069666612,-9999,262.0969,0.00082272905,259290.59
2012-02-09,40,-12.059,8.97,206.948,0.289,100.968,0.11,2.936,0.15443674,-2.0708158,-9999,-9999,423.75,0.404,-9999,-9999,-9999,-0.625083,-24.3245,-10.165,-15.16,0.025053846,-9999,195.35682,0.0013225217,265702.76
2012-02-10,41,-7.14,7.453,232.224,0.317,100.101,0.083,1.993,0.12418244,-8.8042862,-9999,-9999,434.583,0.485,-9999,-9999,-9999,0.543227,-9.76304,-2.624,-13.255,0,-9999,149.54291,0.0020325232,272421.36
2012-02-11,42,-3.053,11.613,260.875,0.37,99.061,1.113,3.336,0.17484354,-10.653936,-9999,-9999,447.604,0.528,-9999,-9999,-9999,-0.706624,-13.5737,-2.1165,-4.3015,0.049482351,-9999,131.75212,0.0028389981,278544.98
2012-02-12,43,-7.296,23.812,219.058,0.359,98.304,0.29,1.876,0.098535208,-4.5949252,-9999,-9999,440.25,0.531,-9999,-9999,-9999,-1.71837,-20.1121,-3.791,-13.0645,0.078714292,-9999,172.25122,0.002015916,272223.06
2012-02-13,44,-12.236,15.903,232.069,0.271,97.807,0.521,1.383,-9999,-3.5966744,-9999,-9999,431.568,0.431,-9999,-9999,-9999,0.179372,-11.3211,-4.4715,-18.939,0,-9999,185.00102,0.00135486,265605.72
2012-02-14,45,-3.442,8.916,277.185,0.312,95.964,4.361,2.67,-9999,-9.6492838,-9999,-9999,425.163,0.493,-9999,-9999,-9999,-0.37816,-18.2217,-2.893,-5.287,0.020331336,-9999,113.46252,0.0028777212,278250.84
2012-02-15,46,-11.431,19.164,214.788,0.39,96.751,2.088,2.931,-9999,-12.287177,-9999,-9999,428.633,0.448,-9999,-9999,-9999,-0.327582,-13.0807,-6.731,-16.6275,0.024431318,-9999,256.3494,0.0013960472,266517.71
2012-02-16,47,-10.507,9.761,233.843,0.323,96.99,2.21,3.475,0.19662157,-9.7624758,-9999,-9999,415.083,0.438,-9999,-9999,-9999,0.204392,-8.50593,-3.6635,-23.787,0,-9999,195.35233,0.001561119,267859.01
2012-02-17,48,-4.883,21.049,197.943,0.44,96.776,0.013,2.297,0.11552894,-13.511763,-9999,-9999,406.188,0.541,-9999,-9999,-9999,-1.44061,-20.1102,-2.2695,-8.3805,0.066847139,-9999,179.36539,0.0024571905,275751.31
2012-02-18,49,-2.912,11.613,250.127,0.404,96.603,5.688,6.685,0.38305312,-10.003719,-9999,-9999,408.104,0.5,-9999,-9999,-9999,0.364908,-21.3972,-1.12,-9.064,0,-9999,142.93835,0.0029226608,278895.84
2012-02-19,50,-1.055,17.485,295.836,0.412,95.893,7.968,4.678,0.25209167,-6.2473335,-9999,-9999,408.986,0.444,-9999,-9999,-9999,0.939407,-11.8057,-0.1695,-4.0045,0,-9999,128.52023,0.0034108929,281982.71
2012-02-20,51,-7.213,52.022,218.576,0.626,96.906,0.189,3.695,0.1657675,-35.447135,-9999,-9999,404.026,0.557,-9999,-9999,-9999,-1.87248,-27.3487,-4.5925,-11.0705,0.064079548,-9999,310.02115,0.0018878733,271986.37
2012-02-21,52,-2.306,62.032,228.669,1.078,96.421,0.702,4.854,0.22401146,-35.75146,-9999,-9999,405.678,0.499,-9999,-9999,-9999,0.355312,-35.0987,-0.205,-5.317,0,-9999,390.76933,0.0026387334,278795.05
2012-02-22,53,-4.486,19.11,248.012,0.429,96.368,3.331,2.536,0.13284042,-18.271669,-9999,-9999,402.89,0.562,-9999,-9999,-9999,0.0417017,-12.6728,-2.381,-7.156,0,-9999,169.82666,0.0025585318,276403.65
2012-02-23,54,-6.713,38.296,236.869,0.343,95.813,0.305,1.987,0.10083048,-14.878178,-9999,-9999,408.001,0.539,-9999,-9999,-9999,0.317668,-7.66664,-3.0615,-16.9255,0,-9999,157.46261,0.002184529,273230.51
2012-02-24,55,-9.497,31.948,260.059,0.286,96.012,2.855,2.174,0.17126071,-4.0968637,-9999,-9999,414.574,0.443,-9999,-9999,-9999,-1.08218,-7.98923,-3.2135,-19.083,0.11929568,-9999,159.43098,0.0017494351,269344.85
2012-02-25,56,-6.971,56.973,234.236,0.461,96.623,0.891,3.588,0.1516175,-21.707946,-9999,-9999,399.133,0.557,-9999,-9999,-9999,-0.180941,-17.4781,-3.7445,-11.6465,0.010246366,-9999,219.05349,0.0020431268,272617.71
2012-02-26,57,-9.318,74.403,184.882,0.6,98.163,0,2.45,0.11251187,-33.384844,-9999,-9999,401.279,0.465,-9999,-9999,-9999,0.858876,-24.4202,-4.629,-12.74,0,-9999,347.94454,0.001538515,268997.45
2012-02-27,58,-12.247,75.259,215.891,0.388,98.063,0.614,2.996,0.2096103,-9.0999235,-9999,-9999,409.786,0.498,-9999,-9999,-9999,-0.295218,-22.8491,-2.924,-24.512,0.012755528,-9999,271.69103,0.0012756416,265396.62
2012-02-28,59,-1.234,70.525,249.897,1.134,96.481,3.422,4.221,0.21551625,-29.649306,-9999,-9999,385.334,0.476,-9999,-9999,-9999,4.25107,-27.58,3.291,-7.3505,0,-9999,382.03727,0.0028751128,280463.36
2012-02-29,60,0.281,54.741,246.786,1.128,96.526,2.706,2.627,0.11367604,-19.362965,-9999,-9999,386.354,0.486,-9999,-9999,-9999,-2.7059,-17.6938,3.6205,-5.608,0.13264411,-9999,340.53988,0.0032992621,283046.31
2012-03-01,61,4.197,55.337,284.553,1.746,97.261,0.293,4.251,0.19868979,-11.079055,-9999,-9999,387.583,0.422,-9999,-9999,-9999,-4.81974,-41.7588,6.204,0.882,0.10347555,-9999,418.39328,0.0041670016,289151.24
2012-03-02,62,-0.015,87.88,221.73,2.386,98.198,0,5.887,0.30261792,-43.192336,-9999,-9999,391.312,0.454,-9999,-9999,-9999,23.9778,-63.1396,2.848,-3.8135,0,-9999,830.33205,0.0023592668,280398.84
