time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,19.199,169.195,300.744,19.035,101.251,0,4.086,0.45236687,21.050997,61.429078,-9999,-9999,26.381,2.527,2.588,-9.15312,10.4928,28.2671,24.3215,13.433,0.27071277,0.73363979,3475.4505,0.0019678086,298730.27
2012-01-02,2,22.467,189.165,315.524,24.301,101.225,0,3.631,0.44656379,41.870682,67.522205,-9999,-9999,26.608,2.544,2.588,-0.103526,10.2082,34.3274,29.474,15.174,0.22921438,0.73694752,4046.0395,0.0017778101,301539.61
2012-01-03,3,23.964,148.113,332.919,26.868,101.068,0,2.939,0.344018,24.278397,53.292843,-9999,-9999,27.569,2.578,2.626,-2.76738,8.81234,17.6133,31.244,16.888,0.33347688,0.73539574,4227.7311,0.0017866934,303066.3
2012-01-04,4,26.078,196.652,333.551,31.059,100.99,0,3.379,0.36792917,45.04484,70.028681,-9999,-9999,28.46,2.61,2.65,1.93121,10.3974,30.7066,32.523,21.441,0.25295348,0.73740625,4598.2289,0.0016716801,304903.34
2012-01-05,5,25.841,169.713,341.517,29.877,100.974,0,3.827,0.44863974,32.567651,61.205582,-9999,-9999,29.048,2.624,2.674,-0.633386,9.41771,27.3347,31.226,21.4555,0.25624741,0.73494735,4197.2752,0.0021109511,305763.33
2012-01-06,6,25.567,189.845,340.373,29.101,101.026,0,3.287,0.36521234,39.302286,66.996298,-9999,-9999,29.408,2.637,2.68,-1.25788,10.6856,32.5406,31.7495,21.2955,0.24720193,0.73915294,4053.7588,0.0022572047,305853.6
2012-01-07,7,24.673,210.482,340.81,28.378,100.936,0,2.617,0.36664242,53.893976,74.510318,-9999,-9999,29.171,2.623,2.672,0.334441,9.88944,35.2897,33.464,15.9225,0.21889394,0.73855324,4438.9689,0.0016552526,303450.25
2012-01-08,8,26.436,219.182,347.768,31.998,100.779,0,2.511,0.32920963,50.314516,77.714737,-9999,-9999,30.187,2.669,2.708,0.0101348,11.8215,37.5429,34.253,19.754,0.2394742,0.73824321,4773.4286,0.0015412763,304937.12
2012-01-09,9,25.366,200.92,331.539,30.886,100.748,0,2.859,-9999,43.676614,71.769007,-9999,-9999,29.64,2.636,2.692,-3.70412,10.3243,26.5598,34.1695,18.481,0.27991194,0.73681005,5425.3906,0.00091845469,302304.72
2012-01-10,10,24.909,204.324,335.203,30.089,100.706,0,2.417,-9999,46.781531,72.503513,-9999,-9999,29.369,2.618,2.674,-1.50742,9.73734,26.5717,35.0855,15.5915,0.26817949,0.73809138,5442.5787,0.00087360576,301733.31
