time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,6.4365169,7.5481748,7.6205785,1.2743837,0.1213447,0,-9999,-9999,-9999,-9999,-9999,0.88684223,9.7987272,-1.998764,2.717247,-9999,18.130953,-3.6593994,18.900978,0.082994382,-9999,2604.1944,-9999,-9999
2012-01-02,2,7.7374498,8.2267494,8.178925,1.7119313,0.15371835,0,-9999,-9999,-9999,-9999,-9999,0.5212516,11.66982,0.1568754,2.698793,-9999,17.720138,-1.3430162,21.410314,0.042756832,-9999,2526.9677,-9999,-9999
2012-01-03,3,8.9976471,10.138226,8.7501471,1.3094493,0.12759543,0,-9999,-9999,-9999,-9999,-9999,1.027405,13.298277,-0.76026451,2.6623166,-9999,19.180087,0.62840167,20.282473,0.071717704,-9999,2457.098,-9999,-9999
2012-01-04,4,-9999,9.2051207,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.5708066,2.6723362,-9999,-9999,-9999,10.526076,-9999,-9999,-9999,-9999,-9999
2012-01-05,5,-9999,9.7418984,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-2.0075443,2.6574141,-9999,-9999,-9999,16.690247,-9999,-9999,-9999,-9999,-9999
2012-01-06,6,7.5029858,9.0941337,7.2869475,1.5434736,0.13128468,0,-9999,-9999,-9999,-9999,-9999,0.31258287,17.681967,-3.527481,2.66769,-9999,18.010534,-1.4913536,17.806402,0.017370975,-9999,2075.2535,-9999,-9999
2012-01-07,7,9.0850949,8.8355899,7.2127033,5.9600693,0.53611602,0,-9999,-9999,-9999,-9999,-9999,0.25913147,21.484285,-2.3318234,2.6559132,-9999,12.944443,2.3304202,10.944517,0.011917698,-9999,1719.0637,-9999,-9999
2012-01-08,8,-9999,10.020056,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.31953058,2.6243833,-9999,-9999,-9999,5.1188888,-9999,-9999,-9999,-9999,-9999
2012-01-09,9,-9999,10.47738,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-3.1442796,2.6250348,-9999,-9999,-9999,12.004477,-9999,-9999,-9999,-9999,-9999
2012-01-10,10,-9999,8.8302129,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.0523979,2.6578261,-9999,-9999,-9999,17.320125,-9999,-9999,-9999,-9999,-9999
2012-01-11,11,-9999,8.2403368,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-7.6987734,2.6614618,-9999,-9999,-9999,14.056647,-9999,-9999,-9999,-9999,-9999
2012-01-12,12,-9999,6.7646316,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-6.8587875,2.6797909,-9999,-9999,-9999,17.084665,-9999,-9999,-9999,-9999,-9999
2012-01-13,13,-9999,5.8489644,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.3924527,2.6911432,-9999,-9999,-9999,13.064789,-9999,-9999,-9999,-9999,-9999
2012-01-14,14,-9999,5.7902592,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-5.3988471,2.6905479,-9999,-9999,-9999,16.262855,-9999,-9999,-9999,-9999,-9999
2012-01-15,15,-9999,6.7311764,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-1.6357208,2.6562397,-9999,-9999,-9999,21.695321,-9999,-9999,-9999,-9999,-9999
2012-01-16,16,-9999,5.7733387,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8.2628345,2.6714059,-9999,-9999,-9999,20.439164,-9999,-9999,-9999,-9999,-9999
2012-01-17,17,-9999,4.6099753,-9999,-9999,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-8.3716832,2.6901409,-9999,-9999,-9999,20.379643,-9999,-9999,-9999,-9999,-9999
