time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-6.6722917,-0.16860417,0.26329167,3.3271458,0.79541667,-9999,73.506,278.34996,196.5909,101.35885,16.452766,50.672542,-35.832292,-1.6668958,8.9440208,11.165479,-0.76,-13.528,3.1470194,1.2,0.16232195,119.29091,0.0011730208,270742.65
2012-01-02,2,-2.2769375,-0.17358333,0.30310417,3.4028958,0.86304167,-9999,73.731479,296.9224,198.52363,111.86378,18.489848,14.269458,-6.1293542,-1.8181458,8.9106667,11.168646,3.827,-6.807,-5.0248361,1.2,0.16528896,101.7265,0.0019743432,277163.29
2012-01-03,3,-0.157625,-0.16664583,0.39045833,4.2787292,1.00925,-9999,73.194292,306.00358,202.62358,110.72554,17.691149,29.449458,-3.4349792,-1.4839792,8.8934792,11.171646,3.685,-3.879,-10.345605,1.1320411,0.15977478,114.48788,0.0019442252,279217.9
2012-01-04,4,-1.973125,-0.1546875,0.32847917,3.8547292,0.90958333,-9999,73.60275,299.17398,206.306,91.878804,15.353447,23.854708,-20.707583,-1.4418333,8.8948125,11.177,2.755,-5.109,-16.342622,1.2,0.16710543,108.24469,0.001819908,277082.53
2012-01-05,5,0.34764583,-0.14539583,0.405625,3.5069167,0.882375,-9999,73.049312,308.34044,211.92304,98.910348,16.10563,21.131375,-14.991563,-1.3976458,8.8937708,11.182125,5.419,-2.577,-13.612678,1.2,0.16283059,115.13722,0.002004135,279875.47
2012-01-06,6,-1.9738125,-0.13133333,0.31802083,4.02375,0.92897917,-9999,72.412396,298.54048,191.78848,113.917,18.969435,22.633875,7.7107292,-1.2681458,8.9007917,11.187375,0.32,-6.908,-11.804435,0.74589455,0.16651979,104.70641,0.0018688408,277204.17
2012-01-07,7,-6.744875,-0.1240625,0.10702083,1.5476458,0.35766667,-9999,72.243771,280.35252,244.35598,38.538609,7.3263191,4.1675333,-5.4898,-1.6078542,8.8961667,11.192208,-4.717,-10.668,-4.7842521,0,0.19010336,47.791048,0.0023173006,273530.4
2012-01-08,8,-10.605766,-0.13719149,0.07493617,3.0230851,0.64559574,-9999,72.68883,263.207,196.20728,122.125,28.231822,29.022638,-4.7884894,-1.8545745,8.8721277,11.193426,-5.963,-13.655,26.893454,1.1975926,0.23117152,43.735549,0.0017677916,268276.43
2012-01-09,9,-5.6373542,-0.1768125,0.16004167,3.170875,0.6771875,-9999,73.05925,284.62042,203.24396,116.48609,17.533587,2.2764167,11.196521,-2.5719792,8.8295417,11.1905,1.406,-11.354,17.576042,0.16896216,0.15052087,66.614145,0.0022259737,274415.14
2012-01-10,10,-2.9072917,-0.19441667,0.239125,3.7432708,0.91316667,-9999,72.498875,294.71604,191.16981,116.14476,18.085152,16.31575,-0.8655,-2.2642083,8.7970417,11.192396,2.427,-6.294,-5.4866205,1.0560185,0.15571217,83.261644,0.0023929167,277576.21
2012-01-11,11,-12.580958,-0.19479167,0.058875,3.4681875,0.8758125,-9999,72.267667,259.05367,203.09035,88.89687,16.560717,55.730364,1.9613864,-2.0380833,8.78525,11.189687,-3.819,-17.79,16.37284,0.96600231,0.18629134,39.52551,0.0015005068,265623.15
2012-01-12,12,-13.314542,-0.2243125,0.131125,4.2795208,0.96691667,-9999,72.542979,253.62413,163.53906,124.13483,19.319109,14.932625,17.042708,-2.9562708,8.758375,11.18825,-7.392,-17.825,14.730655,0.46700451,0.15563005,94.31266,0.00083064814,263211.26
2012-01-13,13,-8.8676458,-0.30852083,0.1991875,4.428375,1.0635417,-9999,72.552083,270.90669,185.585,108.64865,16.781457,21.304458,10.951792,-3.3924792,8.7003958,11.177563,-3.666,-14.471,6.5455082,0.66047536,0.15445619,104.63698,0.001093818,268338.31
2012-01-14,14,-2.4722292,-0.38297917,0.33677083,4.9813125,1.2727083,-9999,72.570146,296.6135,195.31242,116.06022,17.406348,35.488604,-0.31875,-2.95125,8.6507292,11.160292,2.033,-7.368,-2.6472138,1.0090632,0.14997687,114.88577,0.0016156276,276070.23
2012-01-15,15,-0.84214583,-0.37166667,0.44341667,4.5414583,1.1724375,-9999,71.982271,302.68092,192.84771,107.99128,16.262872,37.665583,-16.145917,-2.1813333,8.6253958,11.145354,2.275,-3.256,-18.104798,1.2,0.15059431,136.70282,0.0012206599,276721.04
2012-01-16,16,-8.2025417,-0.34608333,0.10320833,3.52175,0.89027083,-9999,71.525604,276.73104,239.95377,23.536739,5.5609556,33.732604,-20.796771,-1.9992292,8.6161458,11.144167,-2.868,-18.012,-18.801487,1.2,0.23626703,51.001526,0.0021128018,271554.2
2012-01-17,17,-17.18075,-0.3573125,0.065041667,4.2549792,1.0531875,-9999,72.215208,238.09396,141.95663,137.00176,27.18737,68.595687,-18.179458,-2.1470417,8.6041875,11.146104,-13.344,-21.157,13.677058,1.2,0.1984454,61.692137,0.0008610591,259401.74
2012-01-18,18,-8.5868958,-0.44735417,0.139625,6.5629792,1.5885,-9999,71.855208,273.85373,225.03398,82.531587,12.353298,72.233417,23.132479,-2.7082708,8.5643542,11.133125,-3.657,-14.448,21.358539,0.75743447,0.14967964,71.263039,0.0016027139,269892.7
2012-01-19,19,-1.895875,-0.46533333,0.11320833,5.0555,1.2580208,-9999,71.850354,303.6245,277.85498,54.715543,8.7426087,46.530917,-3.3267083,-2.1868125,8.5131875,11.117125,1.6,-5.61,20.203414,1.0769996,0.15978291,36.427874,0.0037236673,281919.56
2012-01-20,20,-2.893875,-0.36541667,0.084875,3.5564375,0.86966667,-9999,71.992583,299.03231,267.37502,74.418723,14.697617,95.219375,-38.535542,-1.26325,8.5031667,11.121396,-0.731,-4.934,28.063815,1.2,0.19749891,29.108416,0.0035711812,280535.36
2012-01-21,21,-1.3117083,-0.29135417,0.1705625,5.118875,1.3672708,-9999,71.29175,304.75954,251.23879,85.878319,13.550938,86.985479,-11.015687,-0.92277083,8.5293958,11.139688,3.002,-4.435,18.806632,1.1450009,0.1577923,53.056339,0.0034516363,281826.57
2012-01-22,22,-8.0148958,-0.256375,0.0695,5.6547292,1.3530625,-9999,71.45475,277.32879,229.42375,88.428609,16.245609,102.74702,-13.258438,-0.77358333,8.56525,11.160063,-2.973,-11.153,24.277958,1.1481579,0.1837144,33.739526,0.0022940455,272195.89
2012-01-23,23,-6.9982292,-0.23625,0.16558333,4.0413958,0.996125,-9999,71.957729,278.51517,191.39504,138.71998,20.737511,30.668729,24.929583,-0.92533333,8.6065208,11.179042,-2.023,-10.583,30.862343,0.55161259,0.14949188,75.815317,0.0018270444,272050.14
2012-01-24,24,-7.4741667,-0.23329167,0.0660625,2.2882292,0.5610625,-9999,72.353708,279.42681,232.54213,96.505787,14.734426,6.582375,29.346875,-1.0925625,8.6429583,11.189687,-5.001,-11.435,34.886674,0.1832038,0.15267919,30.871688,0.0024702578,273179.86
2012-01-25,25,-6.3024375,-0.2234375,0.1518125,5.7442917,1.3895833,-9999,72.744896,283.10465,218.28454,130.97669,18.8515,32.943383,36.726638,-1.1510208,8.64675,11.198437,0.416,-11.934,47.305085,0.47284876,0.14393019,66.103184,0.0020880067,273401.82
2012-01-26,26,-3.4601667,-0.21979167,0.16,4.365125,1.0903542,-9999,72.388583,295.06985,221.95192,130.40226,18.275583,28.071542,28.245417,-1.1923333,8.6315417,11.204333,1.287,-7.091,39.008734,0.49845628,0.14014776,57.399121,0.0028407623,278140.19
2012-01-27,27,-9.3852292,-0.20897917,0.074,3.99725,0.92883333,-9999,72.427125,271.59171,225.61531,130.28654,24.532174,88.427479,-8.6208333,-1.0394375,8.6269167,11.208854,-4.159,-15.291,59.777974,1.1080215,0.188294,39.58428,0.0019442475,269944.21
2012-01-28,28,-10.411229,-0.19666667,0.18375,5.8580208,1.3272917,-9999,72.811875,264.83581,171.2249,138.72098,20.980413,59.901417,5.9826458,-1.0877917,8.6265,11.213208,-5.687,-15.211,24.129649,0.90919434,0.15124182,107.69821,0.00095081119,266429.49
2012-01-29,29,-5.0094167,-0.201375,0.24633333,3.5609167,-9999,-9999,72.943125,286.72648,196.35337,142.94746,20.777936,-9999,-9999,-1.3551667,8.6051458,11.215292,1.318,-9.968,31.796416,-9999,0.14535366,99.129887,0.0016079835,273501.24
2012-01-30,30,-2.75125,-0.21202083,0.27272917,4.376875,-9999,-9999,72.212833,296.77279,207.73006,120.6194,17.764447,-9999,-9999,-1.304,8.5814375,11.215875,1.302,-5.176,13.812228,-9999,0.14727686,94.258928,0.0020642623,276911.4
2012-01-31,31,-5.7272083,-0.20489583,0.190875,3.5967917,-9999,-9999,72.395146,284.69608,192.81802,148.79761,21.516128,-9999,-9999,-1.1666667,8.573125,11.217208,-0.683,-10.968,35.403419,-9999,0.14459996,80.227836,0.0019766408,273701.51
2012-02-01,32,-5.5427292,-0.20189583,0.23175,3.2240417,-9999,-9999,72.659521,284.53477,196.09571,137.83113,20.704426,-9999,-9999,-1.246875,8.5646875,11.220229,-0.875,-9.971,28.687642,-9999,0.15021589,96.622603,0.0016899623,273170.21
2012-02-02,33,-5.6559375,-0.21254167,0.18339583,2.5753542,-9999,-9999,72.364667,285.95442,246.1125,126.02115,16.881208,-9999,-9999,-1.30825,8.5519375,11.221042,-2.255,-8.875,69.298027,-9999,0.13395536,76.638053,0.0019897983,273806.03
2012-02-03,34,-10.031042,-0.21370833,0.030333333,2.8285833,-9999,-9999,72.829396,270.32477,263.3425,60.67813,15.989426,-9999,-9999,-1.2114167,8.5434583,11.223062,-8.762,-11.487,37.706434,-9999,0.26351217,16.871181,0.0021931583,269917.45
2012-02-04,35,-10.610458,-0.20202083,0.0450625,1.103,-9999,-9999,73.096146,263.91492,224.49423,162.9707,43.749239,-9999,-9999,-1.0729167,8.5405208,11.22525,-5.664,-13.241,79.800769,-9999,0.2684485,26.178735,0.0019761029,268792.5
2012-02-05,36,-7.8028958,-0.18775,0.13064583,1.3341667,-9999,-9999,72.888396,270.39171,201.36169,172.01448,30.072826,-9999,-9999,-0.95110417,8.5419792,11.22875,-2.003,-11.918,72.911631,-9999,0.1748273,63.006461,0.0019529664,271556.26
2012-02-06,37,-9.0945208,-0.17572917,0.10335417,1.606,-9999,-9999,72.602833,266.9244,200.75354,153.58439,23.476085,-9999,-9999,-0.88933333,8.5485833,11.234583,-4.759,-13.249,63.937452,-9999,0.15285463,54.397283,0.0018478905,269995.48
2012-02-07,38,-10.435104,-0.1648125,0.097041667,1.62875,-9999,-9999,72.775417,265.35758,215.00273,178.00186,29.474196,-9999,-9999,-0.88447917,8.5546667,11.240063,-4.777,-16.09,98.172814,-9999,0.16558364,56.153157,0.0016721243,268208.78
2012-02-08,39,-6.5425833,-0.15670833,0.14433333,3.5934375,-9999,-9999,72.633083,281.81519,224.55046,124.02574,18.281542,-9999,-9999,-0.90491667,8.5585625,11.244917,-2.031,-10.005,48.479468,-9999,0.14740119,63.846298,0.0020151147,272978.24
2012-02-09,40,-7.1403125,-0.15127083,0.067541667,3.5456458,-9999,-9999,72.706667,280.37519,237.08581,139.70985,23.100723,-9999,-9999,-0.90775,8.5630208,11.2505,-4.142,-10.763,73.319749,-9999,0.16534785,30.846668,0.0025271452,273657.6
2012-02-10,41,-7.1311458,-0.14560417,0.0555,3.362125,0.79147917,-9999,72.572583,281.14829,264.98448,68.044087,11.997064,6.2827447,6.8889583,-0.85002083,8.5691042,11.256667,-4.406,-10.968,39.883211,0.47698803,0.1763131,25.292728,0.0026181548,273894.34
2012-02-11,42,-3.4752708,-0.1380625,0.087041667,1.7609792,0.387125,-9999,72.481104,295.65708,269.32504,104.1125,22.041109,83.091787,-25.104104,-0.81508333,8.57625,11.262917,0.531,-5.514,55.73935,1.2,0.21170473,31.039581,0.0033881192,279493.4
2012-02-12,43,-3.0857083,-0.12595833,0.12252083,1.7722917,0.45179167,-9999,71.785292,295.26746,252.10421,101.73385,18.769787,-9999,-9999,-0.74758333,8.583625,11.2685,1.314,-5.503,39.800814,-9999,0.18449894,42.708906,0.0032524163,279545.65
