time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,CO2_F_MDS,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,3.906,18.74,316.553,1.692,98.833,2.794,7.056,0.43526316,0.68916667,1.9559111,331.27252,396.871,3.29,50.944,-9999,-7.75167,26.3148,-23.7386,8.7915,-0.713,1.2,0.90549287,412.34508,0.0040292446,288514.39
2012-01-02,2,-2.489,50.508,291.655,1.395,99.542,0,5.874,0.34591304,24.016813,11.411812,305.84694,396.118,1.109,46.654,-9999,-8.33752,32.6558,8.33999,-0.679,-4.713,0.79656472,0.81570014,530.6781,0.0023136794,277798.5
2012-01-03,3,-6.191,66.461,264.304,1.495,100.446,0,4.258,0.31114634,29.038438,10.595729,289.63819,394.951,0.207,39.967,-9999,-8.74952,29.7506,16.536,-4.6345,-7.995,0.64274758,0.86249443,781.77724,0.0014624667,271949.96
2012-01-04,4,-2.645,80.28,276.824,1.698,99.651,0,3.703,0.28313158,42.030646,11.032792,302.54844,398.92,-0.402,36.854,-9999,-4.89527,24.3653,3.16099,1.0585,-7.332,0.88516469,0.87917584,677.81279,0.0020848732,277069.71
2012-01-05,5,1.108,94.231,290.224,1.665,99.423,0,3.003,0.29106667,53.586479,11.527521,317.4815,400.017,-0.389,37.071,-9999,-2.44985,20.2772,-7.02329,4.6675,-2.782,1.2,0.89100149,495.30068,0.0031065721,283395.72
2012-01-06,6,6.338,100.944,307.643,2.935,98.689,0,4.669,0.40573913,54.738458,13.313292,338.67456,396.786,-0.218,43.389,-9999,7.0466,26.658,-35.474,10.9495,3.283,0,0.88347972,650.4583,0.0041917274,291364.76
2012-01-07,7,4.475,85.003,307.853,2.681,99.413,0,3.717,0.25515625,47.198396,11.307313,332.91317,394.93,1.14,48.64,-9999,1.50173,31.5169,-13.405,7.1295,2.3665,1.2,0.882595,671.17171,0.0035907637,287990.03
2012-01-08,8,0.407,101.651,281.88,1.891,100.701,0,1.539,0.12688462,50.504208,13.4845,317.23206,398.368,1.298,46.956,-9999,-6.03365,20.546,6.80393,4.352,-1.746,0.75122679,0.88288147,605.18375,0.0027246602,281736.44
2012-01-09,9,1.468,75.861,287.723,2.173,100.024,0,3.207,0.33192857,32.598438,9.933,318.65425,397.071,0.993,46.319,-9999,-4.25546,27.0689,-10.6718,5.2535,-1.975,1.2,0.88422267,657.44035,0.0028790393,283188.69
2012-01-10,10,2.702,104.255,286.161,2.003,99.642,0,2.554,0.19332,49.864812,14.447625,323.49171,398.042,1.225,46.054,-9999,-2.29875,20.0637,-2.18895,7.92,-1.429,1.1224605,0.87828723,544.27535,0.0033884356,285702.35
2012-01-11,11,2.063,62.811,305.832,1.082,98.67,4.318,2.885,0.21589286,37.269688,7.45275,322.5905,399.999,1.281,46.187,-9999,-0.143479,19.1101,-2.14027,5.242,-2.686,1.1261221,0.89393179,287.37613,0.0037961577,286079.46
2012-01-12,12,1.844,14.816,322.275,0.53,97.611,1.524,4.54,0.38708824,10.421646,0.81302326,325.29358,396.47,2.433,48.3,-9999,-1.41825,24.5628,-0.465643,4.6375,-6.128,1.0193236,0.94797991,137.4751,0.0041204375,286670.06
2012-01-13,13,-6.44,37.535,280.858,0.803,98.535,0,7.214,0.52171795,9.7543125,19.946708,288.21812,397.172,0.585,41.115,-9999,-11.6028,23.4112,16.8883,-5.5525,-7.561,0.58093028,0.65299034,384.60816,0.0018825806,272750
2012-01-14,14,-6.682,56.604,277.08,0.784,99.988,0,3.354,0.242625,8.1186667,38.376958,286.42656,396.38,0.085,39.375,-9999,-4.68181,11.9327,7.44986,-5.8535,-7.5245,0.61564107,0.59595103,381.52617,0.0018237093,272359.61
2012-01-15,15,-5.994,101.613,264.887,1.036,100.94,0,2.362,-9999,15.436396,62.078958,287.66617,397.403,-0.021,38.252,-9999,-3.85252,14.2938,7.81009,-4.053,-7.7085,0.64666446,0.62075743,495.60237,0.0017747593,272928.68
2012-01-16,16,1.421,56.016,305.432,1.542,99.697,2.54,4.093,0.27955556,21.663125,21.091042,317.325,395.93,-0.259,37.563,-9999,2.17481,25.3428,-9.77628,7.099,-7.8715,1.2,0.72647062,443.77662,0.0032693308,284117.18
2012-01-17,17,6.903,33.898,343.399,1.131,98.556,15.494,5.327,0.385375,27.090708,3.1336667,346.70917,395.844,1.874,48.318,-9999,14.8223,28.1073,-18.3685,12.348,-0.829,1.2,0.91537873,218.31518,0.0055834153,295411.8
2012-01-18,18,-4.024,80.056,272.319,1.664,100.157,0,3.417,0.235,39.804,8.9810417,301.53733,394.539,0.869,44.531,-9999,-6.64435,36.333,16.3606,-1.716,-5.5785,0.68951448,0.8991314,741.38925,0.0017891724,274944.56
2012-01-19,19,-5.58,39.28,263.475,1.121,99.418,0,5.055,0.35086842,-9.3608542,21.183771,288.4219,397.388,0.25,40.084,-9999,-5.22673,15.5584,-5.50595,-1.6625,-12.625,1.2,0.64964522,525.28566,0.001827238,273475.95
2012-01-20,20,-10.774,72.909,250.465,0.769,100.3,0,2.12,0.12555172,11.117917,42.253375,268.35415,399.088,-0.21,35.928,-9999,-5.18775,9.19296,5.16382,-7.4485,-15.713,0.64032185,0.6330974,518.6837,0.0011966411,266679.48
2012-01-21,21,-7.455,120.319,263.663,0.736,100.337,0,2.829,-9999,13.872833,89.196625,280.41287,398.914,-0.338,34.91,-9999,-2.55783,9.54708,4.85786,-4.908,-10.4975,0.6627643,0.57427221,377.50478,0.0017139594,271308.37
2012-01-22,22,-2.704,64.077,295.913,0.678,100.066,0.762,3.667,-9999,7.0206667,51.248792,301.06621,398.377,-0.395,34.828,-9999,-2.51052,18.4037,-1.82555,4.699,-9.405,1.1101178,0.55561726,242.85916,0.0026983725,278544.16
