time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,12.007083,5.9364583,-9999,1.97,0.26270833,-9999,-9999,-9999,-9999,130.64917,6.49125,27.578298,23.589167,3.095,3.7783333,-9999,14.04,11.03,-9.1635417,0.53898113,0.049684588,3559.8307,-9999,-9999
2012-01-02,2,10.732917,5.9064583,-9999,1.90875,0.25666667,-9999,-9999,-9999,-9999,97.4725,1.0008333,20.723125,8.5845833,1.7614583,3.755625,-9999,12.08,9.47,-17.306875,0.70708787,0.010267853,3176.7791,-9999,-9999
2012-01-03,3,11.541875,6.4560417,-9999,1.0583333,0.24333333,-9999,-9999,-9999,-9999,127.91479,5.5020833,24.664375,29.27125,2.8054167,3.7416667,-9999,13.11,8.91,0.7725,0.45729284,0.04301366,2767.3605,-9999,-9999
2012-01-04,4,12.519583,7.03375,-9999,1.1064583,0.18166667,-9999,-9999,-9999,-9999,128.72521,4.7475,26.412917,25.580417,2.7422917,3.715,-9999,14.39,11.6,3.3241667,0.50800583,0.036880888,2931.4822,-9999,-9999
2012-01-05,5,10.895625,6.7672917,-9999,2.4297917,0.36770833,-9999,-9999,-9999,-9999,133.69646,6.548125,30.135417,23.564167,-0.047291667,3.6752083,-9999,12.18,9.03,1.1852083,0.5611853,0.04897755,2670.4407,-9999,-9999
2012-01-06,6,8.566875,6.0464583,-9999,3.1166667,0.308125,-9999,-9999,-9999,-9999,138.19875,13.988125,45.904583,23.133333,-2.8464583,3.6239583,-9999,9.97,6.74,-8.5227083,0.66491843,0.10121745,2765.7591,-9999,-9999
2012-01-07,7,4.741875,4.8429167,-9999,2.9491667,0.36083333,-9999,-9999,-9999,-9999,129.03187,17.262083,-9999,2.3739583,-4.09375,3.5933333,-9999,8.47,1.03,-4.0783333,-9999,0.13378154,1724.9281,-9999,-9999
2012-01-08,8,6.2958333,4.63,-9999,1.3141667,0.26958333,-9999,-9999,-9999,-9999,129.51354,15.495,18.518444,41.645,0.48041667,3.5589583,-9999,8.45,2.53,5.7877083,0.30780226,0.11964,2433.1525,-9999,-9999
2012-01-09,9,8.331875,4.6379167,-9999,1.6635417,0.24666667,-9999,-9999,-9999,-9999,135.40708,14.03,23.627292,35.021042,1.2797917,3.5475,-9999,9.9,6.8,8.4322917,0.40286382,0.10361349,2605.2889,-9999,-9999
2012-01-10,10,6.56625,4.836875,-9999,1.5710417,0.22770833,-9999,-9999,-9999,-9999,129.8875,18.846875,22.483125,37.625625,-1.3908333,3.5341667,-9999,7.99,5.13,2.7091667,0.3740408,0.14510153,2293.2614,-9999,-9999
2012-01-11,11,7.320625,4.8295833,-9999,1.7341667,0.2925,-9999,-9999,-9999,-9999,136.80792,17.222083,27.115,41.592917,-0.310625,3.5033333,-9999,9.31,6.11,-0.66145833,0.39464157,0.12588514,2413.7182,-9999,-9999
