time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-31.636215,-6.7045319,-9999,-9999,-9999,0,97.423873,-9999,-9999,-1.6958909,0.36952844,-9999,-9999,-9.5821579,8.1964138,10.672011,-25.00563,-35.432846,-3.9054995,-9999,-0.21789635,317.37481,0.00021803324,243266.44
2012-01-02,2,-33.324817,-6.2626335,-9999,-9999,-9999,0,96.597668,-9999,-9999,-0.36094731,1.30689,-9999,-9999,-9.5686787,8.11252,10.591092,-25.52681,-37.581858,-0.52647308,-9999,-3.6207224,353.13475,0.00018079876,241476.31
2012-01-03,3,-34.527373,-6.6288695,-9999,-9999,-9999,0,97.249106,-9999,-9999,-1.3047436,0.45618525,-9999,-9999,-9.7293279,8.0387037,10.533243,-30.992863,-37.282462,-1.698746,-9999,-0.34963592,353.41955,0.00015907269,240213.42
2012-01-04,4,-31.377824,-6.3816891,-9999,-9999,-9999,0,96.571373,-9999,-9999,-0.045753792,0.62287858,-9999,-9999,-9.9137533,7.9635686,10.469265,-28.49694,-33.91119,0.18737298,-9999,-13.613704,323.98538,0.00022443935,243542.14
2012-01-05,5,-29.005271,-6.1502441,-9999,-9999,-9999,0,96.766978,-9999,-9999,-1.3896359,-0.0046862708,-9999,-9999,-9.5836687,7.9100504,10.430393,-21.84299,-37.579334,-2.1039761,-9999,0.0033723013,318.70313,0.00028304408,246073.06
2012-01-06,6,-29.598773,-5.7869413,-9999,-9999,-9999,-9999,96.93442,-9999,-9999,-0.42289556,0.69996644,-9999,-9999,-9999,-9999,-9999,-25.62991,-37.372629,-0.61430054,-9999,-1.6551756,309.29839,0.00026883373,245441.07
2012-01-07,7,-31.214422,-6.2323215,-9999,-9999,-9999,-9999,95.784335,-9999,-9999,-0.935601,0.57639271,-9999,-9999,-9999,-9999,-9999,-26.01515,-36.230975,-1.406414,-9999,-0.61606679,333.52068,0.00022822468,243715.82
2012-01-08,8,-31.538457,-6.2957116,-9999,-9999,-9999,-9999,96.211722,-9999,-9999,-0.85979988,0.63174308,-9999,-9999,-9999,-9999,-9999,-30.203921,-32.421641,-1.4333914,-9999,-0.73475596,329.95597,0.00022071913,243371.4
2012-01-09,9,-31.669449,-6.1445238,-9999,-9999,-9999,-9999,98.052109,-9999,-9999,-0.58151762,1.0453276,-9999,-9999,-9999,-9999,-9999,-29.64628,-33.549688,-0.98663362,-9999,-1.7975854,331.89801,0.00021347873,243221.65
2012-01-10,10,-31.082529,-6.2032795,-9999,-9999,-9999,-9999,96.764718,-9999,-9999,-0.77692733,0.53142085,-9999,-9999,-9999,-9999,-9999,-29.145537,-33.447877,-1.0483465,-9999,-0.68400329,327.21859,0.00022997792,243852.75
2012-01-11,11,-29.96252,-6.0607669,-9999,-9999,-9999,-9999,96.624414,-9999,-9999,-0.61563085,0.53709823,-9999,-9999,-9999,-9999,-9999,-27.142407,-32.322999,-0.87704487,-9999,-0.87243553,318.28445,0.00025859728,245049.91
2012-01-12,12,-29.20012,-5.9056605,-9999,-9999,-9999,-9999,97.791565,-9999,-9999,-0.94714702,0.45413173,-9999,-9999,-9999,-9999,-9999,-24.739205,-31.817882,-1.6177152,-9999,-0.47947332,313.45413,0.00027600226,245859.64
2012-01-13,13,-30.229981,-5.6379106,-9999,-9999,-9999,-9999,99.638269,-9999,-9999,-0.29430165,0.93518036,-9999,-9999,-9999,-9999,-9999,-25.62991,-38.352968,-0.58545183,-9999,-3.1776253,306.50717,0.00024660362,244751.13
2012-01-14,14,-36.738989,-9999,-9999,-9999,-9999,-9999,100.81045,-9999,-9999,0.36676283,-9999,-9999,-9999,-9999,-9999,-9999,-26.01515,-38.553604,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-15,15,-34.253032,-9999,-9999,-9999,-9999,-9999,100.89952,-9999,-9999,1.1057817,-9999,-9999,-9999,-9999,-9999,-9999,-29.572928,-37.576962,-9999,-9999,-9999,-9999,-9999,-9999
