time,doy,TA_F,SW_IN_F,LW_IN_F,VPD_F,PA_F,P_F,WS_F,USTAR,NETRAD_DV,SW_OUT,LW_OUT,TS_F_MDS_1,SWC_F_MDS_1,SWC_F_MDS_2,G_F_MDS,LE_F_MDS,H_F_MDS,TA_max,TA_min,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-7.208,120.664,180.889,2.315,70.01,0,9.306,1.7509167,7.9192708,16.819354,276.81592,-0.121,22.152,-9999,-1.18848,92.6432,-84.1257,-4.2215,-12.8695,1.2,0.87766261,1607.2603,0.0011115378,270050.55
2012-01-02,2,-1.325,111.6,180.89,3.373,70.152,0,6.178,1.1427292,-22.435604,14.854688,300.07123,-0.1,22.132,-9999,-1.2034,22.5563,-30.03,1.5375,-5.4395,0,0.88252956,1515.2916,0.0019314062,278012.64
2012-01-03,3,-2.887,102.496,179.853,2.902,69.691,0,8.238,1.5703958,-26.214708,13.564896,294.99912,-0.105,22.169,-9999,-1.36104,16.1331,-7.27894,-0.5835,-5.455,1.2,0.8831226,1417.0346,0.0018248183,276176.36
2012-01-04,4,-0.243,83.237,192.781,4.225,70.02,0,6.529,1.2779167,-39.803958,11.398938,304.42323,-0.107,22.176,-9999,-0.992354,20.1188,-56.2272,2.84,-2.827,0,0.87954959,1955.9066,0.0015827811,278228.49
2012-01-05,5,0.419,118.814,193.352,3.853,69.402,0,7.796,1.5046458,-11.565292,15.741396,307.99017,-0.069,22.203,-9999,-1.30606,12.4397,8.52306,2.298,-3.141,0.593419,0.88301178,1551.2903,0.0021963225,280427.65
2012-01-06,6,-5.481,115.359,167.721,2.296,68.773,0,7.389,1.4304792,-16.828583,15.559271,284.34987,-0.1,22.267,-9999,-1.21658,13.2065,17.6447,-3.402,-6.59,0.42807087,0.88115279,1307.2775,0.0016049601,273019.75
2012-01-07,7,-9.942,51.949,220.283,0.982,68.465,0.762,3.081,0.66025,-5.2141667,7.8024167,269.64456,-0.117,22.234,-9999,-1.34004,17.0484,-6.90656,-6.3535,-13.507,1.2,0.86941872,645.97138,0.0017269016,268841.29
2012-01-08,8,-10.039,126.797,161.199,1.339,68.992,0,4.307,0.88777083,6.7703125,15.985896,265.24042,-0.151,22.102,-9999,-1.17692,9.13277,11.1647,-5.13,-14.1015,0.44994622,0.88804054,967.25885,0.0013713974,267855.05
2012-01-09,9,-1.787,118.401,191.008,2.272,69.331,0,4.217,0.76466667,-3.8255208,14.773062,298.46206,-0.112,21.945,-9999,-1.21692,3.49908,4.30352,1.7255,-4.2085,0.44845052,0.88906952,907.10067,0.0027782172,279665.36
2012-01-10,10,-2.995,121.417,180.06,3.198,68.781,4.064,7.411,1.415625,-6.9218333,15.489937,292.9094,-0.136,21.901,-9999,-1.11635,15.8882,1.68699,0.6065,-8.534,0.90401299,0.88685791,1675.0386,0.0015449233,275368.08
