time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,4.4958333,-9999,-9999,2.4833333,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.9,0.4,-9999,-9999,-9999,171.5678,-9999,-9999
2012-01-02,2,1.1208333,-9999,-9999,2.7458333,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,7.1,-2.9,-9999,-9999,-9999,492.16524,-9999,-9999
2012-01-03,3,-7.3541667,-9999,-9999,3.1,0.86529167,0,-9999,-9999,-9999,-9999,-9999,-9999,73.904167,-9999,-9999,-9999,-3,-12.9,-9999,-9999,-9999,796.0877,-9999,-9999
2012-01-04,4,-9.8791667,-9999,-9999,2.0625,0.57082609,0,-9999,-9999,-9999,-9999,-9999,-9999,61.256522,-9999,-9999,-9999,-6.1,-15,-9999,-9999,-9999,801.61551,-9999,-9999
2012-01-05,5,-4.3083333,-9999,-9999,1.8666667,0.49925,0,-9999,-9999,-9999,-9999,-9999,-9999,3.9416667,-9999,-9999,-9999,-1.1,-7.1,-9999,-9999,-9999,619.9708,-9999,-9999
2012-01-06,6,0.5375,-9999,-9999,1.8416667,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,6.5,-5.5,-9999,-9999,-9999,633.18321,-9999,-9999
2012-01-07,7,5.3208333,-9999,-9999,2.05,-9999,0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,11.6,1.6,-9999,-9999,-9999,822.20978,-9999,-9999
2012-01-08,8,0.24166667,-9999,-9999,2.4583333,0.695125,0,98.888333,-9999,-9999,-9999,-9999,-9999,9.175,-9999,-9999,-9999,3.5,-4.6,40.208333,-9999,-9999,851.22329,0.002364863,280670.78
2012-01-09,9,-2.425,-9999,-9999,1.6125,0.379375,0,99.106583,-9999,-9999,-9999,-9999,-9999,5.7208333,-9999,-9999,-9999,1.8,-6.5,46.583333,-9999,-9999,920.22616,0.001836414,276669.66
2012-01-10,10,0.35,-9999,-9999,2.0958333,0.5465,0,98.079208,-9999,-9999,-9999,-9999,-9999,-4.7125,-9999,-9999,-9999,4.5,-3,53.958333,-9999,-9999,596.26026,0.0028059862,281882.47
2012-01-11,11,-0.16666667,-9999,-9999,1.7875,0.351125,0,98.692625,-9999,-9999,-9999,-9999,-9999,14.5,-9999,-9999,-9999,4.4,-3.4,56.625,-9999,-9999,646.83263,0.0026008444,280850.36
2012-01-12,12,-0.1875,-9999,-9999,3.9041667,-9999,14,97.554458,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,0.3,-0.8,52.625,-9999,-9999,83.170277,0.0036715455,283506.18
2012-01-13,13,-0.93333333,-9999,-9999,3.825,-9999,1.8,96.579583,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.8,-4.8,57.041667,-9999,-9999,128.79348,0.0034181221,282123.06
2012-01-14,14,-5.5708333,-9999,-9999,3.1166667,0.90566667,0,97.892667,-9999,-9999,-9999,-9999,-9999,40.333333,-9999,-9999,-9999,-2.6,-11.7,58.958333,-9999,-9999,654.28502,0.0017137056,273201.33
2012-01-15,15,-14.020833,-9999,-9999,2.9875,0.76579167,0,99.370208,-9999,-9999,-9999,-9999,-9999,56.816667,-9999,-9999,-9999,-10.4,-17.3,65.416667,-9999,-9999,607.09599,0.00086759293,262593.79
2012-01-16,16,-8.975,-9999,-9999,2.525,0.65795833,2.1,99.783458,-9999,-9999,-9999,-9999,-9999,4.8875,-9999,-9999,-9999,-2.8,-17.3,80.708333,-9999,-9999,792.35777,0.001166145,268411.24
2012-01-17,17,0.9875,-9999,-9999,2.8,0.75775,3.2,97.931292,-9999,-9999,-9999,-9999,-9999,-16.070833,-9999,-9999,-9999,5,-2.2,60.708333,-9999,-9999,77.639805,0.0039972643,285501.35
2012-01-18,18,-2.0416667,-9999,-9999,3.9416667,1.11025,0,97.899417,-9999,-9999,-9999,-9999,-9999,42.895833,-9999,-9999,-9999,5.8,-9.5,65.916667,-9999,-9999,846.79594,0.0020062514,277479.5
2012-01-19,19,-7.1458333,-9999,-9999,2.4291667,0.54078261,1.8,98.91075,-9999,-9999,-9999,-9999,-9999,28.279167,-9999,-9999,-9999,-3.2,-12.4,78,-9999,-9999,660.57924,0.001488793,271056.17
2012-01-20,20,-6.0583333,-9999,-9999,2.2541667,0.6155,1.1,98.810958,-9999,-9999,-9999,-9999,-9999,25.0875,-9999,-9999,-9999,-2.9,-10,75.791667,-9999,-9999,583.64419,0.0017079693,272697.05
2012-01-21,21,-9.25,-9999,-9999,1.5,0.33258333,2.7,99.157667,-9999,-9999,-9999,-9999,-9999,4.1875,-9999,-9999,-9999,-7.7,-11.7,40.083333,-9999,-9999,336.36768,0.0015437681,269078.92
2012-01-22,22,-7.8291667,-9999,-9999,1.8583333,0.34666667,0.6,100.0925,-9999,-9999,-9999,-9999,-9999,15.4125,-9999,-9999,-9999,-2.6,-14,77.958333,-9999,-9999,405.20007,0.0016399068,270747.2
2012-01-23,23,1.0666667,-9999,-9999,2.6416667,0.50672727,4.2,99.211375,-9999,-9999,-9999,-9999,-9999,-16.7,-9999,-9999,-9999,8.4,-4,58.125,-9999,-9999,134.95187,0.003839133,285185.58
2012-01-24,24,5.7625,-9999,-9999,2.5375,0.71525,0.3,98.27275,-9999,-9999,-9999,-9999,-9999,-10.25,-9999,-9999,-9999,9.7,1.1,87.083333,-9999,-9999,264.30553,0.0050431348,292914.9
2012-01-25,25,0.11666667,-9999,-9999,2.4541667,0.73341667,0,99.01525,-9999,-9999,-9999,-9999,-9999,21.2875,-9999,-9999,-9999,1.4,-1.2,64.791667,-9999,-9999,533.31558,0.0028359502,281722.88
2012-01-26,26,0.34166667,-9999,-9999,1.6166667,0.35236364,7.1,98.898292,-9999,-9999,-9999,-9999,-9999,23.869565,-9999,-9999,-9999,4.3,-2.5,98.791667,-9999,-9999,303.10857,0.0033104386,283135.22
2012-01-27,27,1.7791667,-9999,-9999,2.7041667,-9999,19.9,97.134292,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,3.2,0.4,-9999,-9999,-9999,82.99848,0.0042545347,286940.15
2012-01-28,28,2.0875,-9999,-9999,2.4916667,0.673375,0,98.099833,-9999,-9999,-9999,-9999,-9999,-8.3333333,-9999,-9999,-9999,5.7,-0.8,70.791667,-9999,-9999,628.59778,0.0031352243,284451.75
2012-01-29,29,0.7125,-9999,-9999,2.7708333,0.82154167,0,98.519875,-9999,-9999,-9999,-9999,-9999,24.104167,-9999,-9999,-9999,3.9,-1.9,69.208333,-9999,-9999,1323.8401,0.0018366182,279823.36
2012-01-30,30,-1.4333333,-9999,-9999,2.8041667,0.79495833,0,98.846917,-9999,-9999,-9999,-9999,-9999,71.445833,-9999,-9999,-9999,0.7,-5,80.791667,-9999,-9999,1039.3898,0.0018475428,277694.11
