time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,0.1875,4.025,-9999,6.2766667,0.70104167,3.2,98.062917,-9999,-9999,40.164583,8.00625,-9999,-10.104255,-8.6979167,45.552083,43.4,4.2,-3.6,10.633333,-9999,0.19933607,579.81801,0.0027997281,281703.51
2012-01-02,2,-7.5,2.6895833,-9999,5.5377083,0.59979167,0,99.217708,-9999,-9999,44.735417,8.9291667,14.395833,25.2125,-13.86875,45.635417,43.366667,-3.9,-10.6,5.9083333,0.36345466,0.1995995,794.37773,0.0013223575,270284.14
2012-01-03,3,-8.475,2.1229167,-9999,2.915,0.34833333,0,99.402083,-9999,-9999,98.275,24.408333,8.3804348,25.541667,-11.683333,42.825,43.3125,-4.5,-13.6,18.58125,0.2470494,0.24836768,783.6729,0.0012269724,269065.81
2012-01-04,4,-1.7604167,1.9895833,-9999,2.6185417,0.29979167,0,98.551042,-9999,-9999,81.35,19.5375,5.5418605,5.7375,-8.2041667,38.991667,43.4,3.6,-6.5,19.5625,0.49132754,0.24016595,794.1423,0.0021050231,278009.09
2012-01-05,5,1.39375,2.025,-9999,2.5420833,0.27458333,0,98.234583,-9999,-9999,95.514583,23.00625,-9999,8.6479167,-6.8333333,39.639583,43.49375,8.1,-6.1,26.522917,-9999,0.24086636,684.44115,0.0028749183,283103.76
2012-01-06,6,5.6041667,2.1,-9999,2.5552083,0.28395833,0,97.803125,-9999,-9999,93.252083,21.075,-9999,3.75625,-6.04375,45.297917,43.5,11.4,0,35.114583,-9999,0.22600031,870.67251,0.0035399603,288997.84
2012-01-07,7,0.16666667,2.3604167,-9999,2.2752083,0.225,0,98.749167,-9999,-9999,100.73125,25,-9999,17.404167,-4.29375,45.560417,43.5,4.3,-4.4,23.46875,-9999,0.24818515,601.37522,0.0027400859,281533.46
2012-01-08,8,-2.10625,2.3166667,-9999,1.1420833,0.089791667,0,99.542292,-9999,-9999,76.152083,16.73125,-9999,15.810417,-6.7208333,46.075,43.5,2.9,-7.1,20.010417,-9999,0.21970837,387.37338,0.0026031405,278906.82
2012-01-09,9,0.033333333,2.26875,-9999,3.2341667,0.36333333,0,98.875,-9999,-9999,77.01875,18.620833,-9999,-4.5270833,-6.6395833,45.4875,43.5,6.3,-5.5,22.508333,-9999,0.24177013,479.00323,0.0029154421,281837.86
2012-01-10,10,2.1895833,2.3,-9999,1.8933333,0.16729167,0,98.446042,-9999,-9999,107.34792,26.16875,-9999,25.022222,-6.00625,45.991667,43.5,9.8,-4.9,31.770833,-9999,0.24377511,645.36307,0.0031169069,284508.55
2012-01-11,11,2.1666667,2.3291667,-9999,1.270625,0.091666667,0,97.386042,-9999,-9999,94.433333,23.395833,-9999,17.622917,-5.7125,46.070833,43.5,11,-4.9,31.491667,-9999,0.24774974,631.83179,0.0031709284,284620.57
2012-01-12,12,-4.5666667,2.3,-9999,3.92875,0.43458333,0.4,96.821458,-9999,-9999,25.95,7.9229167,-9999,2.0729167,-5.7083333,46.18125,43.5,0.1,-10.2,7.4291667,-9999,0.30531471,248.9783,0.0024126756,275957.94
