time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-28.508542,-6.7419149,0.13622542,0.59308511,-9999,0,89.978723,-9999,-9999,0.30531527,-9999,3.7016885,-11.258611,-5.5503298,-9999,-9999,-26.04,-32.05,-9999,0,-9999,350.008,0.00030923782,246637.76
2012-01-02,2,-30.841042,-6.9574167,0.12185542,0.385125,-9999,0,89.166667,-9999,-9999,0.3796859,-9999,5.3504641,-9.8470387,-5.4520313,-9999,-9999,-28.85,-32.66,-9999,0,-9999,387.34881,0.00024140228,244124.01
2012-01-03,3,-30.118542,-6.9365417,0.12582356,0.13210417,-9999,0,89.670833,-9999,-9999,0.37160744,-9999,0.81980217,-12.274771,-5.0484063,-9999,-9999,-27.36,-36.48,-9999,0,-9999,374.01747,0.00026064826,244898.24
2012-01-04,4,-23.269167,-7.0716667,0.24547354,1.0120625,-9999,0,88.985417,-9999,-9999,0.41871042,-9999,1.3908883,-10.249145,-4.9234688,-9999,-9999,-15.95,-32.01,-9999,0,-9999,417.46794,0.00050475522,252392.13
2012-01-05,5,-22.449583,-6.9551042,0.20504771,1.2197708,-9999,0,89.08125,-9999,-9999,0.46766937,-9999,3.9055901,-6.0018144,-4.6072812,-9999,-9999,-17.42,-28.85,-9999,0,-9999,316.39179,0.00056956696,253377.84
2012-01-06,6,-21.03875,-6.9032708,0.35846958,1.1912292,-9999,0,88.841667,-9999,-9999,0.29889813,-9999,3.390851,-15.121478,-4.3465833,-9999,-9999,-13.9,-25.86,-9999,0,-9999,527.27383,0.000571513,254800.59
2012-01-07,7,-28.309167,-9999,0.13823558,-9999,-9999,-9999,-9999,-9999,-9999,0.42675685,-9999,4.423331,-8.1493967,-9999,-9999,-9999,-23.446,-35.43,-9999,0,-9999,349.11476,-9999,-9999
2012-01-08,8,-27.685875,-9999,0.18544187,-9999,-9999,-9999,-9999,-9999,-9999,0.35096081,-9999,3.0975833,-29.43409,-9999,-9999,-9999,-21.24,-33.127,-9999,0,-9999,460.66366,-9999,-9999
2012-01-09,9,-21.977896,-9999,0.34677937,-9999,-9999,-9999,-9999,-9999,-9999,0.23290903,-9999,1.359897,-36.026583,-9999,-9999,-9999,-16.356,-31.9,-9999,0,-9999,554.33106,-9999,-9999
2012-01-10,10,-17.870417,-7.4654792,0.44671271,4.1115833,0.23389792,0,89.3375,-9999,-9999,0.23689583,-9999,0.95141438,-30.750381,-4.8152188,-9999,-9999,-14.58,-21.7,-12.966563,0,-9999,510.1973,0.00073914258,258403.84
