time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,8.6434583,7.4913125,7.796108,2.7734827,0.25465127,0,86.514583,-9999,-9999,-9999,-9999,16.04413,22.813463,0.078084479,11.4375,18.175,14.78,0.916,50.442833,0.41289561,-9999,2056.0197,0.0028460238,290317.49
2012-01-02,2,7.2085417,6.143625,6.8077474,2.5197262,0.1728679,0,86.727083,-9999,-9999,-9999,-9999,9.8330353,31.70278,-3.3587847,11.120833,17.927083,13.2,3.365,55.278396,0.2367363,-9999,1902.3647,0.0026321421,288340.69
2012-01-03,3,7.9055417,6.250875,6.9040136,1.7926708,0.12439702,0,86.25,-9999,-9999,-9999,-9999,9.0764073,34.952889,-0.16111935,10.8875,17.670833,14.91,3.026,58.509083,0.20614473,-9999,1807.2181,0.0030126486,289992.44
2012-01-04,4,8.6239167,6.5715208,7.6187514,2.0231471,0.16946412,0,86.3,-9999,-9999,-9999,-9999,11.195207,28.964532,-0.71470729,10.74375,17.475,16.51,-0.396,56.258146,0.27876692,-9999,1978.1126,0.0032698996,291357.54
2012-01-05,5,7.5546458,6.56425,7.0420107,2.2359185,0.15800013,0,85.964583,-9999,-9999,-9999,-9999,12.071203,25.704854,-2.4063439,10.5125,17.25625,14.99,1.061,56.330458,0.31954639,-9999,1941.3306,0.0028244586,289169.32
2012-01-06,6,8.9969583,7.3877292,8.330326,2.5315608,0.11801933,0,85.33125,-9999,-9999,-9999,-9999,9.6896328,33.710271,1.1534924,10.404167,17.064583,16.38,4.207,57.765604,0.22326392,-9999,2229.594,0.0026694189,290231.24
2012-01-07,7,9.811125,7.3282708,9.0501579,3.4027562,0.220506,0,85.189583,-9999,-9999,-9999,-9999,9.586313,31.747958,-0.82279371,10.260417,16.904167,16.52,3.659,54.901563,0.23192166,-9999,2369.4616,0.0026198181,290925.48
2012-01-08,8,7.0723958,6.5499583,5.4879544,3.3644506,0.2526805,5.334,85.135417,-9999,-9999,-9999,-9999,5.8634359,21.391932,-3.7657411,10.414583,16.720833,12.64,2.335,37.586521,0.21512958,-9999,1374.4651,0.0039631325,291531.34
2012-01-09,9,2.97975,4.8055417,1.8646219,1.6670392,0.14426773,1.778,85.739583,-9999,-9999,-9999,-9999,-9999,23.162996,-7.1723048,13.033333,16.7,8.99,-0.178,60.013833,-9999,-9999,491.32832,0.0043654368,288423.99
2012-01-10,10,4.1350417,4.3424167,3.4500432,2.3632201,0.10899879,0,85.56875,-9999,-9999,-9999,-9999,26.20732,34.998849,-4.419291,12.116667,16.985417,10.7,-1.711,70.557521,0.42818102,-9999,941.66046,0.0037985081,288167.74
