time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,3.2624048,4.9966316,4.3694705,5.1198093,0.48857449,0,98.839344,325.68235,227.19127,122.17819,30.818285,22.951109,-10.191955,-5.9337776,38.015758,-9999,6.69299,-1.50427,-7.131171,1.2,0.25224048,1409.0274,0.0021860746,283259.65
2012-01-02,2,-2.3063592,2.7160275,3.4658081,3.6411175,0.33238546,0,99.616566,296.55523,195.15188,128.67391,33.731248,9.9175335,12.207827,-14.378728,37.317415,-9999,1.75992,-5.74661,-6.4606864,0.44824281,0.2621452,1770.6011,0.0011474965,275066.6
2012-01-03,3,0.82389167,1.8938803,4.3376165,3.3555781,0.32621047,0,98.447889,311.35346,234.70833,116.14098,29.416579,9.451895,14.151394,-12.484136,36.456169,-9999,8.70592,-6.77024,10.079273,0.40044821,0.25328337,1802.4718,0.0016546585,279480.41
2012-01-04,4,5.8839525,3.4349832,5.2367491,3.1483559,0.28352238,0,98.219537,332.21117,246.4329,125.33041,31.316135,6.6484833,1.6235117,-2.4819525,37.064761,-9999,11.41952,1.62667,8.2360084,0.80373396,0.2498686,1433.6498,0.0028338281,287513.69
2012-01-05,5,9.0764756,4.7118047,7.1978063,3.531634,0.35577787,0,97.565973,352.67109,266.42103,122.31021,30.102731,7.0797352,-8.5295367,2.1102769,36.808971,-9999,18.69821,1.16791,5.9574255,0,0.24611789,1714.8523,0.0036377874,292732.08
2012-01-06,6,8.29375,5.7442946,5.9557032,3.1467977,0.3299536,0,97.078998,349.51196,265.42124,121.54013,30.151376,7.2742329,-1.8286502,2.1190162,36.597689,-9999,12.95192,3.88077,7.2980243,1.2,0.24807754,1384.5822,0.0033485522,291222.35
2012-01-07,7,3.4114165,4.7835945,4.4371713,1.8274263,0.16872029,0,98.124823,323.48331,249.94936,89.096734,22.09953,6.4249296,7.0555471,-5.7169862,36.316969,-9999,8.46371,-1.66488,-6.536748,0.47660997,0.24803973,1420.9501,0.0023625984,283850.72
2012-01-08,8,2.6091133,4.6274991,2.887979,1.8075566,0.17583263,0,98.527247,322.34714,270.80144,79.984524,18.090426,4.865816,12.58392,-5.2989963,36.195085,-9999,7.03694,0.41135,10.348396,0.27884754,0.22617408,850.7746,0.0029225653,284444.32
2012-01-09,9,3.4839246,3.7470354,3.7965386,1.9746994,0.148061,0,98.29102,316.55774,239.95051,120.0252,29.218403,7.7140802,19.955188,-8.0383319,36.00778,-9999,10.69881,-3.8022,14.199567,0.27879596,0.24343557,1130.0598,0.0029826518,285473.72
2012-01-10,10,5.5230825,3.9560323,5.3205411,1.8834578,0.13897481,0,97.410123,326.1394,247.09041,125.47316,31.115331,6.6702215,22.680058,-5.0524265,35.940577,-9999,12.63394,-1.32118,15.308844,0.22726263,0.24798396,1520.5738,0.0028335053,287150.21
2012-01-11,11,1.1276981,3.4147325,2.4943081,4.9343775,0.4611248,0,96.842704,313.23611,269.83836,80.192592,19.718294,12.050472,21.623898,-8.105415,35.801289,-9999,6.8875,-5.26726,17.076554,0.35785294,0.24588673,798.96028,0.0027970841,282641.8
