time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,1.4014533,2.1465878,-9999,3.9577653,0.41324194,-9999,96.296463,-9999,-9999,12.945742,-9999,11.992229,-17.248377,-7.5314206,31.10174,-9999,5.819532,-2.760767,-9999,0,-9999,-9999,0.0039146711,285710.89
2012-01-02,2,-5.0517372,1.7926792,-9999,3.3589003,0.29781575,-9999,97.342394,-9999,-9999,72.284525,-9999,4.0043129,-15.940194,-9.8965126,31.181419,-9999,-3.0128,-8.27593,-9999,0,-9999,-9999,0.0021985622,274935.16
2012-01-03,3,-7.6471852,1.4965968,-9999,2.455368,0.20326399,-9999,98.069256,-9999,-9999,98.680675,-9999,4.4611251,-19.365513,-9.7098675,30.890164,-9999,-5.070039,-9.567025,-9999,0,-9999,-9999,0.0014896977,270554.57
2012-01-04,4,-3.1047561,1.3971374,-9999,2.6228595,0.2447725,-9999,97.119759,-9999,-9999,92.331238,-9999,7.4833633,-11.62561,-7.863235,30.381733,-9999,2.136941,-8.225455,-9999,0,-9999,-9999,0.0023063287,277161.29
2012-01-05,5,0.95809035,1.3841014,-9999,1.8559424,0.17451071,-9999,96.84598,-9999,-9999,100.84809,-9999,3.3333662,-12.56618,-6.3810612,30.407282,-9999,5.948787,-2.618383,-9999,0,-9999,-9999,0.0032747416,283665.48
2012-01-06,6,6.6943583,1.8800407,-9999,2.1028873,0.21287942,-9999,96.244976,-9999,-9999,93.198017,-9999,10.279189,-26.691446,-0.11085615,31.48499,-9999,10.15465,3.158332,-9999,0,-9999,-9999,0.0039859148,291208.37
2012-01-07,7,2.2820404,1.7253862,-9999,1.9534192,0.20909717,-9999,97.076318,-9999,-9999,47.989025,-9999,9.5623686,-10.797529,-9.8798644,31.233928,-9999,4.746959,-2.938027,-9999,0,-9999,-9999,0.003368934,285231.54
2012-01-08,8,-1.4082115,0.73319133,-9999,0.77756657,0.088154095,-9999,98.226044,-9999,-9999,103.74549,-9999,9.4049104,7.5994576,-13.100478,29.604655,-9999,3.801229,-6.190326,-9999,0.55308791,-9999,-9999,0.0026995899,279849.47
2012-01-09,9,0.8571212,0.46263335,-9999,2.3817725,0.23503106,-9999,97.465042,-9999,-9999,79.730645,-9999,14.328175,-17.06682,-11.191834,28.97459,-9999,4.810509,-3.569533,-9999,0,-9999,-9999,0.0030593191,283025.45
2012-01-10,10,2.7095189,0.51127497,-9999,1.3970028,0.13834672,-9999,97.126467,-9999,-9999,112.9044,-9999,-9999,5.3251822,-6.0975029,28.973818,-9999,8.626949,-2.948442,-9999,-9999,-9999,-9999,0.0037525409,286620.17
