time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,1.4404117,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,15.062724,-9999,-9999,-9999,-9999,-9999,-9999,5.949273,-2.8217,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-02,2,-5.1488055,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,64.762854,-9999,-9999,-9999,-9999,-9999,-9999,-2.989909,-8.324512,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-03,3,-7.7803204,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,101.87366,-9999,-9999,-9999,-9999,-9999,-9999,-5.48248,-9.960862,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-04,4,-3.1070274,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,92.403987,-9999,-9999,-9999,-9999,-9999,-9999,1.82634,-7.894285,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-05,5,0.90984203,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,105.33678,-9999,-9999,-9999,-9999,-9999,-9999,4.911562,-3.188915,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-06,6,6.1466304,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,93.153628,-9999,-9999,-9999,-9999,-9999,-9999,9.362226,3.747591,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-07,7,2.0356404,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,49.447855,-9999,-9999,-9999,-9999,-9999,-9999,4.179503,-2.873133,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-08,8,-1.7026661,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,99.075971,-9999,-9999,-9999,-9999,-9999,-9999,3.11236,-7.088459,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-09,9,0.51826229,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,73.317514,-9999,-9999,-9999,-9999,-9999,-9999,4.560031,-3.162387,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-10,10,3.0693835,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,108.10245,-9999,-9999,-9999,-9999,-9999,-9999,8.035048,-3.05251,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-11,11,3.4091954,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,60.727972,-9999,-9999,-9999,-9999,-9999,-9999,9.096482,-2.862732,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-12,12,0.46232178,-9999,-9999,2.9308499,0.45541411,-9999,98.651198,-9999,-9999,19.426804,-9999,0.74156755,-47.357991,-9999,-9999,-9999,3.52674,-7.666581,-9999,0,-9999,-9999,0.0036720483,284160.5
2012-01-13,13,-5.0567051,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,44.724857,-9999,-9999,-9999,-9999,-9999,-9999,-3.027148,-8.346293,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-14,14,-6.741174,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,62.129948,-9999,-9999,-9999,-9999,-9999,-9999,-5.56986,-8.516954,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-15,15,-9.5691226,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,121.22559,-9999,-9999,-9999,-9999,-9999,-9999,-5.498429,-15.94388,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-16,16,0.098285963,0.54200529,-9999,-9999,-9999,-9999,-9999,302.2304,270.35836,66.054457,41.602307,-9999,-9999,-7.4694604,33.046615,-9999,6.071789,-7.28546,-7.4198891,-9999,0.62981833,-9999,-9999,-9999
2012-01-17,17,0.16397251,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.69215,-9999,-9999,-9999,-9999,-9999,-9999,3.276258,-5.562673,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-18,18,-6.1542368,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,62.799147,-9999,-9999,-9999,-9999,-9999,-9999,-4.061556,-7.37958,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-19,19,-9.2717004,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,73.39269,-9999,-9999,-9999,-9999,-9999,-9999,-3.819771,-18.2388,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-20,20,-12.668301,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,47.873635,-9999,-9999,-9999,-9999,-9999,-9999,-9.074719,-18.29136,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-21,21,-9.7441713,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,128.40085,-9999,-9999,-9999,-9999,-9999,-9999,-3.185994,-14.84669,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-22,22,-4.703761,0.24368029,-9999,2.3936173,0.47169278,-9999,98.222146,291.60997,273.54151,46.893433,30.081155,-9999,-11.862717,-11.049017,30.825162,-9999,2.711703,-11.00754,-1.2561778,-9999,0.64147906,-9999,0.0025154046,276076.98
2012-01-23,23,3.9414765,0.22106686,-9999,4.5050954,0.7430756,-9999,96.772585,328.98964,327.01497,11.079886,1.7692024,-9999,-27.052565,1.3889104,35.011551,-9999,7.809499,-1.243833,7.3360087,-9999,0.15967695,-9999,0.0048373951,290570.42
2012-01-24,24,-1.5334265,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,16.624348,-9999,-9999,-9999,-9999,-9999,-9999,-1.057154,-2.165319,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-25,25,-1.3774982,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,56.598607,-9999,-9999,-9999,-9999,-9999,-9999,0.2819733,-2.49378,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-26,26,-0.70716546,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,24.464842,-9999,-9999,-9999,-9999,-9999,-9999,0.3898886,-2.355867,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-27,27,1.056646,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,111.02846,-9999,-9999,-9999,-9999,-9999,-9999,3.826721,-0.4121052,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-28,28,-1.0311918,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,84.532864,-9999,-9999,-9999,-9999,-9999,-9999,0.6682245,-3.001709,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-29,29,-3.3991904,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,65.422638,-9999,-9999,-9999,-9999,-9999,-9999,-1.573132,-4.84631,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-30,30,-1.7631413,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,56.803299,-9999,-9999,-9999,-9999,-9999,-9999,4.153826,-8.712205,-9999,-9999,-9999,-9999,-9999,-9999
2012-01-31,31,8.3056303,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,84.676223,-9999,-9999,-9999,-9999,-9999,-9999,10.88782,4.008327,-9999,-9999,-9999,-9999,-9999,-9999
2012-02-01,32,3.6836605,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,33.917744,-9999,-9999,-9999,-9999,-9999,-9999,10.14045,1.181661,-9999,-9999,-9999,-9999,-9999,-9999
2012-02-02,33,2.2027684,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,91.623276,-9999,-9999,-9999,-9999,-9999,-9999,6.532925,-1.512614,-9999,-9999,-9999,-9999,-9999,-9999
2012-02-03,34,1.2694594,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,66.404776,-9999,-9999,-9999,-9999,-9999,-9999,4.808559,-1.822749,-9999,-9999,-9999,-9999,-9999,-9999
2012-02-04,35,1.6183011,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,135.81808,-9999,-9999,-9999,-9999,-9999,-9999,6.314289,-3.529427,-9999,-9999,-9999,-9999,-9999,-9999
2012-02-05,36,-0.22543219,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,147.07874,-9999,-9999,-9999,-9999,-9999,-9999,5.659607,-5.635884,-9999,-9999,-9999,-9999,-9999,-9999
2012-02-06,37,-0.70228551,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,74.275314,-9999,-9999,-9999,-9999,-9999,-9999,1.920012,-2.9158,-9999,-9999,-9999,-9999,-9999,-9999
2012-02-07,38,-0.54283932,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,28.906803,-9999,-9999,-9999,-9999,-9999,-9999,0.807813,-3.072879,-9999,-9999,-9999,-9999,-9999,-9999
2012-02-08,39,-3.2709886,0.6335448,-9999,1.4668019,0.24837897,-9999,99.247733,291.9523,205.75639,156.21133,44.439758,4.8657067,14.368346,-3.9594083,35.174411,-9999,1.049408,-8.017594,25.575665,0.25297355,0.28448486,-9999,0.002169465,276652.07
2012-02-09,40,-2.3381949,0.54209721,-9999,2.1558581,0.40544045,-9999,98.80809,294.85231,194.51862,155.40961,41.107486,4.8779844,16.140996,-3.5684667,33.929408,-9999,2.221707,-5.973177,13.968435,0.23207521,0.26451059,-9999,0.0022275316,277734.69
2012-02-10,41,-3.0138584,0.53018115,-9999,2.601914,0.47362253,-9999,98.083407,301.37521,283.58291,33.811707,7.6944387,-9999,-2.6254493,-3.4327396,33.574628,-9999,-0.3758554,-11.57122,8.3249777,-9999,0.2275673,-9999,0.0026430445,278094.43
2012-02-11,42,-10.684921,0.50294173,-9999,2.6690947,0.42299947,-9999,98.902183,256.30709,220.41593,125.71752,92.32359,-2.2931997,1.3289374,-3.1581604,32.893413,-9999,-7.22823,-15.10924,-2.4972335,1.2,0.73437331,-9999,0.0014011452,267280.27
2012-02-12,43,-5.0292814,0.48880102,-9999,3.2053274,0.44428176,-9999,98.842171,276.68787,223.40282,146.19792,91.705551,-5.5188279,-3.6351708,-4.9792646,32.336072,-9999,-2.206242,-8.519096,1.2073135,0.60288712,0.6272699,-9999,0.0018902265,274186.89
2012-02-13,44,-3.0266894,0.47323386,-9999,1.6874319,0.2992243,-9999,98.469241,273.75125,234.50977,118.55199,71.46736,6.4657313,-13.603057,-10.861171,32.088081,-9999,0.5221608,-7.633343,7.8431496,0,0.60283559,-9999,0.0019748738,276411.11
2012-02-14,45,-1.6667282,0.49209546,-9999,1.7247393,0.31362391,-9999,97.896444,306.00889,287.71137,47.225389,32.964438,-9999,-2.5851088,-4.8683875,32.002604,-9999,-0.3000196,-3.19769,-4.0365662,-9999,0.69802365,-9999,0.0031508764,280717.88
2012-02-15,46,1.648083,0.49874026,-9999,2.1895031,0.41755484,-9999,98.509237,312.83451,294.42445,107.70073,52.496792,-9999,-7.9956123,-3.0468562,33.077789,-9999,4.75767,-0.2447287,36.793878,-9999,0.48743209,-9999,0.0036588273,285319.14
2012-02-16,47,2.6383653,0.50165438,-9999,-9999,-9999,-9999,98.213015,317.37369,293.82373,63.054736,13.533333,-9999,-9999,-0.65732917,36.607665,-9999,4.47014,-0.4337027,25.971448,-9999,0.21462833,-9999,0.0042623331,287823.14
2012-02-17,48,1.9026829,0.51445713,-9999,1.721559,0.32036953,-9999,98.458807,311.98766,245.60832,147.21621,35.32779,12.284164,10.305687,-0.3305625,35.644067,-9999,5.03586,-2.034359,45.509092,0.54379127,0.23997214,-9999,0.003075941,284117.8
2012-02-18,49,-0.29477484,0.52270424,-9999,2.5604322,0.40514664,-9999,98.560499,303.68211,223.60482,141.34999,38.853563,-2.7505892,7.7536714,-0.50085625,35.365196,-9999,4.306453,-4.917579,22.419137,0,0.27487489,-9999,0.0025437831,280578.96
2012-02-19,50,-3.9026363,0.50751975,-9999,0.93268706,0.27758261,-9999,98.891547,287.88129,220.41121,165.69871,46.005182,10.951399,46.444441,-7.4474396,33.848699,-9999,0.3716756,-6.694086,52.22345,0.19080475,0.27764357,-9999,0.0022149368,276130.94
2012-02-20,51,-1.9551166,0.43401412,-9999,1.1481724,0.30844139,-9999,99.041789,301.01151,234.21846,182.74362,51.782308,-9999,45.257859,-15.524969,32.523552,-9999,4.467658,-9.257388,64.168268,-9999,0.28336041,-9999,0.0023867759,278517.8
2012-02-21,52,1.4687332,0.45480377,-9999,2.5078954,0.46718093,-9999,97.327295,316.98453,287.59861,33.334768,5.2632215,-9999,-15.614731,-0.92831875,32.446463,-9999,3.709464,-1.493886,-1.3143752,-9999,0.15788985,-9999,0.0035585134,284888.11
2012-02-22,53,1.9925019,0.47228961,-9999,2.0593836,0.4156204,-9999,96.677512,314.32603,259.21986,104.61664,26.996991,10.718032,2.0331255,-0.48821875,32.784885,-9999,4.451382,-0.601297,22.513478,0.84055365,0.25805638,-9999,0.0035660376,285433.31
2012-02-23,54,0.029284909,0.48769142,-9999,-9999,-9999,-9999,96.772216,314.72666,310.99256,52.312034,13.049283,-9999,-9999,-0.36462708,33.316725,-9999,1.870715,-1.107137,35.528646,-9999,0.24945088,-9999,0.0038397823,284144.64
2012-02-24,55,-0.59732276,0.49861077,-9999,-9999,-9999,-9999,96.707558,309.79919,299.86616,86.310425,65.701009,-9999,-9999,-0.53361875,34.062173,-9999,0.8379781,-2.249318,10.676384,-9999,0.76121753,-9999,0.0036200157,282965.48
2012-02-25,56,-2.6451053,0.51067191,-9999,3.3319975,0.46803507,-9999,98.407595,295.49788,269.05172,128.02324,96.318254,-11.083664,-1.5413025,-0.76863542,34.183911,-9999,-1.442682,-3.778689,5.2588148,0.87791632,0.75234978,-9999,0.0026906445,278584.03
2012-02-26,57,-1.9674054,0.52538537,-9999,2.8430727,0.44400991,-9999,98.990972,279.77266,223.13066,207.11729,142.16891,-9999,-47.039921,-4.8991917,34.092839,-9999,3.303558,-8.904455,8.3063731,-9999,0.68641741,-9999,0.0023868463,278505.62
2012-02-27,58,0.8709756,0.5387042,-9999,3.4180232,0.51186685,-9999,98.992025,-9999,-9999,95.953452,65.661328,-3.8477067,-14.609878,-3.6397729,34.062443,-9999,4.355366,-0.9472855,-9999,0.20846209,0.68430397,-9999,0.0026079154,281910.87
2012-02-28,59,0.42324941,0.55879304,-9999,1.6349971,0.32068803,-9999,99.371622,-9999,-9999,171.62083,106.00775,-9999,-29.151872,-5.4665021,34.150841,-9999,4.307399,-4.679284,-9999,-9999,0.61768579,-9999,0.0028314957,282019.85
2012-02-29,60,3.7350021,0.85839785,-9999,2.0767157,0.35665558,-9999,97.414072,-9999,-9999,66.607689,18.760378,-9999,-6.1768165,-1.9476979,37.393485,-9999,14.54929,0.1649842,-9999,-9999,0.28165484,-9999,0.0043449402,289131.78
