time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,-9999,4.0722083,3.5797354,-9999,-9999,0,-9999,333.38499,265.91179,122.77056,-9999,-9999,-9999,-7.5531875,35.312469,36.218405,-9999,-9999,-16.752822,-9999,-9999,-9999,-9999,-9999
2012-01-02,2,-9999,2.051625,3.2241417,-9999,-9999,0,-9999,339.11735,269.00673,127.8236,-9999,-9999,-9999,-14.319167,34.451451,35.528165,-9999,-9999,-10.640417,-9999,-9999,-9999,-9999,-9999
2012-01-03,3,-9999,1.6994792,4.0036375,-9999,-9999,0,-9999,333.26236,265.25681,108.932,-9999,-9999,-9999,-9.4977292,33.543974,34.659957,-9999,-9999,-0.6476875,-9999,-9999,-9999,-9999,-9999
2012-01-04,4,5.268015,2.9778958,4.6106667,3.0819785,0.23427568,0,97.119609,340.71907,272.64591,122.30742,-9999,7.4661202,-15.486007,-3.2909792,33.783765,34.903611,11.70974,1.33645,-3.4710417,0,-9999,1262.0462,0.0029899882,287285.08
2012-01-05,5,7.757385,4.0184792,6.2100167,4.2473679,0.32437219,0,96.402396,353.37173,283.54993,122.2784,-9999,10.748075,-9999,-0.13297917,33.602026,34.736265,17.21985,-0.34772,-0.36033333,-9999,-9999,1549.5408,0.0035147021,291098.68
2012-01-06,6,6.7921898,4.7547083,5.5584532,4.4829696,0.36717926,0,95.987475,347.91982,278.75923,116.69898,-9999,10.262822,-9999,-0.71854167,33.390366,34.515816,13.21588,2.32962,-0.609375,-9999,-9999,1437.4725,0.0031121654,289122.31
2012-01-07,7,2.010067,3.4749167,3.6866562,1.9582116,0.12298719,0,96.937603,325.95457,259.55968,70.879417,-9999,5.5276639,1.3916588,-7.5072292,33.000355,34.145176,6.23791,-2.64135,-17.288958,0.79887355,-9999,1240.1255,0.0023128143,282317.9
2012-01-08,8,2.2620996,3.5894375,3.0883458,1.8692842,0.1633583,0,97.293382,326.72551,261.16932,91.80925,-9999,4.4594309,-9999,-5.2768125,32.805959,33.960205,5.97885,0.0894,14.587854,-9999,-9999,954.06707,0.0027073487,283557.53
2012-01-09,9,2.5595902,2.6785208,3.5076902,2.6182489,0.17749563,0,97.040904,329.14505,262.29288,123.12827,-9999,-9999,-9999,-8.657875,32.502553,33.620803,10.33954,-4.8254,8.2527083,-9999,-9999,1101.0513,0.0028419707,284193.07
2012-01-10,10,4.9621158,2.6272917,4.858225,2.1939659,0.13069551,0,96.178409,338.64838,270.77206,-9999,-9999,-9999,-9999,-9.697875,32.245164,33.375461,12.35799,-2.35824,-9999,-9999,-9999,1400.2515,0.0032331822,287585.63
2012-01-11,11,-9999,2.1418958,1.8916608,-9999,-9999,0,-9999,334.17933,268.92953,31.866917,-9999,-9999,-9999,-10.850917,31.849838,33.068233,-9999,-9999,-26.50375,-9999,-9999,-9999,-9999,-9999
2012-01-12,12,-9999,0.85152083,1.7679567,-9999,-9999,0,-9999,335.41494,267.59629,85.33775,-9999,-9999,-9999,-13.168125,30.352546,32.254936,-9999,-9999,0.69179167,-9999,-9999,-9999,-9999,-9999
2012-01-13,13,-9999,0.76629167,2.5107729,-9999,-9999,0,-9999,339.62713,270.54504,124.36715,-9999,-9999,-9999,-11.288542,29.432662,31.625901,-9999,-9999,8.259375,-9999,-9999,-9999,-9999,-9999
2012-01-14,14,-9999,1.2379792,3.8660417,-9999,-9999,0,-9999,332.70065,265.1117,124.00842,-9999,-9999,-9999,-9.0660417,30.287449,32.123248,-9999,-9999,10.297333,-9999,-9999,-9999,-9999,-9999
2012-01-15,15,-9999,3.2972083,6.9377935,-9999,-9999,0,-9999,332.07178,262.83482,129.83035,-9999,-9999,-9999,0.829875,30.76215,32.215234,-9999,-9999,-11.848125,-9999,-9999,-9999,-9999,-9999
