time,doy,TA_F,TS_F_MDS_1,VPD_F,WS_F,USTAR,P_F,PA_F,LW_OUT,LW_IN_F,SW_IN_F,SW_OUT,LE_F_MDS,H_F_MDS,G_F_MDS,SWC_F_MDS_1,SWC_F_MDS_2,TA_max,TA_min,NETRAD_DV,EF_DV,ALB_DV,LCL_DV,QA_DV,ME_DV
2012-01-01,1,16.627632,16.088333,5.097937,2.7280833,0.78399781,0,99.28125,399.28869,363.28737,89.356159,9.1420295,31.157663,-3.7825584,3.48025,19.826667,-9999,22.771996,12.56565,44.212812,1.1381751,0.10231001,606.02056,0.0089621143,313631.81
2012-01-02,2,8.8553522,13.091667,8.5043812,3.8302708,0.78158713,0,99.427083,358.94742,255.22508,174.02608,19.342983,42.372813,26.212683,-19.051833,19.654167,-9999,13.486033,5.465021,50.96076,0.61781011,0.11114991,2362.2791,0.0018459687,288030.3
2012-01-03,3,1.6639437,9.175625,5.4635252,2.9517708,0.63772455,0.254,99.822917,326.13558,229.06486,172.5288,19.246598,24.698373,56.422055,-28.911667,19.483542,-9999,4.9934951,-1.272434,56.211484,0.30446551,0.11155585,2522.9166,0.00093101707,278515.56
2012-01-04,4,3.5563969,8.1685833,6.0950116,1.8555417,0.23158978,0,99.785417,331.33132,246.26945,173.32308,18.734902,13.818593,23.300475,-21.556354,19.390208,-9999,10.53033,-3.1613322,69.526316,0.37227748,0.10809236,2424.7625,0.0015029859,281847.39
2012-01-05,5,10.274689,10.38125,6.9429864,2.4821458,0.31699722,0,99.404167,362.77546,288.973,164.7756,17.542184,17.463648,18.163439,-4.2616458,19.305833,-9999,17.655953,3.1043812,73.43096,0.49017895,0.10646105,1447.6683,0.00399055,294818.19
2012-01-06,6,11.723776,11.586667,6.2581874,1.7746667,0.19614351,0,99.20625,370.43598,305.99851,141.25847,15.659684,23.262159,3.5838852,-2.6120833,19.209583,-9999,18.625424,2.9174346,61.16132,0.8665023,0.11085837,1107.8643,0.0051925819,299279.6
2012-01-07,7,14.395975,13.526042,5.8445237,1.7332292,0.21668593,0,99.1625,386.9208,340.80441,143.41629,15.414474,24.648078,18.968232,4.4181042,19.125833,-9999,21.737449,7.4096741,81.885416,0.56511149,0.10748064,830.19554,0.0071371495,306826.58
2012-01-08,8,16.977869,15.282292,5.8497008,1.607875,0.57721003,0,99.3,400.31915,359.62912,114.41656,12.159287,27.710979,11.787709,6.241375,19.038958,-9999,22.883106,11.640158,61.567243,0.70156707,0.10627209,695.01982,0.0088841471,313788.88
2012-01-09,9,16.631157,15.519167,6.2803716,1.5433542,0.20835267,0,99.233333,397.10221,348.6491,102.84356,11.016395,31.551448,-4.5030457,2.1028333,18.947708,-9999,22.527214,12.401684,43.374047,1.166481,0.10711799,774.36523,0.008454954,312367.45
2012-01-10,10,15.966218,15.330208,4.9734561,2.0793333,0.37459285,0,98.845833,393.86912,369.52301,36.036338,3.8547373,20.337611,-22.034145,-2.4347083,18.867292,-9999,20.030127,12.55057,7.835496,0,0.10696807,615.24013,0.0085000609,311811.95
2012-01-11,11,15.142808,15.747083,6.5761349,3.5991875,0.6546252,5.08,98.179167,391.03987,337.06008,138.66032,14.988612,43.999859,6.6825293,0.99104167,18.949167,-9999,17.316637,10.116138,69.691919,0.86814889,0.1080959,910.15847,0.0067546701,306620.95
2012-01-12,12,12.515012,13.933125,6.416772,3.6588958,0.62575173,0,98.366667,377.88064,316.75321,127.48347,13.836075,38.843716,1.2853792,-8.6818958,18.916667,-9999,21.105279,7.0110055,52.51997,0.9679689,0.1085323,1075.4893,0.0055099102,300868.11
